FlowCell Text Data File: 20241104_i287_4.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:27:29
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
815944, 327778, 11.94, -0.042901, , 
817246, 327890, 12.04, -0.045721, , 
816723, 327862, 12.14, -0.044472, , 
814907, 327801, 12.24, -0.039881, , 
816065, 327919, 12.34, -0.042267, , 
816611, 327946, 12.44, -0.043587, , 
816357, 327837, 12.54, -0.043635, , 
815997, 327812, 12.64, -0.042814, , 
815752, 327770, 12.74, -0.042427, , 
814807, 327790, 12.83, -0.039681, , 
815418, 327813, 12.93, -0.041210, , 
815863, 327912, 13.03, -0.041758, , 
815863, 327950, 13.13, -0.041497, , 
816290, 327986, 13.23, -0.042428, , 
816864, 328021, 13.33, -0.043770, , 
816910, 328016, 13.43, -0.043931, , 
817688, 328070, 13.52, -0.045702, , 
817638, 328056, 13.63, -0.045661, , 
818845, 328102, 13.72, -0.048665, , 
818528, 327991, 13.82, -0.048555, , 
819742, 327970, 13.92, -0.052034, , 
819941, 327980, 14.02, -0.052512, , 
821441, 328076, 14.12, -0.055967, , 
822030, 328164, 14.22, -0.056976, , 
822434, 328110, 14.32, -0.058452, , 
823134, 328019, 14.41, -0.060991, , 
824532, 328166, 14.52, -0.063802, , 
824999, 328060, 14.61, -0.065803, , 
824321, 327962, 14.71, -0.064625, , 
826235, 328033, 14.81, -0.069357, , 
826828, 328049, 14.91, -0.070862, , 
827421, 328113, 15.01, -0.072036, , 
826344, 328029, 15.11, -0.069681, , 
828413, 327943, 15.21, -0.075899, , 
828788, 328039, 15.31, -0.076259, , 
829500, 328133, 15.41, -0.077547, , 
829823, 328147, 15.50, -0.078327, , 
829924, 328019, 15.60, -0.079479, , 
829496, 328042, 15.70, -0.078160, , 
830390, 328044, 15.80, -0.080570, , 
829771, 328105, 15.90, -0.078474, , 
829631, 328080, 16.00, -0.078265, , 
828525, 328179, 16.09, -0.074584, , 
826667, 328102, 16.20, -0.070060, , 
824153, 328057, 16.29, -0.063515, , 
821531, 328065, 16.39, -0.056289, , 
817651, 327984, 16.49, -0.046191, , 
813945, 327933, 16.59, -0.036317, , 
810111, 327978, 16.69, -0.025383, , 
806738, 328106, 16.79, -0.015115, , 
802714, 328149, 16.89, -0.003567, , 
798759, 328115, 16.98, 0.007315, , 
794833, 328063, 17.08, 0.018047, , 
791103, 328055, 17.18, 0.028578, , 
788008, 328054, 17.28, 0.037392, , 
785755, 327948, 17.38, 0.043109, , 
784162, 327973, 17.48, 0.047847, , 
782277, 327906, 17.58, 0.052804, , 
781129, 327962, 17.68, 0.056493, , 
780549, 327887, 17.78, 0.057650, , 
780954, 327952, 17.87, 0.056928, , 
780986, 328042, 17.97, 0.057454, , 
782303, 327966, 18.07, 0.053140, , 
783332, 328056, 18.17, 0.050800, , 
785495, 328290, 18.27, 0.046199, , 
786620, 328172, 18.37, 0.042169, , 
788591, 328110, 18.46, 0.036112, , 
790145, 328173, 18.57, 0.032114, , 
792929, 328172, 18.66, 0.024192, , 
794295, 328192, 18.76, 0.020455, , 
796486, 328069, 18.86, 0.013413, , 
798166, 328157, 18.96, 0.009274, , 
800562, 328098, 19.06, 0.002124, , 
801482, 328010, 19.16, -0.001064, , 
803188, 328012, 19.26, -0.005835, , 
804203, 327948, 19.35, -0.009117, , 
804936, 328002, 19.45, -0.010796, , 
805568, 327978, 19.55, -0.012727, , 
806094, 328114, 19.65, -0.013263, , 
805616, 328099, 19.75, -0.012031, , 
803906, 328119, 19.85, -0.007112, , 
801531, 328081, 19.95, -0.000715, , 
797180, 327870, 20.05, 0.010087, , 
794186, 327865, 20.15, 0.018521, , 
790747, 328021, 20.24, 0.029357, , 
786832, 327769, 20.34, 0.038797, , 
783171, 327753, 20.44, 0.049183, , 
780490, 327891, 20.54, 0.057847, , 
778205, 328003, 20.64, 0.065214, , 
776271, 327909, 20.74, 0.070169, , 
774665, 328025, 20.84, 0.075625, , 
774281, 328068, 20.94, 0.077036, , 
773915, 328079, 21.03, 0.078176, , 
774708, 328204, 21.13, 0.076728, , 
775636, 328159, 21.23, 0.073725, , 
777726, 328183, 21.33, 0.067834, , 
779743, 328163, 21.43, 0.061868, , 
783371, 328214, 21.53, 0.051771, , 
785335, 328079, 21.63, 0.045210, , 
789125, 328148, 21.73, 0.034849, , 
791941, 328137, 21.83, 0.026757, , 
795412, 328069, 21.93, 0.016449, , 
797731, 328248, 22.03, 0.011125, , 
800619, 328158, 22.12, 0.002376, , 
803080, 328187, 22.22, -0.004332, , 
803802, 328184, 22.32, -0.006375, , 
807316, 328186, 22.42, -0.016178, , 
808957, 328082, 22.52, -0.021461, , 
810773, 328136, 22.62, -0.026137, , 
812173, 328145, 22.71, -0.029958, , 
813315, 327983, 22.81, -0.034232, , 
814208, 328061, 22.91, -0.036166, , 
816331, 327974, 23.01, -0.042623, , 
816685, 328029, 23.11, -0.043221, , 
817727, 328075, 23.21, -0.045775, , 
817743, 328052, 23.31, -0.045977, , 
820161, 328182, 23.41, -0.051730, , 
820043, 328071, 23.51, -0.052168, , 
820762, 328070, 23.60, -0.054147, , 
820713, 328199, 23.70, -0.053128, , 
822590, 328140, 23.80, -0.058673, , 
822696, 328267, 23.90, -0.058092, , 
823265, 328157, 24.00, -0.060403, , 
823684, 328269, 24.10, -0.060780, , 
824084, 328257, 24.20, -0.061955, , 
824544, 328285, 24.30, -0.063018, , 
825579, 328376, 24.39, -0.065218, , 
825386, 328341, 24.49, -0.064931, , 
825790, 328179, 24.59, -0.067143, , 
826327, 328312, 24.69, -0.067694, , 
826929, 328364, 24.79, -0.068977, , 
826888, 328306, 24.89, -0.069263, , 
827161, 328337, 24.99, -0.069793, , 
828244, 328451, 25.09, -0.071957, , 
827715, 328367, 25.18, -0.071094, , 
