FlowCell Text Data File: 20241104_i287_2.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:34:01
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
702608, 329779, 0.00, 0.307340, , 
612204, 329675, 0.09, 0.616591, , 
767641, 329873, 0.18, 0.108766, , 
767981, 329973, 0.28, 0.108452, , 
813265, 330037, 0.38, -0.020044, , 
550862, 329952, 0.48, 0.856085, , 
571711, 329747, 0.58, 0.771084, , 
739613, 329758, 0.68, 0.191687, , 
749685, 329854, 0.78, 0.161902, , 
689230, 330011, 0.88, 0.352185, , 
650117, 329911, 0.98, 0.482980, , 
794554, 329953, 1.07, 0.031765, , 
789322, 329886, 1.17, 0.046175, , 
755463, 329841, 1.27, 0.144535, , 
676010, 329601, 1.37, 0.392972, , 
825329, 329600, 1.47, -0.056163, , 
821159, 329533, 1.57, -0.045222, , 
816319, 329481, 1.67, -0.032273, , 
803904, 329543, 1.77, 0.002639, , 
868813, 329580, 1.86, -0.171850, , 
696034, 330014, 1.97, 0.330099, , 
42639, 329929, 2.06, 6.614151, , 
43687, 329801, 2.16, 6.558634, , 
44041, 329767, 2.26, 6.540240, , 
42746, 329708, 2.36, 6.607002, , 
42845, 329774, 2.46, 6.602247, , 
42840, 329875, 2.56, 6.603199, , 
42064, 329767, 2.65, 6.643600, , 
41869, 329745, 2.76, 6.653906, , 
45143, 329672, 2.85, 6.483974, , 
42752, 329788, 2.95, 6.607233, , 
42855, 329972, 3.05, 6.603072, , 
43643, 329792, 3.15, 6.560840, , 
43468, 329728, 3.25, 6.569445, , 
43293, 329748, 3.35, 6.578660, , 
