FlowCell Text Data File: 20241104_i287_1.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:20:32
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
685602, 325179, 0.00, 0.330868, , 
547463, 325161, 0.10, 0.837097, , 
699462, 325279, 0.19, 0.286520, , 
487300, 325140, 0.29, 1.098936, , 
676505, 325137, 0.39, 0.360638, , 
518139, 325251, 0.49, 0.961609, , 
480669, 325094, 0.59, 1.129451, , 
641253, 325022, 0.69, 0.480275, , 
630423, 325063, 0.79, 0.518891, , 
635096, 325015, 0.89, 0.501939, , 
651172, 325147, 0.98, 0.446597, , 
668864, 325148, 1.08, 0.386277, , 
668619, 325030, 1.18, 0.386284, , 
670339, 325090, 1.28, 0.380918, , 
674890, 324991, 1.38, 0.365006, , 
672993, 325017, 1.48, 0.371520, , 
672871, 324909, 1.58, 0.371180, , 
674203, 325070, 1.67, 0.367845, , 
677205, 324939, 1.77, 0.356939, , 
539627, 324984, 1.87, 0.868316, , 
702864, 324880, 1.97, 0.272838, , 
712949, 325007, 2.07, 0.241657, , 
704370, 324953, 2.17, 0.268527, , 
133867, 325090, 2.27, 4.006227, , 
42998, 325125, 2.37, 6.562274, , 
42489, 325056, 2.46, 6.588595, , 
42109, 325050, 2.57, 6.608771, , 
41271, 325149, 2.66, 6.654693, , 
41057, 325134, 2.76, 6.666288, , 
40757, 325172, 2.86, 6.683056, , 
40415, 325224, 2.96, 6.702379, , 
40169, 325220, 3.06, 6.716091, , 
39744, 325003, 3.15, 6.738526, , 
39436, 324849, 3.25, 6.754968, , 
39192, 324946, 3.35, 6.769607, , 
39071, 325033, 3.45, 6.777168, , 
38961, 325119, 3.55, 6.784108, , 
38660, 325208, 3.65, 6.802178, , 
38226, 325084, 3.75, 6.826726, , 
37431, 325183, 3.85, 6.874708, , 
36269, 325210, 3.94, 6.945864, , 
34937, 325166, 4.05, 7.029764, , 
34170, 325162, 4.14, 7.079692, , 
33420, 325245, 4.24, 7.130212, , 
33585, 325103, 4.34, 7.118145, , 
34514, 325213, 4.44, 7.057503, , 
36616, 325146, 4.54, 6.923992, , 
39621, 325000, 4.64, 6.745481, , 
43721, 324983, 4.74, 6.523765, , 
49214, 324992, 4.84, 6.257489, , 
56067, 325003, 4.93, 5.964177, , 
63687, 325050, 5.03, 5.677723, , 
73111, 324837, 5.13, 5.365691, , 
80322, 324860, 5.23, 5.154164, , 
93377, 324983, 5.33, 4.816097, , 
106470, 325028, 5.43, 4.521111, , 
122546, 325121, 5.53, 4.205291, , 
136720, 325012, 5.63, 3.958229, , 
153389, 324947, 5.73, 3.698884, , 
171493, 324890, 5.82, 3.447419, , 
194928, 324912, 5.92, 3.159318, , 
213095, 324867, 6.02, 2.958475, , 
234720, 324771, 6.12, 2.740294, , 
258767, 324844, 6.22, 2.521304, , 
290824, 324847, 6.32, 2.258496, , 
312887, 324783, 6.42, 2.093492, , 
336113, 324760, 6.51, 1.932189, , 
366314, 324873, 6.61, 1.739337, , 
396852, 324716, 6.71, 1.558051, , 
420821, 324842, 6.81, 1.426949, , 
447371, 324839, 6.91, 1.289245, , 
469105, 324913, 7.01, 1.183001, , 
492556, 325031, 7.11, 1.074038, , 
513850, 325048, 7.21, 0.978910, , 
534585, 325086, 7.30, 0.890148, , 
550242, 325006, 7.40, 0.824629, , 
569033, 325023, 7.50, 0.749177, , 
585944, 324989, 7.60, 0.683036, , 
600918, 325024, 7.70, 0.626490, , 
615417, 324962, 7.80, 0.572407, , 
628909, 324955, 7.90, 0.523554, , 
641525, 324894, 8.00, 0.478435, , 
652802, 324909, 8.10, 0.439323, , 
664724, 324851, 8.19, 0.398193, , 
673749, 324722, 8.29, 0.366950, , 
683995, 324876, 8.39, 0.334051, , 
692219, 324933, 8.49, 0.307550, , 
700473, 324904, 8.59, 0.280673, , 
707545, 324877, 8.69, 0.257880, , 
714467, 324792, 8.79, 0.235382, , 
719021, 324660, 8.89, 0.220168, , 
724157, 324885, 8.99, 0.205709, , 
729083, 324975, 9.09, 0.191076, , 
733490, 324837, 9.18, 0.176558, , 
736726, 324987, 9.28, 0.167691, , 
739140, 324932, 9.38, 0.159948, , 
741398, 324884, 9.48, 0.152751, , 
743510, 324937, 9.58, 0.146716, , 
744968, 324851, 9.68, 0.141712, , 
746140, 324898, 9.77, 0.138500, , 
746684, 324923, 9.87, 0.137033, , 
747816, 324819, 9.98, 0.132903, , 
749753, 324810, 10.07, 0.127019, , 
751613, 324788, 10.17, 0.121291, , 
753598, 324892, 10.27, 0.116076, , 
755893, 324779, 10.37, 0.108450, , 
758573, 324792, 10.47, 0.100575, , 
761404, 324906, 10.57, 0.092982, , 
763925, 324811, 10.67, 0.084885, , 
766503, 324820, 10.76, 0.077366, , 
769768, 324969, 10.86, 0.068832, , 
771782, 324855, 10.96, 0.062162, , 
774626, 324871, 11.06, 0.053996, , 
776629, 324848, 11.16, 0.048025, , 
779143, 324909, 11.26, 0.041174, , 
780549, 324907, 11.35, 0.037103, , 
781930, 324908, 11.46, 0.033132, , 
782955, 324915, 11.56, 0.030232, , 
783207, 324844, 11.66, 0.029016, , 
783164, 324850, 11.75, 0.029181, , 
782855, 324827, 11.85, 0.029910, , 
782153, 324640, 11.95, 0.030633, , 
781758, 324739, 12.05, 0.032456, , 
780767, 324691, 12.15, 0.034978, , 
779872, 324750, 12.25, 0.037968, , 
779207, 324969, 12.34, 0.041405, , 
777179, 324753, 12.44, 0.045773, , 
775847, 324811, 12.54, 0.050036, , 
774496, 324872, 12.64, 0.054380, , 
772588, 324790, 12.74, 0.059363, , 
771571, 324729, 12.84, 0.061905, , 
770341, 324670, 12.94, 0.065086, , 
770028, 324857, 13.04, 0.067297, , 
769655, 324862, 13.14, 0.068422, , 
769253, 324771, 13.23, 0.068967, , 
769377, 324787, 13.33, 0.068715, , 
769732, 324811, 13.43, 0.067843, , 
770197, 324801, 13.53, 0.066415, , 
770120, 324581, 13.63, 0.065115, , 
771332, 324602, 13.73, 0.061722, , 
772037, 324515, 13.83, 0.059062, , 
773357, 324440, 13.92, 0.054698, , 
774913, 324559, 14.03, 0.051000, , 
777262, 324761, 14.12, 0.045589, , 
778631, 324670, 14.22, 0.040998, , 
780477, 324610, 14.32, 0.035253, , 
782560, 324696, 14.42, 0.029851, , 
784346, 324711, 14.52, 0.024824, , 
785296, 324459, 14.62, 0.020353, , 
787093, 324641, 14.71, 0.016471, , 
788930, 324577, 14.82, 0.010781, , 
790236, 324557, 14.91, 0.006920, , 
791700, 324687, 15.01, 0.003656, , 
792791, 324676, 15.11, 0.000481, , 
794797, 324799, 15.21, -0.004354, , 
795570, 324811, 15.31, -0.006458, , 
796811, 324824, 15.41, -0.009876, , 
798079, 324970, 15.50, -0.012443, , 
798872, 324937, 15.61, -0.014906, , 
799363, 324826, 15.71, -0.017058, , 
800313, 324795, 15.80, -0.019946, , 
801027, 324818, 15.90, -0.021793, , 
801150, 324885, 16.00, -0.021675, , 
