FlowCell Text Data File: 20241104_i287_5.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:40:42
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
518284, 331543, 0.00, 1.004099, , 
630722, 331597, 0.10, 0.562611, , 
837688, 331545, 0.19, -0.076372, , 
828467, 331590, 0.29, -0.051157, , 
315530, 331738, 0.38, 2.122245, , 
509528, 331691, 0.49, 1.043447, , 
465931, 331731, 0.58, 1.245014, , 
703105, 331649, 0.68, 0.318474, , 
713975, 331570, 0.78, 0.283412, , 
719189, 331613, 0.88, 0.267329, , 
722249, 331516, 0.98, 0.257116, , 
725559, 331502, 1.08, 0.246731, , 
728526, 331726, 1.18, 0.239067, , 
677389, 331570, 1.27, 0.401790, , 
693333, 331674, 1.37, 0.350140, , 
486542, 331542, 1.47, 1.146320, , 
59257, 331536, 1.57, 5.884434, , 
63929, 331598, 1.67, 5.714071, , 
63960, 331653, 1.77, 5.713354, , 
63037, 331493, 1.87, 5.744980, , 
62797, 331591, 1.97, 5.754230, , 
62753, 331620, 2.07, 5.756004, , 
62058, 331662, 2.16, 5.781352, , 
60099, 331621, 2.26, 5.853259, , 
60807, 331674, 2.36, 5.827262, , 
60993, 331518, 2.46, 5.819330, , 
61203, 331520, 2.56, 5.811609, , 
60284, 331298, 2.66, 5.844149, , 
60243, 331294, 2.76, 5.845653, , 
59509, 331345, 2.86, 5.873587, , 
58382, 331296, 2.96, 5.916283, , 
57043, 331517, 3.06, 5.969999, , 
55792, 331434, 3.15, 6.019338, , 
54906, 331352, 3.25, 6.054806, , 
55124, 331058, 3.35, 6.043891, , 
54055, 331131, 3.45, 6.088458, , 
54108, 331225, 3.55, 6.086891, , 
54983, 331347, 3.65, 6.051618, , 
56844, 331185, 3.75, 5.975608, , 
59443, 331310, 3.84, 5.875847, , 
63172, 331325, 3.94, 5.739025, , 
67414, 331289, 4.04, 5.592521, , 
72267, 331446, 4.14, 5.437148, , 
