FlowCell Text Data File: 20241104_i287_6.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:54:09
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
66905, 332387, 3.94, 5.617023, , 
73165, 332489, 4.04, 5.416427, , 
79619, 332567, 4.14, 5.226713, , 
87427, 332555, 4.24, 5.016101, , 
96235, 332651, 4.34, 4.800733, , 
106621, 332555, 4.44, 4.569442, , 
116365, 332588, 4.53, 4.372862, , 
130267, 332410, 4.63, 4.117686, , 
144739, 332539, 4.73, 3.881485, , 
156881, 332340, 4.83, 3.698853, , 
173796, 332482, 4.93, 3.469382, , 
190567, 332301, 5.03, 3.260843, , 
209903, 332515, 5.13, 3.044805, , 
227475, 332439, 5.23, 2.863368, , 
250251, 332328, 5.33, 2.647870, , 
269635, 332245, 5.42, 2.479415, , 
299732, 332327, 5.53, 2.241830, , 
319632, 332308, 5.62, 2.097040, , 
345683, 332299, 5.72, 1.920653, , 
370180, 332352, 5.82, 1.766931, , 
402988, 332449, 5.92, 1.576487, , 
422545, 332372, 6.02, 1.469319, , 
442394, 332534, 6.12, 1.367110, , 
472640, 332442, 6.22, 1.217659, , 
502799, 332354, 6.31, 1.077859, , 
517728, 332429, 6.41, 1.012520, , 
527457, 332467, 6.51, 0.970880, , 
545484, 332493, 6.61, 0.895428, , 
565452, 332368, 6.71, 0.813674, , 
582708, 332364, 6.81, 0.745997, , 
600421, 332484, 6.91, 0.679421, , 
614788, 332346, 7.00, 0.625272, , 
626094, 332333, 7.11, 0.584174, , 
643052, 332278, 7.20, 0.523658, , 
655705, 332178, 7.30, 0.479130, , 
666551, 332214, 7.40, 0.442454, , 
679710, 332288, 7.50, 0.398960, , 
691538, 332353, 7.60, 0.360576, , 
698630, 332120, 7.70, 0.336037, , 
709162, 332034, 7.80, 0.301781, , 
717058, 331977, 7.89, 0.276476, , 
725636, 332001, 7.99, 0.249877, , 
732316, 332053, 8.09, 0.229608, , 
741764, 332024, 8.19, 0.200563, , 
746303, 332090, 8.29, 0.187281, , 
753553, 332146, 8.39, 0.165904, , 
756138, 331971, 8.49, 0.157011, , 
762135, 332090, 8.59, 0.140040, , 
765499, 332178, 8.69, 0.130725, , 
771058, 332180, 8.79, 0.114455, , 
772580, 332212, 8.88, 0.110234, , 
774165, 332084, 8.98, 0.104754, , 
777919, 332122, 9.08, 0.094126, , 
781036, 332005, 9.18, 0.084334, , 
781954, 332126, 9.28, 0.082510, , 
782277, 332081, 9.38, 0.081276, , 
784279, 332071, 9.48, 0.075456, , 
786148, 332149, 9.57, 0.070628, , 
787312, 332070, 9.67, 0.066763, , 
788497, 332073, 9.77, 0.063399, , 
790788, 332262, 9.87, 0.058150, , 
792293, 332317, 9.97, 0.054244, , 
796441, 332457, 10.07, 0.043440, , 
798483, 332427, 10.17, 0.037475, , 
800580, 332281, 10.26, 0.030584, , 
802593, 332090, 10.37, 0.023638, , 
805660, 332245, 10.46, 0.016105, , 
807137, 332174, 10.56, 0.011502, , 
809608, 332213, 10.66, 0.004887, , 
811124, 332074, 10.76, -0.000264, , 
812771, 332020, 10.86, -0.005195, , 
813677, 332095, 10.96, -0.007194, , 
815765, 332178, 11.06, -0.012399, , 
813436, 331996, 11.16, -0.007199, , 
816160, 332162, 11.25, -0.013597, , 
815204, 332069, 11.35, -0.011590, , 
814974, 332018, 11.45, -0.011300, , 
813325, 332037, 11.55, -0.006614, , 
813500, 332125, 11.65, -0.006501, , 
812196, 332130, 11.75, -0.002857, , 
809394, 332007, 11.85, 0.004086, , 
808972, 332082, 11.94, 0.005768, , 
807016, 332067, 12.04, 0.011115, , 
805167, 332102, 12.14, 0.016514, , 
802274, 332012, 12.24, 0.024004, , 
800557, 332174, 12.34, 0.029924, , 
799109, 332190, 12.44, 0.034106, , 
797456, 332085, 12.54, 0.038055, , 
796099, 332094, 12.64, 0.041948, , 
795055, 332089, 12.74, 0.044868, , 
794101, 332080, 12.84, 0.047509, , 
793134, 331930, 12.93, 0.049234, , 
793374, 331959, 13.03, 0.048750, , 
793571, 331941, 13.13, 0.048069, , 
793754, 331824, 13.23, 0.046757, , 
795232, 332098, 13.33, 0.044428, , 
796045, 332046, 13.43, 0.041776, , 
797666, 332159, 13.53, 0.037964, , 
799173, 332226, 13.63, 0.034170, , 
800592, 332008, 13.72, 0.028700, , 
802604, 332129, 13.82, 0.023872, , 
804742, 332125, 13.92, 0.017858, , 
806138, 332006, 14.02, 0.013151, , 
808676, 332081, 14.12, 0.006585, , 
810378, 332092, 14.22, 0.001928, , 
812442, 332275, 14.32, -0.002556, , 
814625, 332254, 14.42, -0.008737, , 
815429, 332157, 14.52, -0.011614, , 
816751, 332136, 14.61, -0.015402, , 
817030, 332034, 14.71, -0.016862, , 
819447, 332081, 14.81, -0.023191, , 
820543, 332191, 14.91, -0.025454, , 
821111, 332093, 15.01, -0.027675, , 
821137, 332017, 15.11, -0.028261, , 
823673, 332059, 15.21, -0.034916, , 
823703, 332059, 15.31, -0.034998, , 
824744, 332020, 15.40, -0.038105, , 
825021, 332021, 15.50, -0.038854, , 
825796, 332012, 15.60, -0.041028, , 
825501, 331981, 15.70, -0.040434, , 
826859, 331935, 15.80, -0.044445, , 
826693, 331950, 15.90, -0.043891, , 
827392, 332083, 16.00, -0.044892, , 
827157, 332139, 16.10, -0.043873, , 
826846, 332069, 16.19, -0.043501, , 
825831, 332026, 16.29, -0.041028, , 
825080, 331985, 16.39, -0.039259, , 
824269, 332066, 16.49, -0.036497, , 
823518, 332150, 16.59, -0.033876, , 
822688, 332037, 16.69, -0.032373, , 
821713, 331985, 16.78, -0.030056, , 
821401, 332132, 16.89, -0.028205, , 
820752, 332164, 16.99, -0.026210, , 
820195, 332112, 17.08, -0.025034, , 
819172, 332093, 17.18, -0.022355, , 
819787, 332139, 17.28, -0.023732, , 
819157, 332006, 17.38, -0.022903, , 
819432, 331973, 17.48, -0.023882, , 
819310, 332065, 17.58, -0.022923, , 
820783, 332119, 17.67, -0.026600, , 
821023, 332046, 17.77, -0.027752, , 
821991, 332115, 17.87, -0.029937, , 
822367, 332170, 17.97, -0.030593, , 
823908, 332011, 18.07, -0.035884, , 
824060, 331964, 18.17, -0.036617, , 
825298, 331953, 18.27, -0.040070, , 
825797, 331894, 18.37, -0.041830, , 
826723, 331882, 18.47, -0.044434, , 
827135, 331850, 18.57, -0.045772, , 
828094, 331776, 18.66, -0.048882, , 
828357, 331920, 18.76, -0.048620, , 
828307, 331943, 18.86, -0.048328, , 
826916, 331935, 18.96, -0.044600, , 
824580, 331992, 19.06, -0.037847, , 
820368, 331960, 19.16, -0.026539, , 
814864, 332166, 19.26, -0.009994, , 
806647, 332065, 19.35, 0.012130, , 
796907, 331871, 19.45, 0.038154, , 
785702, 331856, 19.55, 0.069919, , 
774558, 331869, 19.65, 0.102155, , 
762420, 331788, 19.75, 0.137151, , 
751979, 331859, 19.85, 0.168664, , 
741300, 331902, 19.95, 0.201144, , 
733018, 332044, 20.05, 0.227390, , 
723301, 332002, 20.15, 0.257137, , 
718710, 331827, 20.25, 0.270280, , 
714843, 332075, 20.34, 0.284103, , 
712274, 332089, 20.44, 0.292300, , 
708987, 331928, 20.54, 0.301618, , 
709635, 331834, 20.64, 0.298925, , 
712649, 332122, 20.74, 0.291339, , 
716077, 332104, 20.84, 0.280418, , 
720326, 331892, 20.93, 0.265667, , 
725776, 332113, 21.03, 0.250202, , 
731826, 332035, 21.13, 0.230992, , 
737893, 332037, 21.23, 0.212426, , 
745116, 332152, 21.33, 0.191283, , 
752028, 332164, 21.43, 0.170585, , 
759601, 332023, 21.53, 0.147081, , 
764478, 332132, 21.63, 0.133417, , 
770958, 332087, 21.73, 0.114117, , 
775425, 331949, 21.82, 0.100180, , 
781708, 332000, 21.93, 0.082364, , 
784602, 332042, 22.02, 0.074333, , 
789478, 332057, 22.12, 0.060492, , 
793162, 332127, 22.22, 0.050490, , 
795390, 332058, 22.32, 0.043710, , 
798945, 331831, 22.42, 0.032135, , 
801539, 331866, 22.52, 0.025077, , 
804053, 331745, 22.62, 0.017209, , 
806849, 332053, 22.72, 0.011485, , 
808557, 331931, 22.81, 0.005900, , 
810178, 331939, 22.91, 0.001447, , 
813320, 331927, 23.01, -0.007345, , 
814379, 332108, 23.11, -0.009047, , 
815760, 332039, 23.21, -0.013327, , 
816203, 331918, 23.31, -0.015369, , 
818184, 331645, 23.41, -0.022677, , 
819205, 331727, 23.51, -0.024927, , 
820331, 331682, 23.60, -0.028323, , 
821336, 331801, 23.70, -0.030271, , 
823195, 331613, 23.80, -0.036635, , 
823678, 331700, 23.90, -0.037364, , 
825039, 331730, 24.00, -0.040876, , 
826045, 331901, 24.10, -0.042459, , 
826199, 331697, 24.20, -0.044262, , 
827091, 331733, 24.29, -0.046446, , 
828131, 331753, 24.40, -0.049138, , 
828353, 331732, 24.49, -0.049884, , 
829332, 331662, 24.59, -0.053017, , 
829943, 331737, 24.69, -0.054166, , 
830844, 331811, 24.79, -0.056105, , 
831175, 331771, 24.89, -0.057273, , 
831330, 331731, 24.99, -0.057964, , 
832399, 331808, 25.09, -0.060334, , 
831946, 331696, 25.18, -0.059868, , 
833100, 331804, 25.28, -0.062255, , 
832741, 331661, 25.38, -0.062255, , 
833750, 331780, 25.48, -0.064173, , 
833507, 331579, 25.58, -0.064881, , 
834739, 331793, 25.68, -0.066753, , 
835291, 332069, 25.78, -0.066369, , 
836355, 331956, 25.88, -0.070000, , 
836413, 332043, 25.98, -0.069566, , 
837167, 332089, 26.07, -0.071282, , 
836283, 331831, 26.17, -0.070654, , 
838092, 332025, 26.27, -0.074201, , 
837750, 331928, 26.37, -0.073940, , 
838132, 331925, 26.47, -0.074987, , 
838355, 332026, 26.57, -0.074901, , 
839572, 332068, 26.67, -0.077881, , 
840012, 332176, 26.76, -0.078328, , 
840389, 332140, 26.86, -0.079581, , 
840196, 332076, 26.96, -0.079498, , 
840214, 331982, 27.06, -0.080184, , 
840709, 331910, 27.16, -0.081997, , 
841609, 332081, 27.26, -0.083246, , 
841387, 332033, 27.36, -0.082977, , 
841959, 331937, 27.46, -0.085158, , 
842054, 331958, 27.55, -0.085269, , 
842397, 331917, 27.65, -0.086464, , 
842402, 331917, 27.75, -0.086477, , 
842951, 332041, 27.85, -0.087103, , 
843138, 332000, 27.95, -0.087880, , 
842791, 332000, 28.05, -0.086953, , 
843732, 331995, 28.15, -0.089498, , 
843544, 332009, 28.25, -0.088902, , 
844013, 331974, 28.35, -0.090390, , 
843950, 331999, 28.45, -0.090053, , 
844388, 331918, 28.55, -0.091769, , 
844181, 332082, 28.64, -0.090106, , 
844621, 331942, 28.74, -0.092228, , 
843996, 331975, 28.84, -0.090338, , 
844527, 332086, 28.94, -0.091001, , 
844157, 332134, 29.04, -0.089690, , 
843956, 331907, 29.14, -0.090692, , 
843404, 331964, 29.23, -0.088834, , 
843363, 331976, 29.34, -0.088643, , 
842617, 332018, 29.43, -0.086367, , 
843287, 332149, 29.53, -0.087268, , 
842504, 332146, 29.63, -0.085197, , 
842182, 332071, 29.73, -0.084845, , 
842033, 332126, 29.83, -0.084074, , 
841495, 332012, 29.93, -0.083409, , 
841557, 331998, 30.03, -0.083669, , 
841947, 332063, 30.13, -0.084271, , 
841532, 332064, 30.22, -0.083155, , 
841599, 331855, 30.32, -0.084751, , 
841331, 331842, 30.42, -0.084123, , 
841613, 331833, 30.52, -0.084938, , 
841660, 331912, 30.62, -0.084528, , 
842045, 331990, 30.72, -0.085028, , 
842290, 331962, 30.81, -0.085873, , 
841450, 331785, 30.91, -0.084828, , 
842967, 332006, 31.02, -0.087383, , 
842469, 331945, 31.11, -0.086466, , 
842958, 331977, 31.21, -0.087555, , 
842715, 331960, 31.31, -0.087021, , 
843246, 331966, 31.41, -0.088398, , 
842737, 331917, 31.51, -0.087372, , 
843465, 331969, 31.61, -0.088962, , 
842853, 331956, 31.71, -0.087417, , 
843411, 331978, 31.80, -0.088757, , 
843414, 332040, 31.90, -0.088345, , 
843650, 331888, 32.00, -0.090005, , 
843380, 331958, 32.10, -0.088810, , 
843361, 331853, 32.20, -0.089471, , 
843932, 332083, 32.30, -0.089435, , 
844224, 331939, 32.40, -0.091190, , 
844068, 331989, 32.50, -0.090435, , 
844666, 332218, 32.60, -0.090477, , 
844020, 331902, 32.69, -0.090897, , 
844552, 332045, 32.79, -0.091346, , 
844927, 332004, 32.89, -0.092623, , 
845312, 332093, 32.99, -0.093045, , 
845187, 332057, 33.09, -0.092956, , 
845049, 331911, 33.19, -0.093578, , 
845430, 331933, 33.29, -0.094443, , 
845681, 332013, 33.38, -0.094569, , 
845686, 331911, 33.48, -0.095274, , 
845564, 331933, 33.58, -0.094800, , 
845875, 331827, 33.68, -0.096346, , 
845758, 331869, 33.78, -0.095750, , 
846278, 331842, 33.88, -0.097316, , 
845904, 331767, 33.98, -0.096830, , 
846479, 331878, 34.08, -0.097607, , 
846536, 331933, 34.18, -0.097385, , 
846664, 331919, 34.27, -0.097820, , 
846270, 331841, 34.37, -0.097302, , 
846663, 332065, 34.47, -0.096828, , 
845915, 331949, 34.57, -0.095625, , 
845845, 332057, 34.67, -0.094707, , 
845862, 332044, 34.77, -0.094840, , 
845232, 332136, 34.87, -0.092540, , 
844793, 332270, 34.97, -0.090463, , 
844051, 332320, 35.07, -0.088147, , 
843395, 332269, 35.17, -0.086743, , 
841987, 332217, 35.26, -0.083335, , 
841279, 332270, 35.36, -0.081083, , 
840036, 332224, 35.46, -0.078067, , 
839113, 332148, 35.56, -0.076108, , 
838017, 332064, 35.66, -0.073736, , 
837872, 332126, 35.76, -0.072926, , 
836914, 332050, 35.85, -0.070867, , 
836564, 332025, 35.95, -0.070095, , 
836152, 332048, 36.05, -0.068830, , 
836001, 332019, 36.15, -0.068620, , 
835490, 331932, 36.25, -0.067834, , 
835277, 331825, 36.35, -0.067986, , 
835041, 331774, 36.45, -0.067696, , 
835522, 331861, 36.55, -0.068402, , 
835589, 331924, 36.65, -0.068155, , 
836451, 332018, 36.74, -0.069838, , 
836130, 331952, 36.84, -0.069422, , 
836648, 332003, 36.94, -0.070470, , 
836870, 332097, 37.04, -0.070430, , 
837273, 332115, 37.14, -0.071391, , 
837083, 332090, 37.24, -0.071050, , 
837219, 332098, 37.34, -0.071361, , 
837236, 332175, 37.44, -0.070885, , 
837541, 332309, 37.54, -0.070797, , 
837866, 332169, 37.63, -0.072619, , 
837586, 332098, 37.73, -0.072348, , 
837597, 332096, 37.83, -0.072391, , 
837380, 332040, 37.93, -0.072187, , 
838377, 332191, 38.03, -0.073842, , 
838419, 332223, 38.13, -0.073738, , 
838145, 332052, 38.23, -0.074161, , 
838310, 332112, 38.32, -0.074197, , 
838844, 332127, 38.42, -0.075528, , 
838929, 332174, 38.52, -0.075438, , 
839641, 332154, 38.62, -0.077483, , 
839561, 332088, 38.72, -0.077715, , 
840037, 332105, 38.82, -0.078876, , 
840229, 332075, 38.92, -0.079593, , 
840427, 331987, 39.02, -0.080720, , 
840961, 332182, 39.12, -0.080828, , 
840864, 332031, 39.21, -0.081592, , 
841011, 332069, 39.31, -0.081728, , 
840905, 331854, 39.41, -0.082901, , 
840352, 331739, 39.51, -0.082201, , 
841582, 331965, 39.61, -0.083960, , 
840704, 331754, 39.71, -0.083042, , 
841044, 331795, 39.81, -0.083674, , 
840825, 331845, 39.91, -0.082748, , 
841084, 331917, 40.01, -0.082953, , 
840615, 331996, 40.10, -0.081162, , 
840033, 331897, 40.20, -0.080275, , 
839396, 331984, 40.30, -0.077978, , 
838794, 332057, 40.40, -0.075869, , 
838318, 332023, 40.50, -0.074822, , 
837198, 332071, 40.60, -0.071488, , 
835503, 331848, 40.70, -0.068439, , 
834600, 331956, 40.79, -0.065273, , 
833771, 332066, 40.89, -0.062291, , 
832699, 332178, 40.99, -0.058637, , 
831283, 332103, 41.09, -0.055315, , 
829619, 331957, 41.19, -0.051795, , 
828620, 331930, 41.29, -0.049266, , 
827490, 331860, 41.39, -0.046670, , 
826999, 331900, 41.49, -0.045063, , 
825947, 331859, 41.58, -0.042477, , 
825660, 331961, 41.69, -0.041003, , 
825417, 332063, 41.78, -0.039649, , 
824389, 331744, 41.88, -0.039007, , 
824347, 331792, 41.98, -0.038567, , 
824625, 331949, 42.08, -0.038261, , 
824493, 331894, 42.18, -0.038274, , 
824924, 331963, 42.28, -0.038982, , 
824369, 331741, 42.37, -0.038973, , 
824994, 331714, 42.47, -0.040862, , 
825211, 331815, 42.57, -0.040769, , 
826241, 332005, 42.67, -0.042288, , 
825923, 331824, 42.77, -0.042649, , 
826410, 331813, 42.87, -0.044050, , 
827228, 332004, 42.97, -0.044981, , 
827802, 332163, 43.07, -0.045465, , 
827862, 332086, 43.17, -0.046149, , 
828058, 332053, 43.26, -0.046906, , 
828815, 331996, 43.37, -0.049349, , 
829232, 332050, 43.46, -0.050115, , 
829680, 332043, 43.56, -0.051377, , 
829726, 332021, 43.66, -0.051651, , 
831483, 332005, 43.76, -0.056520, , 
831732, 332194, 43.86, -0.055913, , 
831989, 332008, 43.96, -0.057869, , 
832394, 332014, 44.06, -0.058923, , 
833324, 332084, 44.16, -0.060962, , 
833755, 332122, 44.25, -0.061868, , 
835332, 332254, 44.35, -0.065226, , 
834773, 331997, 44.45, -0.065461, , 
835875, 332043, 44.55, -0.068118, , 
836100, 332056, 44.65, -0.068636, , 
837170, 332231, 44.75, -0.070328, , 
836836, 332151, 44.85, -0.069972, , 
837413, 332157, 44.95, -0.071483, , 
837139, 332117, 45.05, -0.071017, , 
837276, 332173, 45.14, -0.071006, , 
837338, 332232, 45.24, -0.070773, , 
836890, 332144, 45.34, -0.070165, , 
836264, 332172, 45.44, -0.068291, , 
835586, 332185, 45.54, -0.066378, , 
834604, 332212, 45.64, -0.063549, , 
833322, 332241, 45.74, -0.059893, , 
832256, 332239, 45.83, -0.057026, , 
830191, 332241, 45.94, -0.051421, , 
828469, 332138, 46.03, -0.047447, , 
826782, 332136, 46.13, -0.042873, , 
825527, 332063, 46.23, -0.039949, , 
823545, 332068, 46.33, -0.034506, , 
821917, 331955, 46.43, -0.030818, , 
819863, 331725, 46.53, -0.026747, , 
820260, 332024, 46.62, -0.025809, , 
819166, 332155, 46.73, -0.021918, , 
818270, 332038, 46.82, -0.020248, , 
817470, 331947, 46.92, -0.018663, , 
817641, 331976, 47.02, -0.018938, , 
817772, 332127, 47.12, -0.018275, , 
818418, 332071, 47.22, -0.020431, , 
817918, 331883, 47.31, -0.020330, , 
819041, 332049, 47.41, -0.022293, , 
819080, 331996, 47.51, -0.022759, , 
819945, 332002, 47.61, -0.025094, , 
819796, 331920, 47.71, -0.025241, , 
820870, 332084, 47.81, -0.027075, , 
820937, 331973, 47.91, -0.028011, , 
821517, 331949, 48.01, -0.029764, , 
822336, 332001, 48.11, -0.031653, , 
822994, 331943, 48.20, -0.033847, , 
823543, 331993, 48.31, -0.035008, , 
824424, 331979, 48.40, -0.037509, , 
825389, 332106, 48.50, -0.039281, , 
825398, 331821, 48.60, -0.041238, , 
826100, 331677, 48.70, -0.044128, , 
826770, 331807, 48.80, -0.045071, , 
827866, 332091, 48.90, -0.046126, , 
827992, 332032, 49.00, -0.046869, , 
829929, 332244, 49.10, -0.050691, , 
830542, 332387, 49.20, -0.051384, , 
830823, 332416, 49.29, -0.051949, , 
830596, 332320, 49.39, -0.051984, , 
831662, 332395, 49.49, -0.054363, , 
831145, 332328, 49.59, -0.053417, , 
830843, 332398, 49.69, -0.052125, , 
830334, 332499, 49.79, -0.050062, , 
829836, 332541, 49.88, -0.048428, , 
828691, 332462, 49.99, -0.045855, , 
827849, 332377, 50.08, -0.044143, , 
827162, 332580, 50.18, -0.040901, , 
825930, 332475, 50.28, -0.038257, , 
824315, 332342, 50.38, -0.034753, , 
823295, 332353, 50.48, -0.031892, , 
822502, 332501, 50.58, -0.028721, , 
821443, 332440, 50.67, -0.026235, , 
820651, 332464, 50.77, -0.023901, , 
819626, 332313, 50.87, -0.022111, , 
818893, 332216, 50.97, -0.020755, , 
818893, 332364, 51.07, -0.019752, , 
818448, 332308, 51.17, -0.018908, , 
817914, 332160, 51.27, -0.018442, , 
817670, 332080, 51.37, -0.018313, , 
817656, 332061, 51.46, -0.018403, , 
818503, 332232, 51.56, -0.019574, , 
818211, 332168, 51.66, -0.019205, , 
818324, 332162, 51.76, -0.019556, , 
819107, 332417, 51.86, -0.019981, , 
819560, 332191, 51.96, -0.022756, , 
819724, 332142, 52.06, -0.023538, , 
820243, 332129, 52.16, -0.025051, , 
821003, 332302, 52.26, -0.025963, , 
822551, 332355, 52.36, -0.029843, , 
822295, 332178, 52.45, -0.030342, , 
822809, 332103, 52.55, -0.032256, , 
823213, 332103, 52.65, -0.033361, , 
823755, 332063, 52.75, -0.035113, , 
824475, 332104, 52.85, -0.036801, , 
825430, 332192, 52.95, -0.038810, , 
825460, 332044, 53.05, -0.039895, , 
825995, 332005, 53.14, -0.041617, , 
826224, 331952, 53.25, -0.042601, , 
826763, 331992, 53.34, -0.043797, , 
827106, 332152, 53.44, -0.043646, , 
827250, 332182, 53.54, -0.043835, , 
827061, 332104, 53.64, -0.043849, , 
826766, 332204, 53.74, -0.042369, , 
826615, 332178, 53.84, -0.042134, , 
826021, 332190, 53.93, -0.040435, , 
825762, 332226, 54.03, -0.039485, , 
824959, 332198, 54.13, -0.037485, , 
824509, 332188, 54.23, -0.036325, , 
823489, 332107, 54.33, -0.034088, , 
823434, 332219, 54.43, -0.033179, , 
823112, 332425, 54.53, -0.030904, , 
822611, 332420, 54.63, -0.029568, , 
821964, 332334, 54.72, -0.028379, , 
821552, 332214, 54.83, -0.028064, , 
820848, 332110, 54.92, -0.026839, , 
820556, 332072, 55.02, -0.026296, , 
820575, 332145, 55.12, -0.025853, , 
820960, 332135, 55.22, -0.026977, , 
820987, 332240, 55.32, -0.026339, , 
820976, 332239, 55.42, -0.026316, , 
820828, 332162, 55.52, -0.026432, , 
821250, 332250, 55.61, -0.026992, , 
821251, 332093, 55.71, -0.028059, , 
821889, 332139, 55.81, -0.029495, , 
822203, 332213, 55.91, -0.029853, , 
822923, 332215, 56.01, -0.031809, , 
823212, 332223, 56.11, -0.032545, , 
823891, 332225, 56.21, -0.034387, , 
824359, 332326, 56.31, -0.034981, , 
824610, 332257, 56.41, -0.036133, , 
825080, 332257, 56.51, -0.037416, , 
825210, 332278, 56.60, -0.037628, , 
825588, 332142, 56.70, -0.039580, , 
825673, 332126, 56.80, -0.039920, , 
826588, 332332, 56.90, -0.041017, , 
826444, 332228, 57.00, -0.041329, , 
826777, 332203, 57.10, -0.042405, , 
826727, 332251, 57.20, -0.041944, , 
827410, 332352, 57.30, -0.043119, , 
826801, 332295, 57.40, -0.041848, , 
826728, 332299, 57.49, -0.041622, , 
826069, 332193, 57.59, -0.040545, , 
826223, 332179, 57.69, -0.041059, , 
825514, 332052, 57.79, -0.039988, , 
825415, 332132, 57.89, -0.039176, , 
825037, 332156, 57.99, -0.037983, , 
825262, 332159, 58.09, -0.038576, , 
824652, 332138, 58.18, -0.037054, , 
824592, 332238, 58.28, -0.036213, , 
824447, 332323, 58.38, -0.035242, , 
824065, 332249, 58.48, -0.034700, , 
823794, 332242, 58.58, -0.034007, , 
823857, 332232, 58.68, -0.034247, , 
823068, 332015, 58.78, -0.033561, , 
823173, 331985, 58.88, -0.034051, , 
823335, 332102, 58.98, -0.033701, , 
823416, 332033, 59.07, -0.034390, , 
823147, 331969, 59.17, -0.034089, , 
823526, 332052, 59.27, -0.034562, , 
823993, 332154, 59.37, -0.035147, , 
823865, 332138, 59.47, -0.034905, , 
824160, 332027, 59.57, -0.036463, , 
824171, 332009, 59.67, -0.036615, , 
