FlowCell Text Data File: 20241104_i287_6.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:54:09
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
677688, 332402, 0.00, 0.406437, , 
607994, 332499, 0.10, 0.651315, , 
816733, 332388, 0.19, -0.013646, , 
481867, 332508, 0.29, 1.174595, , 
390329, 332531, 0.38, 1.648869, , 
582400, 332481, 0.49, 0.747979, , 
619219, 332487, 0.58, 0.610065, , 
402474, 332636, 0.68, 1.580625, , 
709335, 332722, 0.78, 0.305890, , 
714899, 332809, 0.88, 0.288895, , 
732084, 332726, 0.98, 0.234877, , 
741813, 332741, 1.08, 0.205269, , 
747370, 332522, 1.17, 0.186992, , 
751770, 332501, 1.27, 0.173639, , 
682712, 332562, 1.37, 0.390898, , 
847712, 332416, 1.47, -0.097237, , 
423036, 332441, 1.57, 1.467173, , 
53715, 332472, 1.67, 6.111753, , 
53417, 332354, 1.77, 6.123473, , 
52813, 332298, 1.87, 6.148685, , 
52317, 332275, 1.97, 6.169765, , 
52241, 332297, 2.07, 6.173185, , 
52729, 332495, 2.16, 6.153601, , 
52684, 332518, 2.26, 6.155679, , 
53220, 332511, 2.36, 6.132851, , 
53140, 332449, 2.46, 6.135817, , 
53919, 332436, 2.56, 6.102978, , 
53253, 332461, 2.66, 6.131118, , 
53554, 332425, 2.76, 6.118190, , 
52586, 332624, 2.85, 6.160586, , 
51502, 332528, 2.96, 6.206811, , 
50423, 332396, 3.05, 6.253567, , 
50000, 332287, 3.15, 6.271787, , 
50093, 332349, 3.25, 6.268025, , 
50176, 332491, 3.35, 6.265261, , 
50383, 332430, 3.45, 6.255583, , 
51747, 332416, 3.55, 6.195373, , 
53973, 332385, 3.65, 6.100380, , 
57165, 332306, 3.74, 5.970540, , 
61459, 332312, 3.84, 5.807585, , 
