distance_mm,absorbance,fraction_number,fraction_volume_ml
6.03,0.8335228950183189,NA,NA
6.06,0.8131373507504223,NA,NA
6.09,0.7971415711195109,NA,NA
6.12,0.7814216642386639,NA,NA
6.15,0.7634802557388792,NA,NA
6.18,0.7508239883455864,NA,NA
6.21,0.7336521196222965,NA,NA
6.24,0.7194519328032061,NA,NA
6.27,0.7056437756815753,NA,NA
6.3,0.6899529080375769,NA,NA
6.33,0.6769191305652489,NA,NA
6.36,0.6622059172284954,NA,NA
6.39,0.6520809033138609,NA,NA
6.42,0.6403006528988419,NA,NA
6.45,0.6270829602598045,NA,NA
6.48,0.6159367331826521,NA,NA
6.51,0.6029658740568298,NA,NA
6.54,0.5920326013832357,NA,NA
6.57,0.5812735641307347,NA,NA
6.6,0.5706887622993269,NA,NA
6.63,0.5604621110557214,NA,NA
6.66,0.5490545308469293,NA,NA
6.69,0.5395925795070106,NA,NA
6.72,0.5301741870223651,NA,NA
6.75,0.5192263947303466,NA,NA
6.78,0.5115455165838242,NA,NA
6.81,0.5010817115726199,NA,NA
6.84,0.49252481644782387,NA,NA
6.87,0.48421959470905107,NA,NA
6.9,0.4746221269305043,NA,NA
6.93,0.4664475817575515,NA,NA
6.96,0.4569856304176327,NA,NA
6.99,0.45029208632397144,NA,NA
7.02,0.4423934139010828,NA,NA
7.05,0.43345900869725146,NA,NA
7.08,0.42616532037538063,NA,NA
7.08,0.4249505123005368,NA,NA
7.11,0.41776814105325316,NA,NA
7.14,0.41054705082350446,NA,NA
7.17,0.4034517972867674,NA,NA
7.2,0.39662757662728637,NA,NA
7.23,0.39003566986259613,NA,NA
7.26,0.38232091260641676,NA,NA
7.29,0.3757580450785754,NA,NA
7.32,0.36940329208148415,NA,NA
7.35,0.3621096037596133,NA,NA
7.38,0.3559387659292315,NA,NA
7.41,0.35043583054637323,NA,NA
7.44,0.34393588136503783,NA,NA
7.47,0.3378376416267781,NA,NA
7.5,0.33089242414709347,NA,NA
7.53,0.32516685461506084,NA,NA
7.56,0.31872498390742304,NA,NA
7.59,0.31331400610791954,NA,NA
7.62,0.3088952022340854,NA,NA
7.65,0.3026904852940465,NA,NA
7.68,0.2974392232972118,NA,NA
7.71,0.29159749681778374,NA,NA
7.74,0.2866947056631352,NA,NA
7.77,0.28187419234622524,NA,NA
7.8,0.27707787839335596,NA,NA
7.83,0.2723493226598006,NA,NA
7.86,0.2670351423164599,NA,NA
7.89,0.26258245933296886,NA,NA
7.92,0.25824109342406487,NA,NA
7.95,0.25325118455886986,NA,NA
7.98,0.2489824167420881,NA,NA
8.01,0.2447330084165388,NA,NA
8.04,0.24048360009098965,NA,NA
8.07,0.23635034871283592,NA,NA
8.1,0.2318105480187982,NA,NA
8.13,0.2282145225223481,NA,NA
8.16,0.22415870910912472,NA,NA
8.19,0.220606242467948,NA,NA
8.22,0.21765875992778916,NA,NA
8.25,0.21362230600579823,NA,NA
8.28,0.21027311402256355,NA,NA
8.31,0.20644961450413082,NA,NA
8.34,0.2032601383235649,NA,NA
8.37,0.20010454125265598,NA,NA
8.4,0.19638751893600237,NA,NA
8.43,0.1933093598300237,NA,NA
8.46,0.1908991031715687,NA,NA
8.49,0.18764670864449684,NA,NA
8.52,0.1849267001263208,NA,NA
8.55,0.18171786445452226,NA,NA
8.58,0.17904625466442742,NA,NA
8.61,0.1764230436024142,NA,NA
8.64,0.1733545642420518,NA,NA
8.67,0.17127825880735856,NA,NA
8.7,0.16857760978041497,NA,NA
8.73,0.16634642841586128,NA,NA
8.76,0.16408136794165057,NA,NA
8.79,0.16124036260327085,NA,NA
8.82,0.15879138696235065,NA,NA
8.85,0.15643436890478526,NA,NA
8.88,0.1542080274130396,NA,NA
8.91,0.15208332325026502,NA,NA
8.94,0.1498182627760543,NA,NA
8.97,0.14799363072738458,NA,NA
9,0.14581084809091224,NA,NA
9.03,0.14383134011238197,NA,NA
9.06,0.14221966246727047,NA,NA
9.09,0.14013367728696094,NA,NA
9.12,0.13843488193130293,NA,NA
9.15,0.13649893280804584,NA,NA
9.18,0.13480497732519597,NA,NA
9.21,0.1330384237502239,NA,NA
9.24,0.13102987653484474,NA,NA
9.27,0.12963115329329147,NA,NA
9.3,0.12775812251654028,NA,NA
9.33,0.12634487965656271,NA,NA
9.36,0.12507683298082928,NA,NA
9.39,0.12351355406379928,NA,NA
9.42,0.12207611183978097,NA,NA
9.45,0.12050315317713453,NA,NA
9.48,0.11944322103215131,NA,NA
9.51,0.11826229206696454,NA,NA
9.54,0.11697488589999866,NA,NA
9.57,0.11590043413659101,NA,NA
9.6,0.11464690707928203,NA,NA
9.63,0.11358213506149066,NA,NA
9.66,0.1125367225349319,NA,NA
9.69,0.11147195051714053,NA,NA
9.72,0.11040233862654089,NA,NA
9.75,0.10916817106046463,NA,NA
9.78,0.10825343509972557,NA,NA
9.81,0.10749357506884723,NA,NA
9.84,0.10657883910810831,NA,NA
9.87,0.10585285818688686,NA,NA
9.9,0.10480744566032808,NA,NA
9.93,0.10407178499349048,NA,NA
9.96,0.10337968318192607,NA,NA
9.99,0.10244074785714641,NA,NA
10.02,0.1017292865543494,NA,NA
10.05,0.10097910626908735,NA,NA
10.08,0.10047091962423228,NA,NA
10.11,0.09988529501444711,NA,NA
10.14,0.09925127167658046,NA,NA
10.17,0.09870436604926033,NA,NA
10.2,0.09795902563680631,NA,NA
10.23,0.0972475643340093,NA,NA
10.26,0.09659418150491007,NA,NA
10.29,0.09596499803985158,NA,NA
10.32,0.09543261203095589,NA,NA
10.35,0.09495830449575784,NA,NA
10.38,0.09458079441672275,NA,NA
