sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PAICS,3,0.087275,0.16215,NA,417,1,0.84125,0.84095,NA,1823,0,-0.025204,0.16215,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,LRRC47,4,0.11549,0.24161,NA,538,2,0.84135,0.84176,NA,1824,0,-0.072813,0.24161,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SETD1B,4,0.19673,0.32934,NA,744,1,0.84216,0.84256,NA,1825,0,-0.0034779,0.32934,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,LDHB,4,0.064022,0.14669,0.223678,316,3,0.84228,0.84274,NA,1826,0,-0.082758,0.14669,0.223678,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,POLR2L,3,0.23033,0.34833,NA,815,1,0.84268,0.84236,NA,1827,0,-0.0012922,0.34833,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NACA,4,0.17585,0.30728,NA,698,2,0.84274,0.84321,NA,1828,0,-0.091094,0.30728,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SUPT16H,4,0.27925,0.41814,NA,935,2,0.84298,0.8435,NA,1829,0,-0.22354,0.41814,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MSN,4,0.24096,0.37707,NA,842,2,0.84344,0.84402,NA,1830,0,-0.066501,0.37707,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PSMD4,4,0.56142,0.63635,NA,1361,1,0.84367,0.84423,NA,1831,0,0.023066,0.84423,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PUS1,4,0.27056,0.40897,NA,916,2,0.84413,0.84462,NA,1832,0,-0.080302,0.40897,1,2
