sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GCN1,4,1,1,NA,2186,0,7.7556e-10,2.2646e-6,6.5e-4,1,4,0.64232,2.2646e-6,6.5e-4,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PDIA4,4,0.020146,0.058634,NA,140,2,1.5873e-4,6.3636e-4,NA,2,2,0.2664,6.3636e-4,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTCD2,4,0.047159,0.11392,NA,249,1,2.3194e-4,9.4888e-4,NA,3,1,0.17335,9.4888e-4,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TNPO3,4,0.90130999999999994,0.90228,NA,1960,0,3.1224e-4,0.0012342,0.120485,4,3,0.39844,0.0012342,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF3A,3,0.60737,0.61779,NA,1425,1,5.2183e-4,0.0016509,NA,5,2,0.75275,0.0016509,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NXF2B,4,0.99816,0.99824,NA,2182,0,6.4319e-4,0.002507,0.120485,6,4,0.36909,0.002507,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CISD2,4,0.54955,0.63002,NA,1348,1,6.634e-4,0.0025885,0.120485,7,3,0.27735,0.0025885,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NOL7,4,0.6555,0.69063,NA,1492,1,6.8075e-4,0.0026383,0.120485,8,3,0.27046,0.0026383,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF5A2,4,0.99932,0.99942,NA,2185,0,6.8429e-4,0.0026609,0.120485,9,4,0.27492,0.0026609,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,FASTKD1,4,0.99883,0.99887,NA,2184,0,7.6618e-4,0.0029463,0.120485,10,4,0.39405,0.0029463,0.120485,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,METTL5,4,0.059182,0.13714,NA,293,1,8.6424e-4,0.0033585,0.120485,11,3,0.30337,0.0033585,0.120485,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,POLR2F,4,0.78988,0.792,NA,1733,1,0.0011593,0.0044455,NA,12,1,0.088569,0.0044455,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PHF3,4,0.99866,0.99874,NA,2183,0,0.0013396,0.0051022,0.162704,13,4,0.29681,0.0051022,0.162704,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RBM25,4,0.28183,0.42102,NA,939,2,0.0016228,0.0061258,NA,14,2,0.21384,0.0061258,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NKAP,4,0.26662,0.40475,NA,904,2,0.0016933,0.0064021,NA,15,2,0.13401,0.0064021,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SETD1A,4,0.99529,0.99541,NA,2176,0,0.0017329,0.0065154,0.163192,16,4,0.31721,0.0065154,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTBP3,4,0.99808,0.99819,NA,2181,0,0.0019186,0.0072174,0.163192,17,4,0.29844,0.0072174,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,METTL2B,4,0.6148,0.66595,NA,1434,1,0.002086,0.0077745,0.163192,18,3,0.13101,0.0077745,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SMAD9,4,0.9723,0.97232,NA,2117,0,0.0024462,0.0091152,0.163192,19,3,0.19794,0.0091152,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,USO1,4,0.96935,0.96928,NA,2108,0,0.0025012,0.0092329,0.163192,20,3,0.39075,0.0092329,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CCT7,4,0.084571,0.18533,0.231448,407,3,0.0025492,0.0093779,NA,21,1,-0.30237000000000003,0.18533,0.231448,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,KHSRP,4,0.94361,0.94421,NA,2046,0,0.002727,0.0099893,NA,22,2,0.13006,0.0099893,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CALR3,4,0.99712,0.99724,NA,2180,0,0.0028808,0.010524,0.163192,23,4,0.14815,0.010524,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CHD3,4,0.84778,0.84835,NA,1852,0,0.0029675,0.010823,0.163192,24,3,0.29254,0.010823,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GCFC2,4,0.9739,0.97396,NA,2121,0,0.0033646,0.012172,NA,25,2,0.21828,0.012172,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EEF1E1,4,0.99654,0.99663,NA,2179,0,0.003456,0.012449,0.163192,26,4,0.21023,0.012449,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,POLR2K,4,0.98051,0.98056,NA,2141,0,0.0035798,0.012811,0.163192,27,3,0.95423,0.012811,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,FTSJ1,4,0.40625,0.55418,NA,1190,1,0.0039376,0.014025,NA,28,1,0.028818,0.014025,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MPP4,4,0.99604,0.9961,NA,2178,0,0.0039572,0.014111,0.163192,29,4,0.21876,0.014111,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PSMC4,4,0.75134,0.75951,NA,1657,1,0.0039862,0.014183,0.163192,30,3,1.1064,0.014183,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF3D,4,0.98482,0.98486,NA,2151,0,0.0040667,0.014464,0.163192,31,3,0.26382,0.014464,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DHX36,4,0.9959,0.99598,NA,2177,0,0.0040982,0.014555,0.163192,32,4,0.20212,0.014555,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ELP4,4,0.96588,0.96594,NA,2097,0,0.0041369,0.014654,0.163192,33,3,0.40924,0.014654,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,WDR36,4,0.21701,0.3513,NA,787,1,0.0042433,0.014949,0.163192,34,3,0.19739,0.014949,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,LARP4B,4,0.95129,0.95159,NA,2059,0,0.0044001,0.015497,NA,35,2,0.12079,0.015497,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CWF19L2,4,0.85995,0.86065,NA,1878,0,0.0044235,0.015565,0.163192,36,3,0.27991,0.015565,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SRRM2,4,0.97642,0.97637,NA,2131,0,0.0046073,0.016167,0.163192,37,3,0.25624,0.016167,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL3L,4,0.99124,0.99141,NA,2165,0,0.0048262,0.016933,0.163192,38,4,0.23992,0.016933,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RO60,4,0.13656,0.26535,NA,596,2,0.0048624,0.017064,NA,39,1,-0.064918,0.26535,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DBR1,4,0.92888,0.92953,NA,2021,0,0.0049088,0.017236,NA,40,2,0.34714,0.017236,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,XPOT,4,0.99122,0.9914,NA,2164,0,0.0052195,0.018251,0.163192,41,4,0.2343,0.018251,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPP30,4,0.68418,0.70994,NA,1539,1,0.005223,0.018255,0.163192,42,3,0.32306,0.018255,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,HNRNPC,4,0.94457,0.94518,NA,2047,0,0.0053245,0.018568,0.163192,43,3,0.26773,0.018568,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DHCR7,4,0.83059,0.83104,NA,1814,0,0.005365,0.018645,0.163192,44,3,0.48248,0.018645,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZNF768,4,0.99463,0.99469,NA,2175,0,0.0053746,0.018658,0.163192,45,4,0.13816,0.018658,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NSA2,4,0.99428,0.99439,NA,2174,0,0.0057235,0.019791,0.163192,46,4,0.40326,0.019791,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DIAPH1,3,0.43222,0.49186,NA,1231,1,0.0057301,0.015651,NA,47,2,0.22001,0.015651,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPS19BP1,4,0.38429,0.53124,NA,1143,1,0.0057894,0.019994,0.163192,48,3,0.38592,0.019994,0.163192,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,STK10,4,0.99249,0.99254,NA,2169,0,0.0058734,0.020244,0.163192,49,4,0.24189,0.020244,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MRM2,4,0.83496,0.83538,NA,1823,0,0.0059099,0.020402,NA,50,2,0.30574,0.020402,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZGPAT,4,0.99407,0.9942,NA,2173,0,0.0059289,0.02047,0.163192,51,4,0.20035,0.02047,0.163192,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,UBE2L3,4,0.28424,0.4237,NA,945,1,0.0059518,0.020533,NA,52,2,0.27814,0.020533,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL7,4,0.55942,0.63527,NA,1359,1,0.0062484,0.021489,NA,53,1,-0.1167,0.63527,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PIH1D1,4,0.99335,0.99345,NA,2172,0,0.0066538,0.022871,0.170986,54,4,0.2032,0.022871,0.170986,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DNAJC21,4,0.45223,0.58311,NA,1252,1,0.0067014,0.022984,0.170986,55,3,0.38213,0.022984,0.170986,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DDX47,3,0.51921,0.55044,NA,1320,1,0.0067696,0.018278,NA,56,2,0.33427,0.018278,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,IMP4,4,0.89733,0.89849,NA,1953,0,0.0069089,0.023645,0.170986,57,3,0.51896,0.023645,0.170986,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GAR1,4,0.99302,0.99314,NA,2171,0,0.0069841,0.023831,0.170986,58,4,0.19476,0.023831,0.170986,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NDRG4,4,0.92261,0.9234,NA,2007,0,0.0071715,0.024465,NA,59,1,0.046419,0.024465,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SNW1,4,0.99281,0.99293,NA,2170,0,0.007188,0.024506,0.171539,60,4,0.66137,0.024506,0.171539,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DDX10,3,0.71793,0.71892,NA,1595,0,0.007463,0.020117,NA,61,2,0.4984,0.020117,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZMAT3,4,0.99229,0.99237,NA,2168,0,0.0077053,0.026086,0.174704,62,4,0.15626,0.026086,0.174704,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL24,4,0.31443,0.4561,NA,995,2,0.0077899,0.02634,NA,63,2,0.21899,0.02634,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TRA2B,4,0.99212,0.99223,NA,2167,0,0.0078756,0.026621,0.174704,64,4,0.13812,0.026621,0.174704,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NONO,4,0.91485,0.91577,NA,1991,0,0.0079238,0.026784,0.174704,65,3,0.29531,0.026784,0.174704,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SETX,4,0.99172,0.9919,NA,2166,0,0.0082755,0.028011,0.17865,66,4,0.26818,0.028011,0.17865,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SRP9,4,0.18439,0.3162,NA,719,2,0.0085551,0.028917000000000002,NA,67,1,-0.045743,0.3162,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,UTP14C,4,0.9911,0.99127,NA,2163,0,0.0089036,0.03,0.182824,68,4,0.16384,0.03,0.182824,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL35A,4,0.089391,0.1946,NA,428,1,0.0094767,0.03178,0.182824,69,3,0.30564,0.03178,0.182824,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF1AD,4,0.0080941,0.027404,NA,68,1,0.0097164,0.032541,0.182824,70,3,0.42546,0.032541,0.182824,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TDRD12,4,0.99019,0.99036,NA,2162,0,0.0098104,0.032812,0.182824,71,4,0.1766,0.032812,0.182824,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ALKBH7,4,0.36008,0.50505,NA,1101,1,0.009904,0.033125,0.182824,72,3,0.2053,0.033125,0.182824,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NOP53,4,0.65215,0.68862,NA,1486,1,0.0099372,0.033229,NA,73,2,0.080369,0.033229,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,LMNA,4,0.80377,0.80499,NA,1753,1,0.010383,0.034606,0.184046,74,3,0.25045,0.034606,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PNRC2,4,0.56937,0.6407,NA,1379,1,0.010398,0.03466,NA,75,1,-0.040272,0.6407,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ABCE1,4,0.98937,0.98958,NA,2161,0,0.01063,0.035476,0.184046,76,4,0.19312000000000001,0.035476,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RAN,4,0.98928,0.98946,NA,2160,0,0.010723,0.03577,0.184046,77,4,0.23376,0.03577,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SRBD1,4,0.26675,0.40487,NA,905,1,0.010858,0.0362,NA,78,2,0.01978,0.0362,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPS29,4,0.97555,0.97551,NA,2127,0,0.011065,0.036807,0.184046,79,3,0.30029,0.036807,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TDRD5,4,0.98885,0.98899,NA,2159,0,0.011146,0.037065,0.184046,80,4,0.14009,0.037065,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZNF638,4,0.98847,0.98853,NA,2158,0,0.011533,0.038324,0.184046,81,4,0.26565,0.038324,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTPN12,4,0.07631,0.16995,NA,366,2,0.011778,0.039135,NA,82,2,-0.056874,0.16995,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPS21,4,0.74139,0.75144,NA,1639,1,0.011907,0.039452,0.184046,83,3,0.30684,0.039452,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ROR2,4,0.57256,0.64231,NA,1383,1,0.011924,0.039498,NA,84,2,0.19465,0.039498,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SUCO,3,0.98631,0.98617,NA,2153,0,0.012171,0.032029,0.182824,85,3,0.4214,0.032029,0.182824,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,THOC3,4,0.98778,0.98784,NA,2157,0,0.012217,0.040476,0.184046,86,4,0.16325,0.040476,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GNL3,4,0.69193,0.71525,NA,1555,1,0.012238,0.040535,0.184046,87,3,0.30242,0.040535,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MTHFSD,4,0.97092,0.97101,NA,2112,0,0.012499,0.041268,0.184046,88,3,0.29274,0.041268,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PRPF40B,4,0.98749,0.98754,NA,2156,0,0.01251,0.041314,0.184046,89,4,0.11519,0.041314,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CCNT1,3,0.98745,0.98732,NA,2155,0,0.012547,0.032907,0.182824,90,3,0.19918,0.032907,0.182824,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TRAP1,4,0.96397,0.96396,NA,2092,0,0.012664,0.041871,0.184046,91,3,0.19727,0.041871,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ERH,4,0.69536,0.71767,NA,1557,1,0.012697,0.041952,NA,92,1,0.063069,0.041952,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EIF3E,4,0.28279,0.42207,NA,941,1,0.012753,0.042156,NA,93,2,0.26164,0.042156,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CLASP2,4,0.023679,0.066098,NA,153,2,0.013157,0.043415,NA,94,1,-0.021949,0.066098,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CTTN,4,0.98676,0.98676,NA,2154,0,0.013237,0.043651,0.184046,95,4,0.15407,0.043651,0.184046,4
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ERI2,4,0.94055,0.94107,NA,2039,0,0.013251,0.043701,0.184046,96,3,0.2913,0.043701,0.184046,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PUF60,4,0.25007,0.38675,NA,861,1,0.013856,0.045467,NA,97,2,0.17345,0.045467,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,HNRNPA2B1,4,0.97795,0.97791,NA,2135,0,0.013918,0.045608,0.184046,98,3,0.19815,0.045608,0.184046,3
