treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,ZFP36L1,0.18822,0.038873,0.003911,day7,0.36908,0.273172
heavy,mono,rep1,CPSF4,0.16225,0.041533,0.0044228,day13,-2.1398,0.121406
heavy,mono,rep1,CPSF4,0.16225,0.041533,0.0044228,day7,-1.3855,0.151465
heavy,mono,rep1,GTPBP2,0.13415,0.041533,0.0044319,day13,0.77781,NA
heavy,mono,rep1,GTPBP2,0.13415,0.041533,0.0044319,day7,0.26758,NA
heavy,mono,rep1,IBA57,0.18842,0.045414,0.0049845,day13,0.079346,NA
heavy,mono,rep1,IBA57,0.18842,0.045414,0.0049845,day7,0.44649,0.171279
heavy,mono,rep1,GAPDH,0.22724,0.049085,0.005537,day13,-3.4831,0.029577
heavy,mono,rep1,GAPDH,0.22724,0.049085,0.005537,day7,-0.24698,0.309424
heavy,mono,rep1,SNRPG,0.31861,0.052586,0.0061349,day13,-5.2532,0.010618
heavy,mono,rep1,SNRPG,0.31861,0.052586,0.0061349,day7,-2.7305,0.001393
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day13,0.6237,NA
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day7,0.1452,NA
heavy,mono,rep1,THOC7,0.20795,0.055172,0.0067282,day13,-0.8721,NA
heavy,mono,rep1,THOC7,0.20795,0.055172,0.0067282,day7,-0.32763,0.30525
heavy,mono,rep1,ZNF598,0.1936,0.055891,0.0069864,day13,1.2433,NA
heavy,mono,rep1,ZNF598,0.1936,0.055891,0.0069864,day7,0.56431,0.154529
heavy,mono,rep1,PABPC4,0.12218999999999999,0.058163,0.0074756,day13,0.50323,NA
heavy,mono,rep1,PABPC4,0.12218999999999999,0.058163,0.0074756,day7,0.14832,NA
heavy,mono,rep1,RBM3,0.17305,0.058163,0.007625,day13,1.0525,NA
heavy,mono,rep1,RBM3,0.17305,0.058163,0.007625,day7,0.39114,0.289711
heavy,mono,rep1,CD2BP2,0.15104,0.063451,0.0089204,day13,0.53263,NA
heavy,mono,rep1,CD2BP2,0.15104,0.063451,0.0089204,day7,0.30883,0.300082
heavy,mono,rep1,SAMHD1,0.21102,0.063451,0.008943,day13,0.7292,NA
heavy,mono,rep1,SAMHD1,0.21102,0.063451,0.008943,day7,0.26229,NA
