Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
15.21,0.2817356080296411,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.31,0.2744635845822042,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.41,0.2626500027650279,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.5,0.25377771940496596,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.61,0.24526488967538568,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.71,0.23782696455234195,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.8,0.22784521373665875,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
15.9,0.22146145551070062,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16,0.221869297129901,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.1,0.20768124758060055,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.2,0.20220649228557205,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.29,0.2005060001106011,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.4,0.19818337665210417,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.5,0.19858430570148758,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.59,0.2010140739921473,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.69,0.20482635624619805,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.79,0.21032876182049437,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.89,0.21637380412542162,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
16.99,0.22317231654039704,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.09,0.23052729082563733,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.18,0.2371460764253719,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.29,0.2433846706851739,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.39,0.24987557374329478,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.48,0.26628255820383784,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.58,0.25921791185090964,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.68,0.2574171874135929,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.78,0.25724091688326045,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.88,0.256238594259802,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
17.97,0.2536671182878947,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.08,0.24992741801692195,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.17,0.24424528562738484,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.27,0.23748824863131113,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.37,0.231654039705801,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.47,0.22387739866172646,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.57,0.21701667311839848,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
