Amplicon,Treatment,Reporter,std_error,n,CT,norm_ct,norm_error
globin,DMSO,NTC,0.24606021157372113,3,20.353502695883968,-0.3664040690737025,0.4569788785184918
globin,DMSO,PTC,0.09014229774739942,3,26.294758487887535,-4.795895802396167,0.2937065914910993
globin,4E1RCat,NTC,0.06381333807090168,3,20.299498058203934,-0.10862944502913408,0.3024705887561738
globin,4E1RCat,PTC,0.17766742828758555,3,24.418308305476366,-3.1884706078667655,0.20762433357158738
globin,eFT226,NTC,0.11882471499509172,3,21.602611107363,-0.39523909589649975,0.3473321043849196
globin,eFT226,PTC,0.025599273842198615,3,23.9663862823316,-2.370744183216935,0.1448064725974773
globin,SMG1i,NTC,0.11692202493757774,3,20.980771105446134,-0.984433309791001,0.5282166997083046
globin,SMG1i,PTC,0.060874185341955656,3,22.6120026548387,-1.2638360033195006,0.148397086357953
