type,day,gene,A,B
total,day 5,POLR2H,-1.874,-1.5365
grna,day 13,PRPF38A,-3.4901,-1.3064
total,day 13,PSMC2,-5.1576,-4.3736
grna,day 21,EIF4G1,-1.5413,-3.8492
total,day 21,RPS27,-4.1933,-2.0984
grna,day 5,EIF2S1,-3.0185,-1.187
total,day 5,PPP1R10,-0.87399,-1.8507
grna,day 13,SF3B2,-1.7002,-2.4369
total,day 13,RPLP0,-4.8129,-4.9231
grna,day 21,AARS1,-3.0693,-1.4427
total,day 21,RPL15,-4.2892,-4.8812
grna,day 5,MAK16,-1.0684,-1.7339
total,day 5,RPSA,-1.6535,-1.2204
grna,day 13,SUPT6H,-4.0063,-1.5996
total,day 13,RPL6,-5.4231,-3.7622
grna,day 21,RPL9,-2.6502,-3.209
total,day 21,RPL13A,-1.2208,-4.6486
grna,day 5,SF3B2,0.44535,-1.726
total,day 5,RPS3,-1.4647,-1.3239
grna,day 13,RPL28,-2.6133,-2.1073
total,day 13,RPL4,-4.7735,-2.6522
grna,day 21,NUTF2,-2.1651,-2.7762
grna,day 5,RPS23,-1.3796,-1.2499
grna,day 13,NOP56,-1.9355,-2.8163
grna,day 21,ELP5,-0.33414,-3.0332
total,day 21,ELAC2,-4.0328,-2.6122
grna,day 5,SF3A1,-1.6405,-1.3407
grna,day 13,RBM39,-3.4626,-1.8582
total,day 13,RPS27A,-4.9198,-4.2346
grna,day 21,DUT,-2.5394,-2.1508
total,day 21,EIF2B5,-4.7817,-4.4679
grna,day 5,PDE12,-2.8926,0.24256
total,day 5,PSMD7,-1.3389,-1.5789
grna,day 13,KARS1,-3.131,-2.4079
total,day 13,RPL21,-3.0031,-4.5603
grna,day 21,TENT2,1.0736,1.9981
grna,day 5,POLR2A,-2.0614,-2.7468
total,day 5,RPS7,-1.1568,-0.63313
grna,day 13,SFPQ,-2.5845,-4.048
grna,day 21,RTCB,-1.5697,-2.095
total,day 21,RPL19,-3.6815,-4.4196
grna,day 5,FAM120C,-2.4723,-0.86402
total,day 5,RPS11,-2.2417,-1.1341
grna,day 13,POLR2L,-1.5522,-4.4995
total,day 13,RPL15,-5.1059,-5.2962
grna,day 21,FEN1,-1.9638,-2.3226
total,day 21,YARS1,-1.9175,-3.8324
grna,day 5,RPS12,0.18975,-1.71
total,day 5,RPL8,-1.3136,-0.9237
grna,day 13,RPS29,-2.4112,-3.4961
total,day 13,IARS1,-4.887,-2.7817
grna,day 21,AQR,-5.0196,-1.128
total,day 21,GNL2,-1.6214,-3.7271
grna,day 5,MRPL33,-0.37747000000000003,-2.7286
total,day 5,ARCN1,-1.7168,-1.4684
grna,day 13,DIS3,-3.0107,-0.89228
total,day 13,NOP56,-2.4926,-4.4588
total,day 21,NOB1,-4.4784,-3.2304
grna,day 5,ADAD1,-0.84694,0.024547
grna,day 13,POLR2K,-1.4779,-4.1449
total,day 13,CCT3,-3.1461,-5.0311
grna,day 21,SF3B2,-1.1151,-2.4379
grna,day 5,NUP153,0.20487,-1.2351
total,day 5,RPS16,-1.8509,-1.7202
grna,day 13,PHB1,-3.902,-1.8672
total,day 13,RRP12,-4.3997,-4.4458
grna,day 21,RPL23,-3.4022,-0.69366
grna,day 5,DZIP1L,0.45331,-3.2194
total,day 5,RPS6,-1.3422,-1.2709
total,day 13,EEF1A1,-4.3966,-4.7482
grna,day 21,NARS2,-2.6145,-0.45046
total,day 21,NUBP1,-1.7042,-4.2968
grna,day 5,NFS1,-1.4404,-1.2187
total,day 5,PSMB2,-1.6744,-1.2123
grna,day 13,EIF6,-0.41548,-2.9038
total,day 13,LSM4,-4.6261,-6.0643
grna,day 21,MRPL24,-2.0478,-1.4589
total,day 21,MRPL44,-4.9372,-3.6109
grna,day 5,XAB2,-0.75445,-2.2659
total,day 5,RPL5,-1.4827,-1.0691
total,day 13,RPS20,-3.5319,-5.2932
total,day 21,ERH,-2.357,-3.6407
grna,day 5,RPS18,-0.69195,-2.0062
grna,day 13,DGCR8,-2.3989,-2.0575
total,day 13,SF3B5,-5.6643,-4.3427
grna,day 21,PSMA6,-1.3877,-2.5421
total,day 21,MRPL21,-4.8096,-1.2433
grna,day 5,C12ORF43,0.015978,1.4942
grna,day 13,RPS23,-1.1869,-2.4841
grna,day 21,SUPT5H,-3.6452,-1.734
total,day 21,RPL21,-3.4363,-4.6446
grna,day 5,COPB1,-1.1401,-2.0762
total,day 5,POLR2B,-0.78237,-1.7476
grna,day 13,PSMC2,-2.112,-2.4934
total,day 13,SF3A2,-5.2145,-4.9162
grna,day 21,MRPS12,-2.295,-2.7964
total,day 21,MRPL57,-4.8689,-3.6755
grna,day 5,SNRNP200,-1.428,0.96018
total,day 5,KPNB1,-1.6524,-2.3403
total,day 13,DHX15,-3.9289,-5.6802
grna,day 21,MRPS23,-2.2828,-2.9223
total,day 21,RPUSD4,-3.9393,-4.8184
grna,day 5,RPL35A,-1.5927,-1.5787
grna,day 13,RPF1,-2.7068,-2.3805
grna,day 21,EIF2B5,-2.7826,-2.4534
total,day 21,NBPF10,-4.4235,-3.7718
grna,day 5,SRSF4,-1.7351,0.043152
total,day 5,RPS24,-0.80962,-1.4226
grna,day 13,PSMD6,-2.7234,-3.0594
total,day 13,SFPQ,-4.4267,-5.5227
grna,day 21,TRMT6,-0.55029,-3.3148
total,day 21,GATB,-1.8287,-3.843
grna,day 5,POLR2F,-0.44169,-2.077
total,day 5,POLR2E,-1.7647,-1.5075
grna,day 13,MRPL4,-3.5602,-1.2914
total,day 13,SRP14,-2.9331,-4.29
grna,day 21,NOC2L,-1.2815,-2.6052
total,day 21,MRPL53,-4.0101,-2.2532
grna,day 13,XAB2,-0.67238,-2.377
total,day 13,SRSF7,-5.319,-4.3432
grna,day 21,RPL24,-3.1097,-2.1511
grna,day 5,LASP1,-0.51693,-2.3628
total,day 5,RPL35A,-1.216,-1.2457
grna,day 13,RPL32,-2.9714,-2.8764
total,day 13,SNRPD3,-5.2986,-4.0633
grna,day 21,SON,-2.1196,-2.0959
total,day 21,DUT,-4.9421,-3.8933
grna,day 5,PSMA6,-1.3687,-1.7498
total,day 5,RPS27A,-2.1102,-2.5179
grna,day 13,DDX60L,0.49654,1.9833
total,day 13,RPL24,-5.4542,-4.6952
grna,day 21,PSMC1,-2.6064,-2.5096
grna,day 5,RPL27A,-1.9534,-0.35579
total,day 5,RPL9,-1.0541,-1.8233
grna,day 13,POLR2A,-3.3768,-2.0162
total,day 13,EIF2B3,-4.6791,-5.4008
grna,day 21,FXR2,0.76952,-0.30055
total,day 21,UTP6,-3.9988,-3.8403
grna,day 5,CHERP,-0.61418,0.71293
grna,day 13,LIMA1,-0.75281,-2.4703
total,day 13,DDX19A,-1.7925,-6.3816
grna,day 21,LSG1,-2.4195,-2.5738
total,day 21,MRPL3,-3.9269,-2.7202
grna,day 5,CNN2,0.99911,-2.7781
total,day 5,RPL37,-1.452,-1.812
grna,day 13,POLR2H,-2.497,-1.687
grna,day 21,RPF1,-2.1356,-2.3127
total,day 21,MRPL13,-2.9325,-3.9259
grna,day 5,RPL21,-1.0907,-0.51123
total,day 5,POLR2G,-1.6651,-0.80861
grna,day 13,CPSF1,-1.0347,-3.5311
total,day 13,UBE2I,-5.4156,-1.4695
grna,day 21,DDX20,0.62454,-3.0472
total,day 21,RCC1L,-2.5123,-4.2065
grna,day 5,PSMB2,-0.42335,-1.5479
grna,day 13,IMP3,-3.3722,-0.50998
total,day 13,PSMD7,-2.2967,-5.2184
grna,day 21,PSMB2,-1.3921,-3.0148
grna,day 5,RPS21,-0.13161,-1.3943
total,day 5,EIF3C,-2.3752,-1.4863
grna,day 13,UBA52,-2.5683,-3.7363
total,day 13,USO1,-4.9576,-4.2739
grna,day 21,UPF2,-1.178,-2.3197
total,day 21,LSM4,-3.8756,-4.964
grna,day 5,RBM7,-1.3754,-0.19426
grna,day 13,EIF3D,-3.4478,-2.5943
total,day 13,UBA52,-4.0219,-3.8707
grna,day 21,POLR2K,-0.89659,-3.5567
total,day 21,MRPS12,-4.404,-2.6112
total,day 5,RPL21,-1.8951,-0.65964
grna,day 13,RPL35A,-2.4981,-2.8327
total,day 13,WDR75,-2.1008,-3.9962
grna,day 21,DDX59,-2.0689,-1.3902
total,day 21,NOL10,-4.1849,-2.9778
grna,day 13,MRPS23,-1.6972,-3.4761
total,day 13,RUVBL1,-5.6534,-4.4926
grna,day 21,C12ORF43,1.5648,2.7077
total,day 21,ATP5F1B,-4.1479,-4.2349
grna,day 5,RPL7,-2.1358,-1.5436
total,day 5,PSMA4,-1.9866,-1.6226
grna,day 13,SNRPD2,-2.612,-3.1587
total,day 13,RPL27,-3.6811,-4.6387
grna,day 21,POLR2L,-0.85864,-3.9112
total,day 21,RPS29,-3.3529,-4.3297
