type,day,gene,A,B
grna,day 13,RPS4X,-2.7436,-1.5773
grna,day 21,MRPL12,-2.0099,-0.82341
total,day 21,TP53RK,-3.1263,-3.2012
grna,day 5,RPL13,-1.5936,-1.3266
grna,day 13,GLE1,-2.7436,-1.1214
total,day 13,RPL22,-2.4914,-2.4669
grna,day 21,MRPL39,-1.2492,-1.3264
total,day 21,EIF4A3,-2.8091,-4.5903
grna,day 5,RNASE10,-1.0315,0.23197
total,day 5,DDX24,-0.38255,-0.61841
total,day 13,DHX37,-3.8359,-3.3545
grna,day 21,FCF1,-2.0239,-0.81267
total,day 21,MRPS24,-0.79645,-3.807
grna,day 5,TBRG4,-1.501,1.101
total,day 5,LASP1,0.22777,-0.62774
grna,day 13,EXOSC9,-2.1753,-2.1335
grna,day 5,EDC4,0.045541,-0.13546
total,day 5,RPS4Y2,-0.028729,-0.58199
grna,day 13,HSPE1,-2.1868,0.029023
total,day 13,SAP18,-2.7548,-1.9186
total,day 21,MTERF4,-3.2956,-2.7153
grna,day 5,ZC3HAV1L,-1.0446,0.65538
grna,day 21,CEBPZ,-2.5435,-1.2694
grna,day 5,CSN2,0.79058,-0.036586
grna,day 13,RPS19BP1,-1.4562,-1.09
grna,day 21,DLX5,-2.0883,-1.3859
total,day 21,CPSF6,-3.5121000000000002,-3.0723
grna,day 5,FUBP1,-0.47758,0.72194
total,day 5,RTN4,0.69396,-1.3447
grna,day 13,DDX51,-1.5445,-2.7373
grna,day 21,RPL18,-0.89542,-1.9501
total,day 21,FARSA,-1.7209,-2.272
grna,day 5,RNASE6,-1.138,1.0138
total,day 5,MTERF4,-0.09437,0.37679
grna,day 13,PDCD11,-1.346,-1.4856
total,day 21,FBL,-3.7791,-2.7572
grna,day 5,CNOT8,-0.54307,0.91726
grna,day 13,RUVBL2,-0.84888,-1.286
total,day 13,VARS2,-1.8281,-0.6932
grna,day 21,MRPS35,-1.355,1.1595
grna,day 5,GOT2,-0.97345,0.1869
total,day 5,LARP7,-0.22097,-0.83116
grna,day 21,MRPL53,-0.7857,-2.0446
total,day 21,IPO11,-1.202,-2.484
grna,day 13,LMF2,-3.709,2.1203
grna,day 21,MRPS30,-2.3575,-1.556
grna,day 5,RPS10,-1.7166,-0.13229
total,day 5,NAA50,-0.52253,-0.069192
grna,day 13,DDX47,-0.49898,-2.3772
total,day 13,SNW1,-3.6885,-2.4046
grna,day 21,DDX55,0.52161,-2.5063
grna,day 5,GANAB,-0.3281,-0.62617
total,day 5,PTCD3,-0.6614,-0.054828
grna,day 13,RPS10,-2.2947,-0.92538
total,day 13,GEMIN5,-1.372,-0.959
grna,day 21,EEF2,-1.3907,-0.4568
total,day 5,MRPL51,0.29644,-0.75923
grna,day 13,RPP30,-1.6579,-2.3988
total,day 21,SON,-3.1997,-3.4661
total,day 5,RNASEH2B,-0.11484,-0.50735
grna,day 21,GTPBP3,-1.0263,-1.2338
total,day 5,TFAM,-0.94359,-0.42439
total,day 13,EIF2B1,-3.6451,-2.262
total,day 21,UTP4,-2.6539,-3.7549
grna,day 5,CNOT3,-0.84588,0.7133
grna,day 13,CIAO1,-0.97768,-0.63576
total,day 13,FTSJ3,-3.0767,-4.2811
grna,day 21,UBA1,-2.634,0.1555
total,day 21,GNL3,-2.7158,-4.0165
grna,day 5,PSMA2,-0.68387,-1.0657
total,day 5,GATC,-0.91501999999999994,0.18049
total,day 13,CPSF1,-2.365,-4.2271
grna,day 21,NAT10,-1.3379,-0.82712
total,day 21,UTP3,-4.0375,-2.2856
grna,day 5,ELP2,-0.32454,-0.38353
total,day 5,PNLDC1,0.22365,0.61027
grna,day 13,OSGEP,-0.83414,-0.74878
grna,day 5,LSM5,-0.66946,-0.14358
total,day 5,RPL29,-0.20039,-0.94171
grna,day 13,PSMD4,-1.1713,-2.0414
grna,day 21,SRPRB,-0.7581,-1.7831
total,day 21,CPSF3,-3.3582,-1.9012
grna,day 5,PSMB1,-0.87278,0.061634
total,day 5,SRP68,-0.10321,-0.72874
grna,day 13,STX18,-2.718,-1.6313
total,day 13,MRPS24,-0.77827,-2.0983
grna,day 21,RPS25,-1.187,-1.1142
grna,day 5,RPL36AL,-1.0043,-0.4432
total,day 5,UTP3,-0.60606,-0.57045
grna,day 21,MRPL40,-0.73851,-1.9154
total,day 21,TXNL4B,-2.9294,-1.9373
total,day 5,RPGR,-0.020152,-0.25369
grna,day 13,CDC5L,-1.05,-1.1857
total,day 13,RBMX,-3.8935,-3.1679
total,day 21,RARS1,-2.6192,-3.4292
grna,day 5,MTRF1,-0.83223,0.18643
total,day 5,H1-4,-0.0059538,-0.32505
grna,day 13,RCC1L,-0.2513,-2.3519
total,day 13,PHF5A,-3.6309,-2.541
total,day 21,MRPL10,-3.115,-2.9496000000000002
grna,day 5,CCDC86,-0.53395,0.40998
total,day 5,CCDC43,-0.23552,0.20859
grna,day 13,RPUSD4,-1.7938,-0.69093
total,day 13,CYCS,-1.5513,-1.9655
grna,day 21,RRP36,-1.0222,-1.1644
grna,day 13,RPS17,-1.443,-1.3626
total,day 13,UTP20,-4.0546,-2.8994
grna,day 21,RPS4X,-1.6341,-0.99253
total,day 21,MRPL17,-2.8393,-3.3692
grna,day 5,MARK2,-0.44266,0.28672
total,day 5,INTS1,-0.24523,-0.36279
grna,day 21,CNOT1,-1.86,1.0562
grna,day 5,RPL7A,-0.63514,-0.25595
total,day 5,TSNAX,-0.33462,-0.47069
grna,day 21,RPS27A,-1.24,-1.3328
grna,day 5,XPO1,-0.93311,-0.098921
grna,day 13,TPRKB,-1.7546,-2.0074
total,day 13,RPS25,-3.6003,-2.3787
grna,day 21,TUT1,-1.2986,-1.9671
total,day 21,PES1,-3.1195,-2.8961
grna,day 5,EIF3F,-0.84055,-1.0959
total,day 5,NUDT16L1,-0.22952,-0.077123
grna,day 13,PUF60,-1.6507,-2.1057
total,day 13,RPL38,-3.6118,-1.8676
total,day 21,PPIE,-3.7771,-0.48956
grna,day 5,GAR1,-0.021262,-0.011411
total,day 5,SAFB,-0.37661,-0.35542
grna,day 13,SNUPN,-1.5876,0.20325
total,day 13,PES1,-4.2188,-3.0982
grna,day 21,TEFM,-0.47101,-2.075
grna,day 5,TDRKH,0.019333,-0.37382
total,day 5,ESF1,-0.63488,-0.76409
total,day 13,METTL3,-2.792,-2.2704
grna,day 21,MRPL58,-0.43374,-0.90467
total,day 21,DAP3,-3.9554,-2.4378
grna,day 5,PPP1R10,-0.41744,-1.0568
total,day 5,MRPL17,-0.56517,0.014605
grna,day 13,SNRPB,-1.1074,-2.065
grna,day 5,YBX1,-1.3482,0.069154
total,day 5,RPL14,-1.034,-1.4432
grna,day 13,GTF3A,-1.8446,-1.905
grna,day 21,USP36,-1.3633,-1.1089
grna,day 5,SF3A3,-0.64799,-0.82554
total,day 5,EPPK1,-1.0761,0.42582
grna,day 13,ZNF106,0.33526,2.0261
grna,day 5,SMG8,-1.3894,0.8303
total,day 5,LARP1B,0.3503,-0.32498
grna,day 13,MRPL19,-1.9363,-0.68985
total,day 13,SUPT4H1,-2.071,-2.9292
total,day 21,EIF3C,-1.6956,-2.5317
grna,day 5,UTP6,0.098107,-0.65542
total,day 5,CDK11B,-0.54968,-0.23562
grna,day 21,DDX27,-1.9099,-1.5316
grna,day 5,SLU7,-0.45519,-1.2654
total,day 5,XRN2,0.30462,-0.29733
grna,day 13,POLR2E,-1.8432,-0.83447
total,day 13,KRT18,-3.9335,-3.1173
grna,day 21,MRPL41,-1.6713,-0.8648
grna,day 5,RPP40,0.69509,-0.93357
total,day 5,HDLBP,-0.029955,-0.73275
total,day 21,ABCF1,-3.951,-3.2863
total,day 5,RNASE7,-0.7516,0.12409
total,day 13,SNIP1,-0.77507,-2.1701
grna,day 5,GATB,1.3869,0.14166
total,day 5,TIAL1,0.51119,-0.63393
grna,day 21,PPP1R10,-1.6449,-1.2486
total,day 21,PKM,-2.684,-1.6148
grna,day 5,ATXN2,-0.81642,0.14154
total,day 5,MRPS34,-0.016908,-0.65858
total,day 13,NIFK,-1.9623,-2.2037
grna,day 5,RCL1,-0.71535,0.63452
total,day 5,EIF6,-0.73635,-0.53753
grna,day 13,VARS2,-2.6765,0.52676
grna,day 21,XRCC6,-0.5479,-2.5042
grna,day 5,HNRNPDL,0.11376,-0.50311
total,day 5,SF1,-0.43882,-0.23349
grna,day 13,MRPS33,-0.87103,-2.0979
total,day 13,MAGOH,0.75955,-2.3281
grna,day 21,CCDC86,-0.98451,-1.9599
grna,day 5,LRP1,0.72818,-0.91956
total,day 5,SF3B6,-0.44669,-0.90276
grna,day 13,PRMT1,-1.453,-2.6853
total,day 13,SNRNP40,-1.6881,-2.3927
total,day 21,MRPL48,-1.3667,-3.5453
grna,day 5,HSPE1,-0.89489,-1.4813
total,day 5,HNRNPH1,-0.64878,-0.17081
grna,day 21,RPLP0,-1.8655,-0.99207
total,day 21,RPL7,-3.3897,-1.7218
grna,day 5,APOBEC4,0.14899,-0.33451
total,day 5,IMP3,-0.28124,-0.62404
grna,day 13,BRIX1,-1.0198,-1.271
grna,day 5,RPL37A,-0.79289,0.36303
grna,day 21,TRMT5,-0.085906,-2.4061
grna,day 5,CIAO1,-1.0392,0.5426
grna,day 13,YTHDC1,-0.4682,-2.2148
total,day 13,C1ORF131,-2.4542,-0.38688
grna,day 5,RBMS1,0.53643,-0.18948
total,day 5,METTL14,0.40369,-0.68642
grna,day 13,DDX54,-0.91103,-2.6383
total,day 13,RPL12,-4.7346,-3.1403
grna,day 21,DDX49,-1.8466,-1.893
grna,day 5,LSM10,-0.10906,-0.021669
total,day 5,CHERP,-0.56417,-0.13681
grna,day 13,BYSL,-1.4836,-0.35027
total,day 13,NMD3,-4.2424,-3.247
grna,day 21,XRN2,-1.1513,-1.0611
total,day 5,LDHA,0.1765,-0.34506
grna,day 13,TUBB,0.029023,-2.0979
total,day 13,GEMIN4,-2.1323,-2.4636
grna,day 21,CWC15,-1.2563,-1.8737
total,day 21,HNRNPC,-3.4711,-2.2645
grna,day 5,PMS1,-0.78676,0.52608
total,day 5,URB1,-0.43779,0.0991
grna,day 13,DST,-0.089932,-1.2286
total,day 13,POP7,-2.2613,-3.2925
total,day 21,URB1,-2.22,-0.7389
grna,day 5,RPS28,-1.0203,-0.10199
total,day 5,SNW1,-0.52659,-0.13766
grna,day 5,MTREX,0.81794,-0.82658
total,day 5,CPSF2,-0.64252,-0.42511
grna,day 13,RPS5,-3.714,-0.16439
grna,day 21,MCAT,-1.5533,-1.0768
grna,day 5,PCNP,-0.39724,0.83548
total,day 5,ANP32B,0.2208,-0.63876
grna,day 13,ABCF1,-1.9602,-0.996
grna,day 21,MRPL14,-0.19801,-1.4512
total,day 21,SNRPB,-2.0437,-3.5266
grna,day 5,CYCS,0.8084,-0.75531
total,day 5,SARS1,-0.16622,-0.87701
grna,day 13,SNRPA1,-0.88692,-2.5682
total,day 13,TUBB,-3.6531,-3.5871
total,day 21,SRSF1,-1.9482,-2.9175
grna,day 5,EIF4G3,-1.473,0.55962
grna,day 13,PRIM1,-1.5243,-0.81398
grna,day 21,GAPDH,-1.8747,-1.6819
total,day 21,STX18,-2.744,-3.7139
grna,day 5,SNRNP70,-0.95113,-0.77133
total,day 5,ZCCHC9,-0.6211,0.005985
grna,day 21,DARS1,-0.75952,-2.1434
grna,day 5,MRM1,-0.41536,0.27183
total,day 5,QTRT2,-0.50297,-0.42508
grna,day 13,HNRNPA1,-1.8034,0.76292
grna,day 21,ENDOU,0.2511,-0.56265
grna,day 5,PRPF31,-0.93179,-0.76453
total,day 5,PARP4,0.40264,0.38071
grna,day 13,INTS7,0.19177,-2.0053
total,day 13,DDX49,-2.6112,-2.8994
grna,day 21,RPL10,-1.8699,-1.547
total,day 21,POLR2E,-2.564,-0.93082
grna,day 13,GEMIN8,-1.85,-1.7867
total,day 13,NOC2L,-3.2717,-3.2245
total,day 21,MCAT,-0.79937,-3.3437
total,day 5,PPIE,-0.48562,0.33366
grna,day 13,ISCU,-1.3465,-2.6654
total,day 13,EIF4A1,-1.9216,-3.9681
total,day 21,RSL1D1,-3.8583,-3.7153
total,day 5,RPS17,-0.52102,-0.3447
total,day 13,UTP18,-1.9714,-0.74555
total,day 21,LARS2,-1.8229,-2.5161
grna,day 5,ZNF598,0.36063,-0.10657
total,day 5,IPO13,-0.050521,-0.57532
grna,day 13,RPLP2,-0.17305,-1.8134
grna,day 21,GTPBP4,-1.4542,-0.69842
total,day 21,EIF1AX,-2.8924,-4.3589
grna,day 5,NXT2,-0.40269,0.32299
total,day 5,RPF1,-0.44757,-0.31885
grna,day 13,EIF3F,-1.9843,-2.2576
total,day 13,ELP2,-2.21,-1.7685
grna,day 21,MIF4GD,-1.3436,1.5478
total,day 21,PSMA6,-2.5515,-3.6531
grna,day 5,TCEA1,-0.095248,0.35139
total,day 5,DHX16,-0.54599,-0.10517
total,day 21,CYCS,-3.965,-2.5435
grna,day 5,RCC1L,-1.2657,0.25939
total,day 5,HMGA1,-0.43985,-0.44932
grna,day 13,PRPF38B,-0.87715,-1.9407
total,day 13,C9ORF114,-1.5574,-1.9511
grna,day 21,LSM5,-2.3464,-0.84296
grna,day 5,RPL4,-1.0236,-0.54098
grna,day 13,SYNCRIP,-1.3292,-0.24359
total,day 13,SNRPC,-3.5115,-2.9885
grna,day 21,FARSA,-0.90467,-1.1019
grna,day 5,MEX3A,-0.73551,0.011404
total,day 5,GEMIN6,0.19384,-0.73846
total,day 13,RARS1,-3.718,-3.1902
grna,day 21,RBBP6,-2.035,-1.7101
total,day 21,ABT1,-0.79513,-1.973
grna,day 5,RIDA,-0.38266,0.15062999999999999
total,day 5,NXF2,-0.40209,0.12257
grna,day 13,DZIP3,-1.3212,0.72992
total,day 21,MRPS11,-1.5283,-0.68418
grna,day 5,PSMC1,-0.95585,0.44149
total,day 5,HSPD1,-0.59634,0.13115
grna,day 13,TUFM,-1.8665,-1.2597
total,day 5,SMG6,-0.58763,0.50493
total,day 13,RPL10,-2.9405,-3.0707
grna,day 21,DDX56,-1.9489,-0.19801
total,day 21,PUF60,-2.7956,-3.5817
grna,day 5,DHCR7,1.4255,-0.64598
total,day 5,IFIT2,-0.47183,0.39433
total,day 13,SNU13,-3.1219,-3.8494
grna,day 21,UTP20,-1.5218,-2.1373
total,day 5,EIF1AX,-0.44499,-0.29953
grna,day 13,EIF4H,-0.012245,0.85417
grna,day 21,MRPL32,-1.398,-1.3259
grna,day 5,SNRPF,-0.13329,-1.1154
total,day 5,SNRPB,-0.60285,-0.29454
total,day 13,FIP1L1,-1.2048,-1.6219
total,day 5,CACTIN,-0.21752,-0.36951
grna,day 21,RPS2,-2.1491,-0.88011
total,day 21,NARS1,-3.548,-3.2602
grna,day 5,GATC,-0.96246,0.21402
total,day 5,ARF1,-0.64733,0.13097
grna,day 13,RPL35,-1.9929,-0.96379
total,day 13,CDC5L,-4.1962,-3.1656
grna,day 21,LRPPRC,-2.2307,-1.4818
total,day 21,EXOSC10,-1.1044,-3.112
grna,day 5,GTPBP4,-0.25751,-0.75177
total,day 5,SAMSN1,-0.33375,0.19867
grna,day 13,VIRMA,-0.44128,-1.3542
grna,day 21,RBBP5,-2.2084,-0.5259
total,day 21,MRPS30,-3.0315,-2.0771
grna,day 5,TNRC6B,0.56825,-0.34285
total,day 5,FRG1,-0.79024,0.19115
total,day 13,POLR2G,-3.5053,-3.1254
total,day 5,MRPS28,0.12945,-0.034254
grna,day 13,NXF1,-0.62589,-1.9123000000000001
total,day 13,MRPL17,-2.5293,-2.1407
total,day 21,RPS17,-3.7364,-1.4488
total,day 5,GTPBP4,0.06491,-0.55178
total,day 13,ZC3H13,-0.36147,-1.6153
grna,day 13,SUPV3L1,-1.242,-0.70529
total,day 13,TRUB2,-0.9611,-1.5665
total,day 21,PCBP2,-1.5381,-2.3677
grna,day 5,CCT2,-0.7682,-0.5638
total,day 5,LSM8,-0.45262,-0.22949
grna,day 13,RNPS1,-1.6737,-0.079802
total,day 13,PWP2,-2.7373,-4.2003
total,day 21,SBDS,-0.93045,-3.8775
grna,day 5,STX18,-0.89608,-0.72169
grna,day 21,SAP18,-1.5173,-1.3329
total,day 21,INTS1,-2.6433,-3.1798
grna,day 5,NACA,-0.34726,-0.89444
total,day 5,ANXA11,-0.65786,-0.23936
grna,day 13,HEXIM1,-2.0834,-0.22258
total,day 13,RIOK1,-3.2345,-0.92109
grna,day 21,LSM6,-0.86018,-1.4506
total,day 21,RPL17-C18ORF32,-2.8665,-3.6381
grna,day 5,BOP1,-0.19872,0.36557
total,day 5,DUT,-0.17883,-0.37099
grna,day 13,APOBEC1,-1.8891,0.40019
grna,day 21,MRPL47,-1.2995,-1.3569
grna,day 5,MRPS30,-0.59373,-0.253
total,day 5,L1TD1,0.25829,-0.83742
grna,day 21,RPL36AL,-1.1789,-0.98616
total,day 21,PRMT1,-2.9427,-4.3273
grna,day 5,NME1,-0.28008,-0.348
total,day 5,MTAGBFP2,-0.83561,-0.0088358
total,day 13,SURF6,-1.6354,-2.3226
total,day 21,CWC25,-1.3226,-2.4036
grna,day 5,PAIP2B,-0.48035,0.039359
total,day 5,MRPL9,-0.2688,-0.53211
grna,day 21,RBM25,-3.3393,-0.8111
grna,day 5,NOL9,0.35028,-0.1626
total,day 5,PPIL4,-0.19243,-0.77176
grna,day 13,MAGOHB,0.40033,-1.2979
grna,day 21,MRPS7,-1.6002,-0.86812
total,day 21,RPL37A,-2.7131,-3.5672
grna,day 5,EWSR1,-0.82875,-0.28298
total,day 5,MRPL41,-0.5483,0.016467
grna,day 13,RPS3A,-1.6194,-2.6519
total,day 13,RBM25,-3.7627,-2.0039
grna,day 21,BRF1,-2.2086,-1.1989
grna,day 5,AFF3,-0.78877,-1.3488
total,day 5,SECISBP2L,-0.40502,0.396
grna,day 13,GEMIN7,-1.7601,-0.62297
total,day 13,DNMT1,-1.2101,-2.14
grna,day 21,CFL1,-1.7321,-1.0357
grna,day 5,SMAD9,-0.85411,0.34334
grna,day 13,NSA2,-3.634,-1.4892
total,day 13,RPS14,-2.29,-2.3216
grna,day 5,NAPA,-0.18462,-0.97058
total,day 5,PRPF4B,-0.56876,0.49369
grna,day 13,MRPL18,-1.0624,-2.276
total,day 13,MRPL27,-3.844,-1.678
grna,day 21,TOP2A,-2.2664,-0.15256
grna,day 5,ELP3,0.22305,-0.80763
total,day 5,DDX25,0.48692,-0.69003
total,day 13,EIF3E,-3.0432,-2.4456
grna,day 21,DHX16,-0.28146,-2.2213
grna,day 13,XRCC6,-1.8286,-2.0808
total,day 21,DDX10,-2.1585,-3.6965
grna,day 5,POLR2E,-0.77325,-0.10216
total,day 5,HNRNPA1L2,-0.46861,-0.8443
grna,day 21,MARS2,-1.2456,-0.99253
grna,day 5,RBM19,-0.033368,-1.2651
total,day 5,RPA1,-0.27849,-0.5591
grna,day 13,CPSF7,-1.6898,0.25414
total,day 13,WARS2,-1.5447,-1.3539
grna,day 21,PAIP1,-1.9976,1.1683
grna,day 5,PAPOLG,-0.36849,-1.0996
total,day 5,CPEB3,-0.53713,-0.10664
grna,day 13,RPP38,-1.4816,-1.4892
grna,day 21,NAA50,-1.8308,-2.0497
total,day 21,THOC3,-2.4284,-2.5831
grna,day 5,RIOK1,-0.96999,0.099976
total,day 5,ROCK2,0.29421,-0.39348
grna,day 13,SMNDC1,-1.0774,-0.46084
total,day 13,RCC1L,-1.4128,-2.1886
total,day 21,CSTF1,-1.8342,-2.6656
grna,day 5,TSEN2,-1.1855,0.52477
total,day 5,NUTF2,-0.49764,-0.44452
grna,day 13,CLNS1A,-1.0896,-0.95726
total,day 13,RSL1D1,-2.848,-3.4255
grna,day 21,SFSWAP,-1.4196,-0.95935
grna,day 5,MTAGBFP2,0.22987,-0.85242
total,day 5,NONO,-0.32669,-0.62272
grna,day 21,DYNLL1,-0.78051,-1.2295
total,day 21,SNRNP35,-2.942,-3.1552
grna,day 5,TUBA1B,-0.67071,-0.011605
total,day 5,BAZ2B,-0.062956,-1.0869
grna,day 13,CLP1,-1.0762,-2.6038
grna,day 21,RBM8A,-2.0768,-1.2646
total,day 21,SF3A1,-3.4842,-3.4478
grna,day 5,POLR2J2,-1.5792,-1.5554
total,day 5,FTO,0.61726,-0.8752
grna,day 21,ATP1A1,-1.9517,-0.22075
total,day 21,PRIM1,-3.2432,-1.9505
grna,day 5,HNRNPH1,0.14576,-1.5554
total,day 13,COPB1,-3.7809,-3.7484
grna,day 21,TOE1,-0.47616000000000003,0.16425
total,day 21,SRP9,-2.3157,-1.032
grna,day 5,ZYX,-0.15624,-0.38526
total,day 5,RBMXL3,-0.32196,-0.98587
total,day 13,MRTO4,-1.8401,-2.2503
total,day 21,PRORP,-1.4984,-2.2321
total,day 21,RPS21,-3.8245,-3.3321
total,day 5,DDX39A,-0.24074,-0.43845
grna,day 13,ZMAT5,-1.6698,-0.54941
total,day 13,MARS2,-2.423,-2.3427
grna,day 5,EIF2B2,0.676,-0.83493
total,day 5,POP1,-0.062961,-0.31946
grna,day 21,DCAF13,-0.73959,-1.4063
total,day 21,RNF113A,-1.0057,-2.26
grna,day 5,RNASET2,-0.48203,1.0874
grna,day 13,MRPS27,-2.162,-0.67212
total,day 13,RPN1,-1.169,-4.7026
grna,day 21,RPS13,-1.7915,-1.0483
total,day 21,THOC1,-2.5358,-1.3702
grna,day 5,ETF1,-0.5121,-0.16359
total,day 5,NKTR,-0.7277,0.54531
total,day 13,RACK1,-2.319,-1.0874
grna,day 21,NUP98,-2.127,-0.21513
grna,day 5,EIF1AY,-0.22737,-0.4598
total,day 5,GSPT1,-0.61508,-0.25492
grna,day 13,SSRP1,-0.834,-1.8785
total,day 13,UBTF,-2.1894,-4.1651
grna,day 21,PHGDH,-0.98072,1.1351
total,day 21,SRP68,-0.6929,-1.5909
grna,day 5,ZFC3H1,-0.16605,-0.71702
total,day 13,PPP1R10,-0.75829,-3.0442
total,day 21,MTO1,-0.99003,-1.5325
grna,day 5,DDX47,0.31751,0.38614
total,day 5,RPS2,-0.50164,-0.54641
grna,day 13,MARS1,-1.9393,-1.9689
grna,day 21,NSUN4,-0.64892,-0.86252
grna,day 5,PAPOLA,-0.050868,0.40811
total,day 5,RPL23,-0.61678,-0.58022
grna,day 13,CYCS,-0.99417,-2.1317
total,day 13,LSM10,0.15964,-2.5519
total,day 21,RPL22,-3.3077,-1.4886
total,day 5,FNDC3A,-0.18717,0.41803
grna,day 13,WARS2,-1.3764,-1.3122
grna,day 5,RPL8,-0.8556,-0.43677
total,day 5,ZMAT2,-0.13259,0.21456
grna,day 13,ELP3,-1.4798,-0.64362
total,day 13,CNOT3,-2.0131,-1.775
grna,day 21,NOA1,-1.6039,-0.49723
grna,day 5,MTHFD1,0.39129,-0.3349
total,day 5,FIP1L1,0.039978,-0.50543
grna,day 13,RPL17-C18ORF32,-1.0198,-2.5826
total,day 13,WDR5,-2.2041,-3.9906
total,day 5,ZFC3H1,-0.32833,-0.66279
grna,day 13,MRPL40,-1.5037,0.59563
grna,day 5,RPL39,-0.71519,-0.97012
total,day 5,UBA1,0.27113,-1.0988
grna,day 13,CDK11B,-0.72114,-0.76237
total,day 13,INTS7,-2.7759,-3.4817
grna,day 21,PSMA2,-1.0882,-1.7215
total,day 13,MRPL35,-1.3859,-1.6189
grna,day 21,MRPS11,-0.9219,-0.37067
total,day 5,MBNL2,-0.15725,-0.85049
total,day 13,RRP7A,-1.2867,-1.8801
grna,day 21,ZMAT5,-1.6232,-0.9817
total,day 21,CDK9,-2.3329,-2.071
grna,day 13,TTF2,-2.1083,-1.8904
total,day 13,RTCB,-1.6893,-2.4922
total,day 21,SART3,-2.3053,-2.1519
grna,day 5,HDAC2,-0.6423,1.5048
total,day 5,SLC4A1AP,-0.11504,-0.62933
grna,day 13,GEMIN2,-1.2052,-1.8344
total,day 13,UBA1,-4.0092,-3.8109
grna,day 21,CCT2,-1.0293,-1.925
total,day 21,SMG5,-0.41533,-0.64023
grna,day 5,ALKBH3,-0.18097,-0.42648
total,day 5,MRM1,-0.63016,-0.2243
grna,day 13,SRRT,-1.7642,-2.9427
total,day 21,DDX39B,-2.0271,-2.147
grna,day 5,MCRIP2,0.42562,-0.36718
total,day 5,CARS1,-0.027212,-0.56029
grna,day 13,PRPF8,-2.1946,-2.2061
total,day 13,CSTF1,-2.9315,-2.1764
grna,day 5,SWT1,-1.2268,-0.0025955
total,day 5,DCAF13,-0.71689,-0.204
total,day 13,MRPS23,-2.415,-1.7838
grna,day 21,METTL16,-1.8222,-0.41902
total,day 21,PRPF6,-1.9235,-3.6366
grna,day 5,CACTIN,-0.42164,-0.0086469
total,day 5,STAU2,0.033474,-0.41403
total,day 13,MRPL38,-2.6846,-2.2118
grna,day 5,CDC42EP4,-0.40535,0.41503
total,day 5,MNEONGREEN,0.27581,-0.45768
grna,day 13,MRM2,-0.37804,-1.8817
total,day 13,CWC15,-1.8264,-2.3434
grna,day 21,TUBA1B,-1.6033,-1.128
total,day 21,DDX41,-2.7957,-1.6612
grna,day 5,RPS27,-1.0396,-0.03976
total,day 5,FARSA,-0.65378,-0.5279
total,day 13,RPL27A,-4.3108,-1.3596
total,day 21,CNOT3,-3.1449,-2.2583
grna,day 5,DDX4,-1.0261,-1.2407
total,day 13,DGCR8,-1.8579,-1.6143
grna,day 21,RRS1,-0.13536,-1.8842
grna,day 5,SNRNP27,0.24877,-0.36581
total,day 5,CPNE3,-0.075241,0.39146
grna,day 21,DCTN2,-0.34236,-1.425
total,day 21,XPO5,-1.4696,-1.7509
total,day 5,INTS4,-0.36954,-0.25075
total,day 13,PPIL4,-3.1831,-2.5498
total,day 21,COPS2,-2.772,-3.661
grna,day 5,WARS1,-0.12827,-0.95042
total,day 5,HNRNPL,0.43221,0.049032
grna,day 13,METTL3,-0.51801,-1.3074
grna,day 21,TRMT61A,-2.3656,-0.88412
grna,day 5,PATL2,-0.50879,0.43856
total,day 5,MEPCE,-0.51847,-0.67824
grna,day 21,NACA,-1.2989,-1.1963
grna,day 5,COPG1,-0.75093,-0.58544
grna,day 13,LAS1L,0.073072,-0.98906
total,day 13,MPHOSPH10,-0.97177,-2.7038
grna,day 21,SNRPG,-2.3685,-2.3821
grna,day 5,RPTOR,0.28221,0.2498
total,day 5,SRSF1,-0.037835,-0.44967
grna,day 13,SART1,-1.1381,-1.7623
total,day 13,DDX39B,-2.1772,-2.0744
grna,day 21,WDR43,-2.1219,-0.89987
total,day 21,HNRNPH1,-2.9764,-1.2689
total,day 5,HNRNPK,0.24377,-0.47142
grna,day 13,TBCA,-1.705,0.73128
grna,day 21,U2SURP,-2.3956,-1.7204
total,day 21,BARD1,-1.5981,-0.043042
total,day 5,PRPF6,-0.67342,-0.33953
grna,day 13,IBA57,1.2703,-0.91012
total,day 13,NVL,-1.4407,-1.5565
grna,day 21,MYBBP1A,-0.96318,-2.3956
grna,day 5,FASTK,0.091451,0.5331
total,day 13,CSTF3,-4.1503,-1.5955
grna,day 21,DHX8,-2.0207,-2.0738
total,day 21,NOM1,-1.7549,-3.4457
grna,day 5,RRP9,0.061438,-0.67931
total,day 5,PSMB1,-0.381,-0.64036
grna,day 13,RPS18,-0.44186,-1.2775
total,day 5,MRPL21,-0.35854,-0.080329
total,day 13,ZC3H8,-1.9372,-1.7329
total,day 21,EFTUD2,-2.6886,-2.8785
grna,day 5,RPSA,-1.206,-0.27905
total,day 5,RNASE10,-0.17823,0.12121
grna,day 13,EPRS1,-1.099,-1.7548
grna,day 21,STRAP,-0.81036,-0.12568
grna,day 5,GPATCH4,-0.20711,-1.5266
grna,day 13,DHX9,-2.1678,-0.37739
total,day 13,MRPL2,-0.71534,-1.9614
grna,day 21,MTO1,-0.72507,-0.71903
total,day 21,RPP30,-3.765,-2.6184
grna,day 5,ANKHD1,-0.45203,-0.66049
