treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,ZFP36L1,0.18822,0.038873,0.003911,day5,-0.13454,NA
heavy,mono,rep1,CPSF4,0.16225,0.041533,0.0044228,day13,-1.4389,0.11463
heavy,mono,rep1,CPSF4,0.16225,0.041533,0.0044228,day5,-0.16515,NA
heavy,mono,rep1,GTPBP2,0.13415,0.041533,0.0044319,day13,0.41643,NA
heavy,mono,rep1,GTPBP2,0.13415,0.041533,0.0044319,day5,0.15901,NA
heavy,mono,rep1,IBA57,0.18842,0.045414,0.0049845,day13,0.22343,NA
heavy,mono,rep1,IBA57,0.18842,0.045414,0.0049845,day5,0.43762,NA
heavy,mono,rep1,GAPDH,0.22724,0.049085,0.005537,day13,-2.1982,0.165368
heavy,mono,rep1,GAPDH,0.22724,0.049085,0.005537,day5,0.62668,NA
heavy,mono,rep1,SNRPG,0.31861,0.052586,0.0061349,day13,-3.4749,0.068528
heavy,mono,rep1,SNRPG,0.31861,0.052586,0.0061349,day5,-0.047085,0.531064
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day13,0.59789,NA
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day5,-0.36128,0.407467
heavy,mono,rep1,THOC7,0.20795,0.055172,0.0067282,day13,-0.79202,NA
heavy,mono,rep1,THOC7,0.20795,0.055172,0.0067282,day5,-1.0378,0.216517
heavy,mono,rep1,ZNF598,0.1936,0.055891,0.0069864,day13,0.81695,NA
heavy,mono,rep1,ZNF598,0.1936,0.055891,0.0069864,day5,-0.0029159,NA
heavy,mono,rep1,PABPC4,0.12218999999999999,0.058163,0.0074756,day13,1.2382,NA
heavy,mono,rep1,PABPC4,0.12218999999999999,0.058163,0.0074756,day5,0.99373,NA
heavy,mono,rep1,RBM3,0.17305,0.058163,0.007625,day13,0.92156,NA
heavy,mono,rep1,RBM3,0.17305,0.058163,0.007625,day5,0.60164,NA
heavy,mono,rep1,CD2BP2,0.15104,0.063451,0.0089204,day13,0.96315,NA
heavy,mono,rep1,CD2BP2,0.15104,0.063451,0.0089204,day5,-0.15376,0.46458
heavy,mono,rep1,SAMHD1,0.21102,0.063451,0.008943,day13,0.88446,NA
heavy,mono,rep1,SAMHD1,0.21102,0.063451,0.008943,day5,0.35687,NA
heavy,mono,rep1,U2AF2,0.26167,0.063451,0.0094458,day13,-1.6441,0.155395
heavy,mono,rep1,U2AF2,0.26167,0.063451,0.0094458,day5,-0.48855,NA
heavy,mono,rep1,HADHB,0.13237,0.063451,0.0094956,day13,1.044,NA
heavy,mono,rep1,HADHB,0.13237,0.063451,0.0094956,day5,-0.79477,0.303302
heavy,mono,rep1,SRRM2,0.20241,0.063451,0.0099576,day13,-0.2138,0.51696
heavy,mono,rep1,SRRM2,0.20241,0.063451,0.0099576,day5,-0.17004,NA
heavy,mono,rep1,ZMAT5,0.1546,0.063451,0.010121,day13,-0.992,0.318728
heavy,mono,rep1,ZMAT5,0.1546,0.063451,0.010121,day5,0.055303,NA
heavy,mono,rep1,AKAP8,0.23988,0.063451,0.010148,day13,1.562,NA
heavy,mono,rep1,AKAP8,0.23988,0.063451,0.010148,day5,-0.17538,0.521166
heavy,mono,rep1,NUSAP1,0.12261,0.063451,0.010406,day13,0.90549,NA
heavy,mono,rep1,NUSAP1,0.12261,0.063451,0.010406,day5,-0.0080579,NA
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day13,-1.3101,0.364694
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day5,0.42582,NA
heavy,mono,rep1,NUDT3,0.17798,0.063451,0.010777,day13,1.9162,NA
heavy,mono,rep1,NUDT3,0.17798,0.063451,0.010777,day5,0.49549,NA
heavy,mono,rep1,CRKL,0.3613,0.063451,0.011017,day13,0.2455,NA
heavy,mono,rep1,CRKL,0.3613,0.063451,0.011017,day5,-0.044905,NA
heavy,mono,rep1,RNGTT,0.39686,0.063451,0.011126,day13,-0.086175,NA
heavy,mono,rep1,RNGTT,0.39686,0.063451,0.011126,day5,-0.69777,0.335895
heavy,mono,rep1,LUC7L3,0.24146,0.063451,0.0088208,day13,-1.6783,0.13527
heavy,mono,rep1,LUC7L3,0.24146,0.063451,0.0088208,day5,-0.035081,NA
heavy,mono,rep1,TECR,0.20822,0.063451,0.011407,day13,0.31857,NA
heavy,mono,rep1,TECR,0.20822,0.063451,0.011407,day5,0.016169,NA
heavy,mono,rep1,SF3B5,0.46384,0.063451,0.011932,day13,-2.6062,0.057401
heavy,mono,rep1,SF3B5,0.46384,0.063451,0.011932,day5,-0.67991,0.323109
heavy,mono,rep1,ZNFX1,0.13536,0.063451,0.0121,day13,1.5808,NA
heavy,mono,rep1,ZNFX1,0.13536,0.063451,0.0121,day5,0.80394,NA
heavy,mono,rep1,SPAG9,0.16954,0.063451,0.012181,day13,0.63753,NA
heavy,mono,rep1,SPAG9,0.16954,0.063451,0.012181,day5,-0.23347,0.300817
heavy,mono,rep1,HSPA1A,0.20645,0.063451,0.012213,day13,0.57249,NA
heavy,mono,rep1,HSPA1A,0.20645,0.063451,0.012213,day5,-0.12284,0.418187
heavy,mono,rep1,MKI67,0.18293,0.063451,0.012322,day13,-0.063657,0.500604
heavy,mono,rep1,MKI67,0.18293,0.063451,0.012322,day5,-0.71456,0.332761
heavy,mono,rep1,ALYREF,0.10302,0.063451,0.012381,day13,-1.1174,0.164993
heavy,mono,rep1,ALYREF,0.10302,0.063451,0.012381,day5,0.31384,NA
heavy,mono,rep1,METTL16,0.21741,0.065836,0.013255,day13,-2.2781,0.12573
heavy,mono,rep1,METTL16,0.21741,0.065836,0.013255,day5,-0.11199,0.525848
heavy,mono,rep1,RBM33,0.20485,0.065836,0.013296,day13,0.36868,NA
heavy,mono,rep1,RBM33,0.20485,0.065836,0.013296,day5,-0.1628,NA
heavy,mono,rep1,ANXA2,0.16742,0.065836,0.013626,day13,-0.80151,0.40813
heavy,mono,rep1,ANXA2,0.16742,0.065836,0.013626,day5,-0.22776,NA
heavy,mono,rep1,RANBP2,0.15325,0.065836,0.013649,day13,-1.1501,0.219359
heavy,mono,rep1,RANBP2,0.15325,0.065836,0.013649,day5,-0.2873,0.250125
heavy,mono,rep1,RBM25,0.46763,1,0.0075344,day13,-2.8773,NA
heavy,mono,rep1,RBM25,0.46763,1,0.0075344,day5,-0.038984,NA
heavy,mono,rep1,FARS2,0.11752,0.063451,0.011303,day13,-0.15841,NA
heavy,mono,rep1,FARS2,0.11752,0.063451,0.011303,day5,-0.032552,NA
heavy,mono,rep1,NSF,0.46595,0.070028000000000007,0.014731,day13,-1.7244,0.088333
heavy,mono,rep1,NSF,0.46595,0.070028000000000007,0.014731,day5,0.46415,NA
heavy,mono,rep1,HNRNPDL,0.21171,0.071466,0.015307,day13,0.45599,NA
heavy,mono,rep1,HNRNPDL,0.21171,0.071466,0.015307,day5,-0.35371,0.455048
heavy,mono,rep1,SLTM,0.13734,0.071466,0.01547,day13,1.3039,NA
heavy,mono,rep1,SLTM,0.13734,0.071466,0.01547,day5,0.68426,NA
heavy,mono,rep1,PQBP1,0.15133,0.073135,0.016054,day13,0.86511,NA
heavy,mono,rep1,PQBP1,0.15133,0.073135,0.016054,day5,0.4006,NA
heavy,mono,rep1,TSEN54,0.10223,0.07361,0.016652,day13,0.063454,NA
heavy,mono,rep1,TSEN54,0.10223,0.07361,0.016652,day5,-0.99428,0.207169
heavy,mono,rep1,RIMS1,0.16594,0.07361,0.016774,day13,0.80616,NA
heavy,mono,rep1,RIMS1,0.16594,0.07361,0.016774,day5,0.39172,NA
heavy,mono,rep1,THOC5,0.27676,0.07361,0.017155,day13,-1.1852,0.255416
heavy,mono,rep1,THOC5,0.27676,0.07361,0.017155,day5,0.93956,NA
heavy,mono,rep1,ALKBH7,0.19808,0.07361,0.017336,day13,0.79369,NA
heavy,mono,rep1,ALKBH7,0.19808,0.07361,0.017336,day5,-0.029616,NA
heavy,mono,rep1,RPP25,0.15135,0.07361,0.017626,day13,1.5057,NA
heavy,mono,rep1,RPP25,0.15135,0.07361,0.017626,day5,0.60891,NA
heavy,mono,rep1,CHMP2A,0.37376,0.07361,0.017716,day13,-0.56133,NA
heavy,mono,rep1,CHMP2A,0.37376,0.07361,0.017716,day5,-0.22458,NA
heavy,mono,rep1,EIF1,0.22558,0.07361,0.018024,day13,-0.36912,0.496899
heavy,mono,rep1,EIF1,0.22558,0.07361,0.018024,day5,-0.91536,0.19407
heavy,mono,rep1,ZFR,0.12037,0.07361,0.018201,day13,-0.54838,0.464714
heavy,mono,rep1,ZFR,0.12037,0.07361,0.018201,day5,0.45037,NA
heavy,mono,rep1,ISG20,0.21595,0.07361,0.018414,day13,1.6661,NA
heavy,mono,rep1,ISG20,0.21595,0.07361,0.018414,day5,0.7226,NA
heavy,mono,rep1,SLU7,-0.041928,1,0.84077,day13,-0.99894,NA
heavy,mono,rep1,SLU7,-0.041928,1,0.84077,day5,-1.1481,0.225648
heavy,mono,rep1,TNRC6B,0.15715,0.07361,0.018713,day13,1.3044,NA
heavy,mono,rep1,TNRC6B,0.15715,0.07361,0.018713,day5,-0.48283,0.521166
heavy,mono,rep1,AHCYL2,0.10413,0.07361,0.019048,day13,1.4459,NA
heavy,mono,rep1,AHCYL2,0.10413,0.07361,0.019048,day5,-0.17084,0.408462
heavy,mono,rep1,INTS11,0.29577,0.07361,0.019211,day13,-2.6936,0.099448
heavy,mono,rep1,INTS11,0.29577,0.07361,0.019211,day5,-1.0904,NA
heavy,mono,rep1,IDH2,0.12102,0.07361,0.01946,day13,1.2568,NA
heavy,mono,rep1,IDH2,0.12102,0.07361,0.01946,day5,0.70366,NA
heavy,mono,rep1,SNRPA,0.21305,0.07361,0.0196,day13,-0.94606,0.424202
heavy,mono,rep1,SNRPA,0.21305,0.07361,0.0196,day5,0.42859,NA
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day13,-3.4308,0.062649
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day5,-0.94899,0.186119
heavy,mono,rep1,SF3A1,0.04768,1,0.020049,day13,-3.791,0.048016
heavy,mono,rep1,SF3A1,0.04768,1,0.020049,day5,-1.9613,0.101425
heavy,mono,rep1,SAFB,0.16857,0.07361,0.020126,day13,0.20945,NA
heavy,mono,rep1,SAFB,0.16857,0.07361,0.020126,day5,-0.5482,0.485731
heavy,mono,rep1,HNRNPH1,0.29715,0.07361,0.020176,day13,-2.351,0.16894700000000001
heavy,mono,rep1,HNRNPH1,0.29715,0.07361,0.020176,day5,-0.015692,NA
heavy,mono,rep1,SERPINH1,0.19658,1,0.01633,day13,1.3354,NA
heavy,mono,rep1,SERPINH1,0.19658,1,0.01633,day5,-0.11304,NA
heavy,mono,rep1,NKRF,0.15793,0.07361,0.02047,day13,0.51802,NA
heavy,mono,rep1,NKRF,0.15793,0.07361,0.02047,day5,0.10829,NA
heavy,mono,rep1,NELFE,0.1448,0.07361,0.020579,day13,-0.0082518,NA
heavy,mono,rep1,NELFE,0.1448,0.07361,0.020579,day5,0.30297,NA
heavy,mono,rep1,YLPM1,0.21241,0.07361,0.020647,day13,0.41122,NA
heavy,mono,rep1,YLPM1,0.21241,0.07361,0.020647,day5,0.043917,NA
heavy,mono,rep1,USP39,0.16005,0.074048,0.020995,day13,-3.5172,0.051492
heavy,mono,rep1,USP39,0.16005,0.074048,0.020995,day5,-0.068902,0.514751
heavy,mono,rep1,SIDT1,0.1626,0.074272,0.021285,day13,1.555,NA
heavy,mono,rep1,SIDT1,0.1626,0.074272,0.021285,day5,0.22054,NA
heavy,mono,rep1,LRRC47,0.2487,0.076475,0.02215,day13,0.038757,NA
heavy,mono,rep1,LRRC47,0.2487,0.076475,0.02215,day5,0.38655,NA
heavy,mono,rep1,SYMPK,0.23675,1,0.022182,day13,-0.0054808,NA
heavy,mono,rep1,SYMPK,0.23675,1,0.022182,day5,0.0089466,NA
heavy,mono,rep1,WBP11,0.13955,0.076475,0.022463,day13,-0.30204,NA
heavy,mono,rep1,WBP11,0.13955,0.076475,0.022463,day5,0.17683,NA
heavy,mono,rep1,SRSF1,0.21008,0.076475,0.022952,day13,-2.427,0.143576
heavy,mono,rep1,SRSF1,0.21008,0.076475,0.022952,day5,0.1213,NA
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day13,-0.78581,0.17246
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day5,-0.28774,NA
heavy,mono,rep1,FAM32A,0.27823,0.076475,0.023564,day13,-0.6697,NA
heavy,mono,rep1,FAM32A,0.27823,0.076475,0.023564,day5,-0.31244,NA
heavy,mono,rep1,NAF1,0.11548,0.076475,0.02403,day13,0.19269,NA
heavy,mono,rep1,NAF1,0.11548,0.076475,0.02403,day5,0.43611,NA
heavy,mono,rep1,NRAP,0.096734,0.076475,0.024225,day13,1.6541,NA
heavy,mono,rep1,NRAP,0.096734,0.076475,0.024225,day5,0.57944,NA
heavy,mono,rep1,SAP130,0.14132,0.076475,0.024533,day13,0.6679,NA
heavy,mono,rep1,SAP130,0.14132,0.076475,0.024533,day5,0.27786,NA
heavy,mono,rep1,SFSWAP,0.15559,0.076475,0.024587,day13,-1.1914,0.246654
heavy,mono,rep1,SFSWAP,0.15559,0.076475,0.024587,day5,0.031703,NA
heavy,mono,rep1,SUPT16H,0.16737,1,0.024669,day13,-2.8727,0.196642
heavy,mono,rep1,SUPT16H,0.16737,1,0.024669,day5,-0.31684,NA
