gene,day,lfc,essential,n
INTS4,5,-1.2323,essential,785
MRPL23,13,-3.9752,non-essential,1401
SDAD1,21,-3.1421,essential,785
SNRPD3,5,-1.1448,essential,785
CCT3,13,-2.7035,essential,785
RUVBL1,21,-3.3904,essential,785
PPAN,5,-1.0093,essential,785
RPS3,13,-3.2563,essential,785
TENT2,21,1.6101,non-essential,1401
RPLP0,5,-0.97534,essential,785
RPL32,13,-3.9103,essential,785
AQR,21,-1.4426,essential,785
RPL19,5,-1.5885,essential,785
RPF1,13,-2.862,essential,785
RBM19,21,-2.6299,essential,785
KRR1,5,-1.3781,essential,785
PRPF4,13,-3.3754,essential,785
NIP7,21,-3.3348,essential,785
SNRPA1,5,-0.85992,essential,785
SF3A2,13,-3.2336,essential,785
RPL38,21,-2.8693,essential,785
TBL3,5,-0.69563,essential,785
SF3B2,13,-3.0528,essential,785
XRCC5,21,-3.3569,essential,785
PSMB2,5,-1.2359,essential,785
SF3A1,13,-3.791,essential,785
DDX10,21,-2.8005,essential,785
ANP32A,5,-1.5714,non-essential,1401
RPL24,13,-3.8845,essential,785
NGDN,21,-3.5235,essential,785
DZIP1L,5,-0.83143,non-essential,1401
RPL21,13,-4.1481,essential,785
CPSF1,21,-3.3709,essential,785
RPL27A,5,-1.6081,essential,785
RPL6,13,-3.3843,essential,785
ISY1,21,-2.466,essential,785
EIF2S3,5,-1.0792,essential,785
VARS1,13,-3.8757,essential,785
VARS2,21,-2.5885,essential,785
PLRG1,5,-0.59195,essential,785
EIF3G,13,-3.856,essential,785
PDCD7,21,-3.555,essential,785
NXF1,5,-0.97877,essential,785
EEF1G,13,-2.5369,essential,785
MRPS25,21,-2.7975,non-essential,1401
FAM120C,5,-1.8769,non-essential,1401
NOL6,13,-2.8881,essential,785
PSMD6,21,-3.2259,essential,785
MRPL28,5,-1.4583,non-essential,1401
MAK16,13,-3.0077,essential,785
RPL23A,21,-3.2838,essential,785
RPL6,5,-1.4951,essential,785
AQR,13,-2.0894,essential,785
MRPL33,21,-2.7931,non-essential,1401
CAND1,5,-0.47731,non-essential,1401
PHB1,13,-2.5739,essential,785
NCBP2,21,-3.1206,essential,785
MTDH,5,-0.63057,non-essential,1401
SON,13,-3.124,essential,785
DARS1,21,-2.9403,essential,785
HNRNPA3,5,-0.56447,non-essential,1401
USP39,13,-3.5172,essential,785
RPL35A,21,-3.4435,essential,785
HNRNPUL1,5,-1.1873,non-essential,1401
PLRG1,13,-2.1524,essential,785
MRPL24,21,-2.4105,essential,785
SNW1,5,-1.8685,essential,785
RPS7,13,-3.2779,essential,785
MRPL49,21,-2.9329,essential,785
SNRNP200,5,-1.3063,essential,785
CCT2,13,-2.7409,essential,785
RPA1,21,-3.3973,essential,785
CHERP,5,-0.9118,essential,785
FAU,13,-3.8678,essential,785
SF3A2,21,-2.6076,essential,785
RPS26,5,-1.6641,non-essential,1401
RPS13,13,-2.7053,essential,785
DDX6,21,-3.1864,essential,785
EIF3G,5,-0.94685,essential,785
EEF1A1,13,-4.0566,essential,785
PSMA6,21,-2.7754,essential,785
RPS24,5,-0.89127,essential,785
FBL,13,-2.6834,essential,785
SF3B2,21,-2.907,essential,785
POLR2J3,5,-0.94899,non-essential,1401
MRPL38,13,-3.6318,essential,785
FAU,21,-3.3952,essential,785
EIF4H,5,-0.5596,non-essential,1401
IMP4,13,-3.6375,essential,785
PSMA1,21,-2.4057,essential,785
PUF60,5,-1.0464,essential,785
EIF2S1,13,-3.4223,essential,785
ALDOA,21,-2.8026,essential,785
COPB1,5,-1.2413,essential,785
RRM1,13,-3.7089,essential,785
RPS23,21,-3.0495,essential,785
SETD1B,5,-0.74042,non-essential,1401
XRCC5,13,-3.7894,essential,785
MRPS2,21,-3.1954,non-essential,1401
EIF6,5,-1.3836,essential,785
DHX15,13,-3.3412,essential,785
NBPF10,21,-2.8163,non-essential,1401
CCDC137,5,0.27212,non-essential,1401
POLR2H,13,-3.2491,essential,785
RPL23,21,-3.5433,essential,785
POLR2D,5,-1.3921,essential,785
MRPL3,13,-3.1696,non-essential,1401
UBC,21,-1.373,non-essential,1401
EIF1,5,-0.91536,essential,785
DDX60L,13,0.30677,non-essential,1401
RPL15,21,-3.4972,essential,785
MRPL23,5,-1.0811,non-essential,1401
RPL27,13,-3.3683,essential,785
RBM39,21,-3.0639,essential,785
RPS16,5,-1.5741,essential,785
NFS1,13,-3.5601,essential,785
EIF3G,21,-3.6146,essential,785
ESF1,5,-1.8759,essential,785
PSMC4,13,-2.3394,essential,785
PRPF31,21,-2.3607,essential,785
POLR2F,5,-1.2828,essential,785
ATP5F1A,13,-2.767,essential,785
TRIT1,21,-3.6196,non-essential,1401
WDR6,5,-0.087923,non-essential,1401
SF1,13,-3.4598,essential,785
SF3A1,21,-3.0754,essential,785
PWP2,5,-1.2037,essential,785
NOP58,13,-3.3376,essential,785
RPL27,21,-3.0644,essential,785
SF3B3,5,-1.1168,essential,785
EIF2B2,13,-2.6162,essential,785
MRPL30,21,-3.2438,non-essential,1401
AIMP2,5,-0.79072,non-essential,1401
PRPF31,13,-2.5493,essential,785
TRUB2,21,-2.1451,non-essential,1401
EEF1A1,5,-1.1317,essential,785
RPL10A,13,-3.0504,essential,785
CRNKL1,21,-2.8247,essential,785
SNIP1,5,-0.56829,essential,785
TENT2,13,0.20102,non-essential,1401
ADAD1,21,0.58057,non-essential,1401
RPL36A,5,-0.55817,essential,785
PHAX,13,-3.4832,essential,785
RBM22,21,-3.9516,essential,785
RRP12,5,-1.1194,essential,785
SF3B5,13,-2.6062,essential,785
INTS2,21,-2.9202,essential,785
NAA15,5,-1.202,essential,785
NHP2,13,-3.4766,essential,785
USP39,21,-2.7677,essential,785
TSEN54,5,-0.99428,essential,785
DHX8,13,-2.9768,essential,785
RPL18,21,-2.6027,essential,785
NXF2B,5,-0.13264,non-essential,1401
ARCN1,13,-3.0335,essential,785
RBM8A,21,-3.1645,essential,785
LIN7C,5,-1.9308,non-essential,1401
POP1,13,-3.438,essential,785
MRPL22,21,-1.9746,non-essential,1401
YTHDF2,5,-1.0297,non-essential,1401
XAB2,13,-2.1305,essential,785
RPL37A,21,-3.0243,essential,785
RPL35,5,-1.2316,essential,785
DCTN2,13,-2.0523,essential,785
PCBP1,21,-2.3434,essential,785
PNN,5,-1.161,essential,785
EIF2B1,13,-3.4179,essential,785
UPF2,21,-3.0377,essential,785
RPS7,5,-0.64438,essential,785
RPL28,13,-2.669,essential,785
RPS15,21,-2.2208,essential,785
RPS21,5,-0.6944,essential,785
COPS2,13,-2.4099,essential,785
RPL19,21,-2.2838,essential,785
POLR2K,5,-1.297,essential,785
SNRNP25,13,-3.4346,essential,785
U2SURP,21,-2.3961,essential,785
THG1L,5,-0.28413,essential,785
POLR2K,13,-4.2146,essential,785
NOP56,21,-3.1193,essential,785
TXN,5,-1.1135,essential,785
TUBGCP3,13,-3.3034,essential,785
