sgrna,sample_name,rep1,rep2
RPL24_1_2,heavy,-4.0754,-4.3628
RPS6_3_4,heavy,-1.8458,-1.7023
RPF2_1_2,heavy,-1.9528,-1.9234
UBA52_3_4,heavy,-3.6516,-3.664
GNL3L_2_3,heavy,-1.9585,-1.6568
RPLP1_1_2,heavy,-2.2491,-2.2278
NIP7_4_1,heavy,-1.3592,-1.3463
RPL28_2_3,heavy,-1.5075,-1.6158
RPL32_2_3,heavy,-2.8416,-2.8151
FTSJ3_1_2,heavy,-2.7372,-2.5579
RPL32_3_4,heavy,-3.7395,-4.244
NOP16_1_2,heavy,-2.2262,-2.2211
NOP16_3_4,heavy,-2.2689,-2.5392
RSL1D1_3_4,heavy,-1.7253,-1.6645
DDX54_1_2,heavy,-2.8467,-2.6891
NMD3_2_3,heavy,-2.451,-2.3161
RPL27_3_4,heavy,-3.4006,-3.3325
RPL7L1_4_1,heavy,-1.3619,-1.4252
RPL28_4_1,heavy,-1.4044,-1.2705
RPL6_4_1,heavy,-3.4759,-3.898
NIFK_2_3,heavy,-2.1457,-2.2208
RPL38_1_2,heavy,-1.2012,-1.1535
RPL21_2_3,heavy,-2.4369,-2.6407
EIF6_2_3,heavy,-2.9222,-2.9091
RPL10A_2_3,heavy,-2.6001,-2.4749
RPL6_2_3,heavy,-2.5105,-3.0466
NOL12_2_3,heavy,-1.3734,-1.4061
RPL34_2_3,heavy,-2.904,-3.0398
NIP7_3_4,heavy,-1.7141,-2.0594
DDX27_4_1,heavy,-2.4855,-2.4879
NOL8_4_1,heavy,-1.2429,-1.2334
RPL18_3_4,heavy,-1.742,-1.9331
GNL2_4_1,heavy,-2.5357,-2.1727
DDX27_1_2,heavy,-2.1258,-2.2414
PPAN_3_4,heavy,-2.6114,-2.7533
MAK16_1_2,heavy,-3.7122,-4.1469
RPF2_3_4,heavy,-1.1212,-1.2653
RBM28_1_2,heavy,-1.1467,-1.1986
RPL18A_3_4,heavy,-2.6342,-3.2014
MYBBP1A_2_3,heavy,-1.7756,-1.5292
RPL35A_2_3,heavy,-3.1994,-4.937
MAK16_2_3,heavy,-3.1632,-2.9601
FTSJ3_3_4,heavy,-2.0865,-2.1548
RPL9_1_2,heavy,-2.9261,-2.9972
RPLP0_4_1,heavy,-2.0634,-1.9999
RPL10A_4_1,heavy,-3.1352,-2.7294
RPL13_4_1,heavy,-4.3287,-4.8986
PES1_1_2,heavy,-2.3958,-2.4919
SURF6_3_4,heavy,-1.7893,-1.7328
NMD3_1_2,heavy,-2.1071,-2.2743
URB1_3_4,heavy,-1.0536,-1.04
RPLP2_4_1,heavy,-2.5463,-2.8
NVL_2_3,heavy,-0.55541,-0.62913
C9ORF114_1_2,heavy,-1.2509,-1.2767
DDX54_3_4,heavy,-2.6315,-2.2066
URB2_1_2,heavy,-1.8632,-2.0683
RPL7_4_1,heavy,-4.433,-4.3759
PES1_4_1,heavy,-2.4772,-2.4241
RPL35A_4_1,heavy,-4.8408,-4.3814
NMD3_3_4,heavy,-1.6101,-1.6236
NOP58_2_3,heavy,-1.5022,-1.5205
NOL9_3_4,heavy,-1.087,-1.3033
RRS1_1_2,heavy,-1.4276,-1.2614
RPL23A_3_4,heavy,-2.4585,-2.3281
RPLP1_2_3,heavy,-2.1715,-2.4239
CEBPZ_4_1,heavy,-2.2752,-2.684
RPL17_2_3,heavy,-2.3949,-2.3634
RPL26_1_2,heavy,-1.6135,-1.7838
RPS24_3_4,heavy,-1.947,-1.7707
NOL9_4_1,heavy,-1.0998000000000001,-1.1554
RRP15_2_3,heavy,-2.8671,-2.8671
RPL23A_1_2,heavy,-3.1121,-3.3845
RPS19_1_2,heavy,-1.4783,-1.2775
RPL13A_1_2,heavy,-1.3284,-1.3127
NOL12_1_2,heavy,-0.90646,-0.92416
RPL4_2_3,heavy,-3.5181,-2.6885
WDR12_2_3,heavy,-1.7752,-1.6747
RPL19_4_1,heavy,-4.7217,-4.0486
RPLP0_2_3,heavy,-4.1326,-4.6245
RPL4_3_4,heavy,-3.5969,-3.542
RPS24_1_2,heavy,-1.5791,-1.7416
RPS24_2_3,heavy,-2.0783,-2.4668
RPL3_4_1,heavy,-3.6718,-3.5465
RPL6_1_2,heavy,-3.2,-2.933
RPL13_1_2,heavy,-3.3626,-3.7842
RPS2_3_4,heavy,-1.4943,-1.5364
ISG20L2_4_1,heavy,-2.3257,-2.4666
RPL17-C18ORF32_1_2,heavy,-3.1559,-3.1202
RPF2_4_1,heavy,-2.2657,-2.2862
EIF3I_2_3,heavy,-1.4245,-1.2886
PPAN_4_1,heavy,-2.3555,-2.6378
RPL18_4_1,heavy,-2.9874,-3.0799
DDX24_4_1,heavy,-2.9081,-2.7619
LAS1L_1_2,heavy,-1.3043,-1.4441
FTSJ3_2_3,heavy,-1.8923,-1.7826
EIF6_1_2,heavy,-3.045,-2.4521
EIF3I_3_4,heavy,-1.2317,-1.1001
RPL7A_4_1,heavy,-3.5529,-4.0307
EIF6_3_4,heavy,-2.3706,-2.4768
RPL11_1_2,heavy,-4.4772,-4.6457
RPL37_4_1,heavy,-5.2298,-5.3454
ISG20L2_2_3,heavy,-1.6481,-2.0651
RSL1D1_2_3,heavy,-2.0643,-2.2432
RPL3_1_2,heavy,-1.2825,-1.5015
GNL3_1_2,heavy,-1.5441,-1.8248
RPL24_2_3,heavy,-3.5045,-3.4787
URB1_4_1,heavy,-1.1946,-0.96921
GNL3L_1_2,heavy,-1.8852,-2.0402
XPO1_4_1,heavy,-2.1789,-2.2611
ABCF1_4_1,heavy,-0.80443,-0.72227
LSM5_4_1,heavy,-1.0756,-1.1355
RPL18_1_2,heavy,-3.0428,-4.0272
TMA16_3_4,heavy,-1.1974,-1.3726
RPS15A_4_1,heavy,-2.0449,-1.8168
PES1_2_3,heavy,-2.7504,-3.1102
WDR36_1_2,heavy,-1.2316,-1.2104
TUBGCP3_3_4,heavy,-0.80821,-0.99013
RPL19_3_4,heavy,-4.8646,-4.9992
NOP56_4_1,heavy,-2.3,-1.9532
RPS6_2_3,heavy,-2.2231,-2.9796
RPL21_1_2,heavy,-2.6534,-2.6941
CNOT6_4_1,heavy,-1.129,-1.05
RPL34_3_4,heavy,-3.8054,-3.7064
EIF5A_1_2,heavy,0.80274,0.69399
GNL2_3_4,heavy,-1.8404,-1.3772
RPS14_1_2,heavy,-2.3005,-2.238
NFS1_1_2,heavy,-0.94095,-0.88308
TMA16_1_2,heavy,-1.7614,-1.7389
RPL28_1_2,heavy,-1.4455,-1.512
RPS24_4_1,heavy,-1.3858,-1.7839
SURF6_2_3,heavy,-0.87309,-0.96545
RPS21_1_2,heavy,-0.82011,-0.94249
RPF1_4_1,heavy,-2.1174,-2.0693
RPL37A_2_3,heavy,-2.4945,-2.4458
EIF3G_3_4,heavy,-1.4876,-1.3787
SURF6_4_1,heavy,-1.7758,-1.4164
RPS29_3_4,heavy,-1.7151,-1.6902
RPL35_1_2,heavy,-3.1352,-3.6007
RPS12_4_1,heavy,-1.7598,-1.7216
RPL34_1_2,heavy,-5.0943,-4.792
RPL30_4_1,heavy,-4.3451,-5.0918
NOC3L_2_3,heavy,-0.99307,-1.1211
EIF1AX_1_2,heavy,0.73547,0.78771
FAU_1_2,heavy,-2.7544,-2.2711
RPL5_3_4,heavy,-3.5337,-5.2153
DDX27_3_4,heavy,-2.5671,-2.5456
TUBGCP3_1_2,heavy,-1.0497,-1.0241
NOP2_3_4,heavy,-1.6962,-2.2336
TPD52L2_1_2,heavy,-1.0235,-0.80592
RPS6_1_2,heavy,-3.428,-2.7926
RPS29_2_3,heavy,-1.883,-1.8803
NOP53_4_1,heavy,-2.0793,-2.1889
URB1_2_3,heavy,-1.305,-1.4909
XPO1_2_3,heavy,-1.8779,-1.9822
ABCF1_1_2,heavy,-1.0647,-0.95521
EIF3B_2_3,heavy,-1.4237,-1.3557
NOL8_1_2,heavy,-2.0207,-1.7177
NIP7_1_2,heavy,-1.373,-1.7597
ABCE1_1_2,heavy,-1.26,-1.1184
NVL_4_1,heavy,-0.74795,-0.75615
GTPBP4_2_3,heavy,-2.8629,-2.7075
EIF2S3_2_3,heavy,-2.2556,-1.844
ABCF1_3_4,heavy,-0.82133,-0.79772
NOP2_4_1,heavy,-3.2785,-3.8906
RPL27A_1_2,heavy,-4.5067,-4.8534
BMS1_4_1,heavy,-1.3542,-1.3178
XPO1_3_4,heavy,-2.195,-1.8385
MAK16_3_4,heavy,-1.4928,-1.6188
RPL7A_1_2,heavy,-2.7967,-3.2769
FAU_3_4,heavy,-2.5117,-2.8713
RPL18A_2_3,heavy,-3.752,-4.4934
RPS26_1_2,heavy,-1.7148,-2.0466
ZNF326_1_2,heavy,-0.78184,-0.79355
DDX21_4_1,heavy,-0.98701,-0.89943
RPS11_2_3,heavy,-3.1082,-2.177
UTP20_3_4,heavy,-0.91493,-0.88776
DYNC1H1_1_2,heavy,-0.88471,-0.89261
RPL7A_2_3,heavy,-1.4013,-1.3652
LAS1L_3_4,heavy,-1.1943,-0.88817
RRS1_4_1,heavy,-0.99046,-1.0223
