gene,day,lfc,essential,n
AKAP8,5,0.005247,non-essential,1401
AKAP8L,5,-0.072572,non-essential,1401
AKAP8L,13,0.70057,non-essential,1401
AKAP8L,21,1.3425,non-essential,1401
ALDH18A1,5,0.36016,non-essential,1401
ALDH18A1,21,1.873,non-essential,1401
ALDH18A1,13,1.3342,non-essential,1401
ALDH6A1,21,-0.44386,non-essential,1401
ALDH6A1,5,-0.060153,non-essential,1401
ALDH6A1,13,0.04438,non-essential,1401
ALDH7A1,5,-0.70734,non-essential,1401
ALDH7A1,13,0.51158,non-essential,1401
ALDH7A1,21,0.98912,non-essential,1401
ALDOA,5,-0.85051,essential,785
ALDOA,13,-3.7983,essential,785
ALDOA,21,-4.4522,essential,785
ALDOC,5,-0.16587,non-essential,1401
ALDOC,21,0.99951,non-essential,1401
ALDOC,13,0.62741,non-essential,1401
ALG13,21,-2.6394,essential,785
ALG13,13,-1.0531,essential,785
ALG13,5,0.084549,essential,785
ALKBH1,13,0.80291,non-essential,1401
ALKBH1,21,0.70672,non-essential,1401
ALKBH1,5,0.23046,non-essential,1401
ALKBH2,13,1.4715,non-essential,1401
ALKBH2,5,0.36055,non-essential,1401
ALKBH2,21,2.1571,non-essential,1401
ALKBH3,5,-0.21,non-essential,1401
ALKBH3,13,0.11492,non-essential,1401
ALKBH3,21,0.45516,non-essential,1401
ALKBH4,5,0.014122,non-essential,1401
ALKBH4,13,0.66389,non-essential,1401
ALKBH4,21,1.1569,non-essential,1401
ALKBH5,5,0.36921,non-essential,1401
ALKBH5,21,1.3205,non-essential,1401
ALKBH5,13,1.2079,non-essential,1401
ALKBH6,13,0.56316,non-essential,1401
ALKBH6,21,0.9175,non-essential,1401
ALKBH6,5,0.14092,non-essential,1401
ALKBH7,5,0.20047,non-essential,1401
ALKBH7,13,0.95093,non-essential,1401
ALKBH7,21,1.7691,non-essential,1401
ALKBH8,5,0.21249,non-essential,1401
ALKBH8,13,0.92694,non-essential,1401
ALKBH8,21,1.297,non-essential,1401
ALYREF,21,-2.1055,essential,785
ALYREF,5,-0.22572,essential,785
ALYREF,13,-1.1947,essential,785
ANG,21,0.89651,non-essential,1401
ANG,13,0.3916,non-essential,1401
ANG,5,-0.014471,non-essential,1401
