sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RRP36,4,0.068857,0.15628,NA,403,2,0.63604,0.66061,NA,1259,1,-0.13518,0.15628,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPP40,3,0.76088,0.76186,NA,1288,0,0.68046,0.68245,NA,1330,0,0.040597,0.68245,1,0,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRPL1,4,0.68865,0.70302,NA,1125,1,0.69098,0.70051,NA,1343,1,-0.0087549,0.70302,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL36AL,4,0.70827,0.71796,NA,1169,1,0.69446,0.7032,NA,1348,1,0.0055345,0.7032,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL36A,4,0.20944,0.3366,NA,526,2,0.70753,0.71378,NA,1367,1,-0.078441,0.3366,1,2,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,HEATR1,4,0.01349,0.042111,0.058766,313,3,0.78835,0.78753,NA,1492,0,-0.45961,0.042111,0.058766,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SNU13,3,0.68844,0.69021,NA,1123,1,0.81229,0.81304,NA,1523,0,-0.024236,0.69021,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRPL20,4,0.33112,0.46925,NA,673,2,0.81438,0.81313,NA,1526,0,-0.090262,0.46925,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,GTF3A,4,0.30965,0.44632,NA,631,2,0.81477,0.81354,NA,1528,0,-0.085768,0.44632,1,2,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NPM1,4,0.78571,0.78511,NA,1366,1,0.81622,0.81507,NA,1535,0,-0.034146,0.78511,1,1,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DDX52,4,0.36975,0.51158,NA,732,2,0.82964,0.82851,NA,1567,0,-0.037148,0.51158,1,2,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UTP23,4,0.084819,0.18613,0.197028,424,3,0.82976,0.82861,NA,1568,0,-0.22307,0.18613,0.197028,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RIOK1,4,0.36321,0.50409,NA,720,1,0.84717,0.8467,NA,1595,0,0.0064751,0.8467,1,0,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,LSM6,4,0.029738,0.077824,0.099928,343,3,0.88697,0.88686,NA,1680,0,-0.35203,0.077824,0.099928,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS9,3,0.0080491,0.022141,NA,297,2,0.89254,0.89301,NA,1694,0,-1.9313,0.022141,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS26,4,0.007404,0.025099,0.036925,293,3,0.89804,0.89829,NA,1702,0,-0.69413,0.025099,0.036925,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS2,4,0.0015119,0.0056503,0.011677,210,3,0.92264,0.92262,NA,1739,0,-1.1391,0.0056503,0.011677,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TSR2,4,0.023213,0.063697,0.084283,333,3,0.9272,0.92705,NA,1743,0,-0.33,0.063697,0.084283,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS17,4,0.0028201,0.010189,0.018579,236,3,0.94238,0.94245,NA,1775,0,-1.036,0.010189,0.018579,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL14,1,0.05285,0.053217,NA,374,1,0.94715,0.94737,NA,1788,0,-2.8174,0.053217,1,1,4 60S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NGDN,4,0.0026132,0.0094639,0.017704,231,3,0.95747,0.95766,NA,1816,0,-0.59992,0.0094639,0.017704,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOL11,4,0.006512,0.022264,0.034023,282,3,0.96695,0.96732,NA,1841,0,-0.42311,0.022264,0.034023,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NHP2,4,0.042578,0.10419,0.127375,362,3,0.96838,0.96865,NA,1847,0,-0.13585,0.10419,0.127375,3,2 60S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOM1,4,0.016454,0.048724,0.066497,319,3,0.97937,0.97965,NA,1872,0,-0.25813,0.048724,0.066497,3,1 40S biogenesis,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS14,2,0.015323,0.028414,NA,316,2,0.98468,0.98463,NA,1886,0,-2.0613,0.028414,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS27,4,0.0087171,0.029239,0.042299,301,3,0.9854,0.98554,NA,1888,0,-0.55979,0.029239,0.042299,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL29,4,0.026837,0.071569,0.09384,336,3,0.98619,0.98627,NA,1889,0,-0.83313,0.071569,0.09384,3,4 60S ribosome,notsig
