sample_name,insert_num,umi_count,type
ntc_day1_bc1_grna,141,938,gDNA
ntc_day1_bc1_grna,142,284,gDNA
ntc_day1_bc1_grna,143,121,gDNA
ntc_day1_bc1_grna,144,395,gDNA
ntc_day1_bc1_grna,145,35,gDNA
ntc_day1_bc1_grna,146,273,gDNA
ntc_day1_bc1_grna,147,183,gDNA
ntc_day1_bc1_grna,148,158,gDNA
ntc_day1_bc1_grna,149,619,gDNA
ntc_day1_bc1_grna,150,237,gDNA
ntc_day1_bc1_grna,151,57,gDNA
ntc_day1_bc1_grna,152,238,gDNA
ntc_day1_bc1_grna,153,1699,gDNA
ntc_day1_bc1_grna,154,520,gDNA
ntc_day1_bc1_grna,155,567,gDNA
ntc_day1_bc1_grna,156,1014,gDNA
ntc_day1_bc1_grna,157,471,gDNA
ntc_day1_bc1_grna,158,1029,gDNA
ntc_day1_bc1_grna,159,991,gDNA
ntc_day1_bc1_grna,160,675,gDNA
ntc_day1_bc1_grna,161,342,gDNA
ntc_day1_bc1_grna,162,743,gDNA
ntc_day1_bc1_grna,163,1068,gDNA
ntc_day1_bc1_grna,164,546,gDNA
ntc_day1_bc1_grna,165,1195,gDNA
ntc_day1_bc1_grna,166,84,gDNA
ntc_day1_bc1_grna,167,419,gDNA
ntc_day1_bc1_grna,168,156651,gDNA
ntc_day1_bc1_grna,169,220,gDNA
ntc_day1_bc1_grna,170,354,gDNA
ntc_day1_bc1_grna,171,467,gDNA
ntc_day1_bc1_grna,172,217,gDNA
ntc_day1_bc1_grna,173,187,gDNA
ntc_day1_bc1_grna,174,438,gDNA
ntc_day1_bc1_grna,175,296,gDNA
ntc_day1_bc1_grna,176,963,gDNA
ntc_day1_bc1_grna,177,602,gDNA
ntc_day1_bc1_grna,178,987,gDNA
ntc_day1_bc1_grna,179,514,gDNA
ntc_day1_bc1_grna,180,47,gDNA
ntc_day1_bc1_grna,181,135,gDNA
ntc_day1_bc1_grna,182,320,gDNA
ntc_day1_bc1_grna,183,106,gDNA
ntc_day1_bc1_grna,184,672,gDNA
ntc_day1_bc1_grna,185,263,gDNA
ntc_day1_bc1_grna,186,124,gDNA
ntc_day1_bc1_grna,187,367,gDNA
ntc_day1_bc1_grna,188,457,gDNA
ntc_day1_bc1_grna,189,776,gDNA
ntc_day1_bc1_grna,190,341,gDNA
ntc_day1_bc1_grna,191,1009,gDNA
ntc_day1_bc1_grna,192,530,gDNA
ntc_day1_bc1_grna,193,99,gDNA
ntc_day1_bc1_grna,194,97,gDNA
ntc_day1_bc1_grna,195,173,gDNA
ntc_day1_bc1_grna,196,780,gDNA
ntc_day1_bc1_grna,197,302,gDNA
ntc_day1_bc1_grna,198,446,gDNA
ntc_day1_bc1_grna,199,17,gDNA
ntc_day1_bc1_grna,200,236,gDNA
ntc_day1_bc1_grna,201,622,gDNA
ntc_day1_bc1_grna,202,769,gDNA
ntc_day1_bc1_grna,203,215,gDNA
ntc_day1_bc1_grna,204,328,gDNA
ntc_day1_bc1_grna,205,153,gDNA
ntc_day1_bc1_grna,206,400,gDNA
ntc_day1_bc1_grna,207,1091,gDNA
ntc_day1_bc1_grna,208,240,gDNA
ntc_day1_bc1_grna,209,553,gDNA
ntc_day1_bc1_grna,210,84,gDNA
ntc_day1_bc1_grna,211,2490,gDNA
ntc_day1_bc1_grna,212,145,gDNA
ntc_day1_bc1_grna,213,560,gDNA
ntc_day1_bc1_grna,214,229,gDNA
ntc_day1_bc1_grna,215,65,gDNA
ntc_day1_bc1_grna,216,1604,gDNA
ntc_day1_bc1_grna,217,233,gDNA
ntc_day1_bc1_grna,218,246,gDNA
ntc_day1_bc1_grna,219,682,gDNA
ntc_day1_bc1_grna,220,3848,gDNA
ntc_day1_bc1_grna,221,33,gDNA
ntc_day1_bc1_grna,222,968,gDNA
ntc_day1_bc1_grna,223,436,gDNA
ntc_day1_bc1_grna,224,231,gDNA
ntc_day1_bc1_grna,225,1399,gDNA
ntc_day1_bc1_grna,226,129,gDNA
ntc_day1_bc1_grna,227,66,gDNA
ntc_day1_bc1_grna,228,55,gDNA
ntc_day1_bc1_grna,229,1018,gDNA
ntc_day1_bc1_grna,230,365,gDNA
ntc_day1_bc1_grna,231,465,gDNA
ntc_day1_bc1_grna,232,260,gDNA
ntc_day1_bc1_grna,233,1269,gDNA
ntc_day1_bc1_grna,234,839,gDNA
ntc_day1_bc1_grna,235,168,gDNA
ntc_day1_bc1_grna,236,294,gDNA
ntc_day1_bc1_grna,237,706,gDNA
ntc_day1_bc1_grna,238,622,gDNA
ntc_day1_bc1_grna,239,881,gDNA
ntc_day1_bc1_grna,240,92,gDNA
ntc_day1_bc1_grna,241,23,gDNA
ntc_day1_bc1_grna,242,353,gDNA
ntc_day1_bc1_grna,243,406,gDNA
ntc_day1_bc1_grna,244,1093,gDNA
ntc_day1_bc1_grna,245,907,gDNA
ntc_day1_bc1_grna,246,81,gDNA
ntc_day1_bc1_grna,247,1633,gDNA
ntc_day1_bc1_grna,248,1553,gDNA
ntc_day1_bc1_grna,249,320,gDNA
ntc_day1_bc1_grna,250,169,gDNA
ntc_day1_bc1_grna,251,577,gDNA
ntc_day1_bc1_grna,252,552,gDNA
ntc_day1_bc1_grna,253,88,gDNA
ntc_day1_bc1_grna,254,233,gDNA
ntc_day1_bc1_grna,255,821,gDNA
ntc_day1_bc1_grna,256,452,gDNA
ntc_day1_bc1_grna,257,465,gDNA
ntc_day1_bc1_grna,258,140,gDNA
ntc_day1_bc1_grna,259,149,gDNA
ntc_day1_bc1_grna,260,1216,gDNA
ntc_day1_bc1_grna,261,393,gDNA
ntc_day1_bc1_grna,262,580,gDNA
ntc_day1_bc1_grna,263,1106,gDNA
ntc_day1_bc1_grna,264,573,gDNA
ntc_day1_bc1_grna,265,347,gDNA
ntc_day1_bc1_grna,266,442,gDNA
ntc_day1_bc1_grna,267,352,gDNA
ntc_day1_bc1_grna,268,503,gDNA
ntc_day1_bc1_grna,269,142,gDNA
ntc_day1_bc1_grna,270,406,gDNA
ntc_day1_bc1_grna,271,40,gDNA
ntc_day1_bc1_grna,272,162,gDNA
ntc_day1_bc1_grna,273,2623,gDNA
ntc_day1_bc1_grna,274,406,gDNA
ntc_day1_bc1_grna,275,143,gDNA
ntc_day1_bc1_grna,276,1179,gDNA
ntc_day1_bc1_grna,277,685,gDNA
ntc_day1_bc1_grna,278,120,gDNA
ntc_day1_bc1_grna,279,386,gDNA
ntc_day1_bc1_grna,280,177,gDNA
ntc_day1_bc1_grna,281,161,gDNA
ntc_day1_bc1_grna,282,80,gDNA
ntc_day1_bc1_grna,283,385,gDNA
ntc_day1_bc1_grna,284,903,gDNA
ntc_day1_bc1_grna,285,141,gDNA
