sample1,sample2,r
e2,e2,0.5442858039506109
e2,i1,0.08360070350317965
e2,i2,-0.04268584340420231
i1,e2,0.13886983193573205
i1,i1,0.6020481688104754
i1,i2,0.277012988754272
i2,e2,-0.0689885019355973
i2,i1,0.390669770846307
i2,i2,0.7117062609379196
