Distance (mm),Absorbance,sgRNA,Treatment,nuclease
27.48,0.09397599999999999,GCN1,DMSO,+ micrococcal nuclease
27.58,0.094962,GCN1,DMSO,+ micrococcal nuclease
27.68,0.09815,GCN1,DMSO,+ micrococcal nuclease
27.78,0.09968400000000001,GCN1,DMSO,+ micrococcal nuclease
27.88,0.104198,GCN1,DMSO,+ micrococcal nuclease
27.98,0.10542800000000001,GCN1,DMSO,+ micrococcal nuclease
28.08,0.109007,GCN1,DMSO,+ micrococcal nuclease
28.18,0.11157399999999999,GCN1,DMSO,+ micrococcal nuclease
28.28,0.112248,GCN1,DMSO,+ micrococcal nuclease
28.38,0.113602,GCN1,DMSO,+ micrococcal nuclease
28.48,0.11328300000000001,GCN1,DMSO,+ micrococcal nuclease
28.58,0.113852,GCN1,DMSO,+ micrococcal nuclease
28.68,0.11528100000000001,GCN1,DMSO,+ micrococcal nuclease
28.78,0.11369,GCN1,DMSO,+ micrococcal nuclease
28.88,0.11107399999999999,GCN1,DMSO,+ micrococcal nuclease
28.98,0.11555800000000001,GCN1,DMSO,+ micrococcal nuclease
29.08,0.115046,GCN1,DMSO,+ micrococcal nuclease
29.18,0.11248699999999999,GCN1,DMSO,+ micrococcal nuclease
29.28,0.110337,GCN1,DMSO,+ micrococcal nuclease
29.38,0.110671,GCN1,DMSO,+ micrococcal nuclease
29.48,0.108359,GCN1,DMSO,+ micrococcal nuclease
29.58,0.10521099999999999,GCN1,DMSO,+ micrococcal nuclease
29.68,0.10447,GCN1,DMSO,+ micrococcal nuclease
29.77,0.103891,GCN1,DMSO,+ micrococcal nuclease
29.88,0.10052099999999999,GCN1,DMSO,+ micrococcal nuclease
29.98,0.09963599999999999,GCN1,DMSO,+ micrococcal nuclease
30.07,0.09486099999999999,GCN1,DMSO,+ micrococcal nuclease
30.17,0.093791,GCN1,DMSO,+ micrococcal nuclease
30.28,0.090799,GCN1,DMSO,+ micrococcal nuclease
30.37,0.09203399999999999,GCN1,DMSO,+ micrococcal nuclease
30.47,0.088437,GCN1,DMSO,+ micrococcal nuclease
30.57,0.08730999999999998,GCN1,DMSO,+ micrococcal nuclease
30.67,0.088136,GCN1,DMSO,+ micrococcal nuclease
30.77,0.08218299999999999,GCN1,DMSO,+ micrococcal nuclease
30.87,0.08295899999999999,GCN1,DMSO,+ micrococcal nuclease
30.97,0.083388,GCN1,DMSO,+ micrococcal nuclease
31.07,0.08386300000000001,GCN1,DMSO,+ micrococcal nuclease
31.17,0.08187099999999999,GCN1,DMSO,+ micrococcal nuclease
31.27,0.083221,GCN1,DMSO,+ micrococcal nuclease
31.37,0.083055,GCN1,DMSO,+ micrococcal nuclease
31.47,0.08423099999999999,GCN1,DMSO,+ micrococcal nuclease
31.57,0.081358,GCN1,DMSO,+ micrococcal nuclease
31.67,0.08403499999999998,GCN1,DMSO,+ micrococcal nuclease
31.77,0.082795,GCN1,DMSO,+ micrococcal nuclease
31.87,0.08573299999999999,GCN1,DMSO,+ micrococcal nuclease
31.97,0.08667899999999999,GCN1,DMSO,+ micrococcal nuclease
32.07,0.087522,GCN1,DMSO,+ micrococcal nuclease
32.17,0.091347,GCN1,DMSO,+ micrococcal nuclease
32.27,0.09882699999999998,GCN1,DMSO,+ micrococcal nuclease
32.37,0.105997,GCN1,DMSO,+ micrococcal nuclease
32.47,0.11755700000000001,GCN1,DMSO,+ micrococcal nuclease
32.57,0.13294699999999998,GCN1,DMSO,+ micrococcal nuclease
32.66,0.14978999999999998,GCN1,DMSO,+ micrococcal nuclease
32.77,0.17158099999999998,GCN1,DMSO,+ micrococcal nuclease
32.87,0.202266,GCN1,DMSO,+ micrococcal nuclease
32.96,0.23371599999999998,GCN1,DMSO,+ micrococcal nuclease
33.06,0.282068,GCN1,DMSO,+ micrococcal nuclease
33.17,0.324779,GCN1,DMSO,+ micrococcal nuclease
33.26,0.380423,GCN1,DMSO,+ micrococcal nuclease
33.36,0.42938299999999996,GCN1,DMSO,+ micrococcal nuclease
33.47,0.478954,GCN1,DMSO,+ micrococcal nuclease
33.56,0.538395,GCN1,DMSO,+ micrococcal nuclease
33.66,0.636885,GCN1,DMSO,+ micrococcal nuclease
33.76,0.7110569999999999,GCN1,DMSO,+ micrococcal nuclease
33.86,0.766065,GCN1,DMSO,+ micrococcal nuclease
33.96,0.841036,GCN1,DMSO,+ micrococcal nuclease
34.06,0.905988,GCN1,DMSO,+ micrococcal nuclease
34.16,0.9829570000000001,GCN1,DMSO,+ micrococcal nuclease
34.26,1.018825,GCN1,DMSO,+ micrococcal nuclease
34.36,1.0703259999999999,GCN1,DMSO,+ micrococcal nuclease
34.46,1.110813,GCN1,DMSO,+ micrococcal nuclease
34.56,1.15712,GCN1,DMSO,+ micrococcal nuclease
34.66,1.188523,GCN1,DMSO,+ micrococcal nuclease
34.76,1.223602,GCN1,DMSO,+ micrococcal nuclease
34.86,1.262756,GCN1,DMSO,+ micrococcal nuclease
34.96,1.272645,GCN1,DMSO,+ micrococcal nuclease
35.06,1.290955,GCN1,DMSO,+ micrococcal nuclease
35.16,1.279876,GCN1,DMSO,+ micrococcal nuclease
35.26,1.261713,GCN1,DMSO,+ micrococcal nuclease
35.36,1.245369,GCN1,DMSO,+ micrococcal nuclease
35.46,1.231113,GCN1,DMSO,+ micrococcal nuclease
35.56,1.213284,GCN1,DMSO,+ micrococcal nuclease
35.66,1.193223,GCN1,DMSO,+ micrococcal nuclease
35.75,1.1722759999999999,GCN1,DMSO,+ micrococcal nuclease
35.86,1.148892,GCN1,DMSO,+ micrococcal nuclease
35.96,1.128553,GCN1,DMSO,+ micrococcal nuclease
36.05,1.104214,GCN1,DMSO,+ micrococcal nuclease
36.16,1.084101,GCN1,DMSO,+ micrococcal nuclease
36.26,1.057385,GCN1,DMSO,+ micrococcal nuclease
36.35,1.032552,GCN1,DMSO,+ micrococcal nuclease
36.45,1.008916,GCN1,DMSO,+ micrococcal nuclease
36.56,0.9779229999999999,GCN1,DMSO,+ micrococcal nuclease
36.65,0.9527410000000001,GCN1,DMSO,+ micrococcal nuclease
36.75,0.9280499999999999,GCN1,DMSO,+ micrococcal nuclease
36.85,0.900206,GCN1,DMSO,+ micrococcal nuclease
36.95,0.876371,GCN1,DMSO,+ micrococcal nuclease
37.05,0.8511759999999999,GCN1,DMSO,+ micrococcal nuclease
37.15,0.823415,GCN1,DMSO,+ micrococcal nuclease
37.25,0.798751,GCN1,DMSO,+ micrococcal nuclease
37.35,0.773758,GCN1,DMSO,+ micrococcal nuclease
37.45,0.749537,GCN1,DMSO,+ micrococcal nuclease
37.55,0.7249639999999999,GCN1,DMSO,+ micrococcal nuclease
37.65,0.707025,GCN1,DMSO,+ micrococcal nuclease
37.75,0.685603,GCN1,DMSO,+ micrococcal nuclease
37.85,0.6624639999999999,GCN1,DMSO,+ micrococcal nuclease
37.95,0.641035,GCN1,DMSO,+ micrococcal nuclease
38.05,0.625927,GCN1,DMSO,+ micrococcal nuclease
38.15,0.604349,GCN1,DMSO,+ micrococcal nuclease
38.25,0.5849449999999999,GCN1,DMSO,+ micrococcal nuclease
38.35,0.570389,GCN1,DMSO,+ micrococcal nuclease
38.45,0.550532,GCN1,DMSO,+ micrococcal nuclease
38.55,0.535547,GCN1,DMSO,+ micrococcal nuclease
38.65,0.520483,GCN1,DMSO,+ micrococcal nuclease
38.74,0.5029009999999999,GCN1,DMSO,+ micrococcal nuclease
38.85,0.48875,GCN1,DMSO,+ micrococcal nuclease
38.95,0.47042699999999993,GCN1,DMSO,+ micrococcal nuclease
39.05,0.458137,GCN1,DMSO,+ micrococcal nuclease
39.14,0.443272,GCN1,DMSO,+ micrococcal nuclease
39.25,0.42822699999999997,GCN1,DMSO,+ micrococcal nuclease
39.35,0.418427,GCN1,DMSO,+ micrococcal nuclease
39.44,0.404977,GCN1,DMSO,+ micrococcal nuclease
39.54,0.394592,GCN1,DMSO,+ micrococcal nuclease
39.65,0.38403299999999996,GCN1,DMSO,+ micrococcal nuclease
39.74,0.37352599999999997,GCN1,DMSO,+ micrococcal nuclease
39.84,0.359997,GCN1,DMSO,+ micrococcal nuclease
39.94,0.355548,GCN1,DMSO,+ micrococcal nuclease
40.04,0.340632,GCN1,DMSO,+ micrococcal nuclease
40.14,0.336649,GCN1,DMSO,+ micrococcal nuclease
40.24,0.32675499999999996,GCN1,DMSO,+ micrococcal nuclease
40.34,0.316249,GCN1,DMSO,+ micrococcal nuclease
40.44,0.310041,GCN1,DMSO,+ micrococcal nuclease
40.54,0.307783,GCN1,DMSO,+ micrococcal nuclease
40.64,0.30169999999999997,GCN1,DMSO,+ micrococcal nuclease
40.74,0.289664,GCN1,DMSO,+ micrococcal nuclease
40.84,0.280086,GCN1,DMSO,+ micrococcal nuclease
40.94,0.277791,GCN1,DMSO,+ micrococcal nuclease
41.04,0.27177599999999996,GCN1,DMSO,+ micrococcal nuclease
41.14,0.259333,GCN1,DMSO,+ micrococcal nuclease
41.24,0.256474,GCN1,DMSO,+ micrococcal nuclease
41.34,0.249421,GCN1,DMSO,+ micrococcal nuclease
41.44,0.24110399999999998,GCN1,DMSO,+ micrococcal nuclease
41.54,0.23944099999999996,GCN1,DMSO,+ micrococcal nuclease
41.64,0.235203,GCN1,DMSO,+ micrococcal nuclease
41.74,0.22320399999999996,GCN1,DMSO,+ micrococcal nuclease
41.84,0.22064,GCN1,DMSO,+ micrococcal nuclease
41.94,0.21560399999999996,GCN1,DMSO,+ micrococcal nuclease
42.04,0.210463,GCN1,DMSO,+ micrococcal nuclease
42.14,0.20602199999999998,GCN1,DMSO,+ micrococcal nuclease
42.23,0.205401,GCN1,DMSO,+ micrococcal nuclease
42.34,0.19820699999999997,GCN1,DMSO,+ micrococcal nuclease
42.44,0.196716,GCN1,DMSO,+ micrococcal nuclease
42.53,0.19487299999999996,GCN1,DMSO,+ micrococcal nuclease
42.63,0.18887299999999996,GCN1,DMSO,+ micrococcal nuclease
42.74,0.18694899999999998,GCN1,DMSO,+ micrococcal nuclease
42.83,0.183147,GCN1,DMSO,+ micrococcal nuclease
42.93,0.180769,GCN1,DMSO,+ micrococcal nuclease
43.03,0.17951,GCN1,DMSO,+ micrococcal nuclease
43.13,0.17923499999999998,GCN1,DMSO,+ micrococcal nuclease
43.23,0.17327599999999999,GCN1,DMSO,+ micrococcal nuclease
43.33,0.17439500000000002,GCN1,DMSO,+ micrococcal nuclease
43.43,0.173294,GCN1,DMSO,+ micrococcal nuclease
43.53,0.173607,GCN1,DMSO,+ micrococcal nuclease
43.63,0.16565200000000002,GCN1,DMSO,+ micrococcal nuclease
43.73,0.16655199999999998,GCN1,DMSO,+ micrococcal nuclease
43.83,0.16599999999999998,GCN1,DMSO,+ micrococcal nuclease
43.93,0.16278199999999998,GCN1,DMSO,+ micrococcal nuclease
44.03,0.160437,GCN1,DMSO,+ micrococcal nuclease
44.13,0.15909600000000002,GCN1,DMSO,+ micrococcal nuclease
44.23,0.15545900000000001,GCN1,DMSO,+ micrococcal nuclease
44.33,0.15525499999999998,GCN1,DMSO,+ micrococcal nuclease
44.43,0.152885,GCN1,DMSO,+ micrococcal nuclease
44.53,0.15036699999999997,GCN1,DMSO,+ micrococcal nuclease
44.63,0.146907,GCN1,DMSO,+ micrococcal nuclease
44.73,0.14658500000000002,GCN1,DMSO,+ micrococcal nuclease
44.83,0.144301,GCN1,DMSO,+ micrococcal nuclease
44.92,0.14154499999999998,GCN1,DMSO,+ micrococcal nuclease
45.03,0.141797,GCN1,DMSO,+ micrococcal nuclease
45.13,0.14014500000000002,GCN1,DMSO,+ micrococcal nuclease
45.23,0.137795,GCN1,DMSO,+ micrococcal nuclease
45.32,0.13704,GCN1,DMSO,+ micrococcal nuclease
45.43,0.136573,GCN1,DMSO,+ micrococcal nuclease
45.52,0.13428299999999999,GCN1,DMSO,+ micrococcal nuclease
45.62,0.13441599999999998,GCN1,DMSO,+ micrococcal nuclease
45.72,0.131982,GCN1,DMSO,+ micrococcal nuclease
45.82,0.13362999999999997,GCN1,DMSO,+ micrococcal nuclease
45.92,0.132747,GCN1,DMSO,+ micrococcal nuclease
46.02,0.132758,GCN1,DMSO,+ micrococcal nuclease
46.13,0.13124799999999998,GCN1,DMSO,+ micrococcal nuclease
46.22,0.133046,GCN1,DMSO,+ micrococcal nuclease
46.32,0.13328299999999998,GCN1,DMSO,+ micrococcal nuclease
46.42,0.131583,GCN1,DMSO,+ micrococcal nuclease
46.52,0.128075,GCN1,DMSO,+ micrococcal nuclease
46.62,0.130046,GCN1,DMSO,+ micrococcal nuclease
46.72,0.12996200000000002,GCN1,DMSO,+ micrococcal nuclease
46.82,0.127751,GCN1,DMSO,+ micrococcal nuclease
46.92,0.12730999999999998,GCN1,DMSO,+ micrococcal nuclease
47.02,0.126647,GCN1,DMSO,+ micrococcal nuclease
47.12,0.12452699999999998,GCN1,DMSO,+ micrococcal nuclease
47.22,0.12475499999999999,GCN1,DMSO,+ micrococcal nuclease
47.32,0.12297000000000001,GCN1,DMSO,+ micrococcal nuclease
47.42,0.12055,GCN1,DMSO,+ micrococcal nuclease
47.52,0.11855700000000001,GCN1,DMSO,+ micrococcal nuclease
47.62,0.11813900000000001,GCN1,DMSO,+ micrococcal nuclease
47.72,0.115715,GCN1,DMSO,+ micrococcal nuclease
47.82,0.112778,GCN1,DMSO,+ micrococcal nuclease
47.92,0.113491,GCN1,DMSO,+ micrococcal nuclease
48.01,0.10957399999999999,GCN1,DMSO,+ micrococcal nuclease
48.12,0.108116,GCN1,DMSO,+ micrococcal nuclease
48.22,0.105941,GCN1,DMSO,+ micrococcal nuclease
48.31,0.103418,GCN1,DMSO,+ micrococcal nuclease
48.41,0.100949,GCN1,DMSO,+ micrococcal nuclease
48.52,0.099957,GCN1,DMSO,+ micrococcal nuclease
48.62,0.097155,GCN1,DMSO,+ micrococcal nuclease
48.71,0.09666599999999999,GCN1,DMSO,+ micrococcal nuclease
48.81,0.094321,GCN1,DMSO,+ micrococcal nuclease
48.92,0.09065,GCN1,DMSO,+ micrococcal nuclease
49.01,0.08905500000000001,GCN1,DMSO,+ micrococcal nuclease
49.11,0.088164,GCN1,DMSO,+ micrococcal nuclease
49.21,0.08711999999999999,GCN1,DMSO,+ micrococcal nuclease
49.31,0.08326299999999999,GCN1,DMSO,+ micrococcal nuclease
49.41,0.08029499999999999,GCN1,DMSO,+ micrococcal nuclease
49.51,0.079697,GCN1,DMSO,+ micrococcal nuclease
49.61,0.07834100000000001,GCN1,DMSO,+ micrococcal nuclease
49.71,0.07431600000000001,GCN1,DMSO,+ micrococcal nuclease
49.81,0.073841,GCN1,DMSO,+ micrococcal nuclease
49.91,0.070893,GCN1,DMSO,+ micrococcal nuclease
50.01,0.06952799999999999,GCN1,DMSO,+ micrococcal nuclease
50.11,0.06863199999999998,GCN1,DMSO,+ micrococcal nuclease
50.21,0.066673,GCN1,DMSO,+ micrococcal nuclease
50.31,0.06319100000000001,GCN1,DMSO,+ micrococcal nuclease
50.41,0.062648,GCN1,DMSO,+ micrococcal nuclease
50.51,0.061216999999999994,GCN1,DMSO,+ micrococcal nuclease
50.61,0.058132,GCN1,DMSO,+ micrococcal nuclease
50.71,0.05667,GCN1,DMSO,+ micrococcal nuclease
50.81,0.056554999999999994,GCN1,DMSO,+ micrococcal nuclease
50.91,0.053640999999999994,GCN1,DMSO,+ micrococcal nuclease
51.01,0.052395,GCN1,DMSO,+ micrococcal nuclease
51.1,0.051406999999999994,GCN1,DMSO,+ micrococcal nuclease
51.21,0.049146999999999996,GCN1,DMSO,+ micrococcal nuclease
51.31,0.048409999999999995,GCN1,DMSO,+ micrococcal nuclease
51.4,0.04754599999999999,GCN1,DMSO,+ micrococcal nuclease
51.5,0.047151,GCN1,DMSO,+ micrococcal nuclease
51.61,0.047055,GCN1,DMSO,+ micrococcal nuclease
51.71,0.04729,GCN1,DMSO,+ micrococcal nuclease
51.8,0.044013,GCN1,DMSO,+ micrococcal nuclease
51.9,0.044542,GCN1,DMSO,+ micrococcal nuclease
52.01,0.04421699999999999,GCN1,DMSO,+ micrococcal nuclease
52.1,0.044745999999999994,GCN1,DMSO,+ micrococcal nuclease
52.2,0.040888999999999995,GCN1,DMSO,+ micrococcal nuclease
52.3,0.042824,GCN1,DMSO,+ micrococcal nuclease
52.4,0.042966000000000004,GCN1,DMSO,+ micrococcal nuclease
52.5,0.04213599999999999,GCN1,DMSO,+ micrococcal nuclease
52.6,0.041389999999999996,GCN1,DMSO,+ micrococcal nuclease
52.7,0.041745000000000004,GCN1,DMSO,+ micrococcal nuclease
52.8,0.039815,GCN1,DMSO,+ micrococcal nuclease
52.9,0.04052499999999999,GCN1,DMSO,+ micrococcal nuclease
53,0.040396,GCN1,DMSO,+ micrococcal nuclease
53.1,0.039323,GCN1,DMSO,+ micrococcal nuclease
53.2,0.038118,GCN1,DMSO,+ micrococcal nuclease
53.3,0.03896999999999999,GCN1,DMSO,+ micrococcal nuclease
53.4,0.038172,GCN1,DMSO,+ micrococcal nuclease
53.5,0.036499000000000004,GCN1,DMSO,+ micrococcal nuclease
53.6,0.03751399999999999,GCN1,DMSO,+ micrococcal nuclease
53.7,0.036322999999999994,GCN1,DMSO,+ micrococcal nuclease
53.8,0.03644499999999999,GCN1,DMSO,+ micrococcal nuclease
53.9,0.035850999999999994,GCN1,DMSO,+ micrococcal nuclease
54,0.03561,GCN1,DMSO,+ micrococcal nuclease
54.1,0.034684999999999994,GCN1,DMSO,+ micrococcal nuclease
54.19,0.035906999999999994,GCN1,DMSO,+ micrococcal nuclease
54.3,0.03547,GCN1,DMSO,+ micrococcal nuclease
54.4,0.036310999999999996,GCN1,DMSO,+ micrococcal nuclease
54.49,0.03548899999999999,GCN1,DMSO,+ micrococcal nuclease
54.59,0.03501,GCN1,DMSO,+ micrococcal nuclease
54.7,0.034456,GCN1,DMSO,+ micrococcal nuclease
54.8,0.035348000000000004,GCN1,DMSO,+ micrococcal nuclease
54.89,0.03540399999999999,GCN1,DMSO,+ micrococcal nuclease
54.99,0.034306,GCN1,DMSO,+ micrococcal nuclease
55.09,0.03289399999999999,GCN1,DMSO,+ micrococcal nuclease
55.19,0.033552,GCN1,DMSO,+ micrococcal nuclease
55.29,0.033526,GCN1,DMSO,+ micrococcal nuclease
55.39,0.03258,GCN1,DMSO,+ micrococcal nuclease
55.49,0.033291,GCN1,DMSO,+ micrococcal nuclease
55.59,0.03260299999999999,GCN1,DMSO,+ micrococcal nuclease
55.69,0.032677,GCN1,DMSO,+ micrococcal nuclease
55.79,0.032783999999999994,GCN1,DMSO,+ micrococcal nuclease
55.89,0.03324099999999999,GCN1,DMSO,+ micrococcal nuclease
55.99,0.031051999999999996,GCN1,DMSO,+ micrococcal nuclease
56.09,0.030921000000000004,GCN1,DMSO,+ micrococcal nuclease
56.19,0.030924999999999994,GCN1,DMSO,+ micrococcal nuclease
56.29,0.029880000000000004,GCN1,DMSO,+ micrococcal nuclease
56.39,0.028652999999999998,GCN1,DMSO,+ micrococcal nuclease
56.49,0.029863,GCN1,DMSO,+ micrococcal nuclease
56.59,0.027962,GCN1,DMSO,+ micrococcal nuclease
56.69,0.028489,GCN1,DMSO,+ micrococcal nuclease
56.79,0.028393,GCN1,DMSO,+ micrococcal nuclease
56.89,0.027516,GCN1,DMSO,+ micrococcal nuclease
56.99,0.027502,GCN1,DMSO,+ micrococcal nuclease
57.09,0.027406,GCN1,DMSO,+ micrococcal nuclease
57.19,0.028063999999999992,GCN1,DMSO,+ micrococcal nuclease
57.28,0.027966999999999992,GCN1,DMSO,+ micrococcal nuclease
57.39,0.027910000000000004,GCN1,DMSO,+ micrococcal nuclease
57.49,0.027200000000000002,GCN1,DMSO,+ micrococcal nuclease
57.58,0.027205999999999994,GCN1,DMSO,+ micrococcal nuclease
57.68,0.026334999999999997,GCN1,DMSO,+ micrococcal nuclease
57.79,0.027304999999999996,GCN1,DMSO,+ micrococcal nuclease
57.88,0.026234999999999994,GCN1,DMSO,+ micrococcal nuclease
57.98,0.024010000000000004,GCN1,DMSO,+ micrococcal nuclease
58.08,0.024023000000000003,GCN1,DMSO,+ micrococcal nuclease
58.18,0.023068999999999992,GCN1,DMSO,+ micrococcal nuclease
58.28,0.021935999999999997,GCN1,DMSO,+ micrococcal nuclease
58.38,0.024214,GCN1,DMSO,+ micrococcal nuclease
58.48,0.022605,GCN1,DMSO,+ micrococcal nuclease
58.58,0.023319999999999994,GCN1,DMSO,+ micrococcal nuclease
58.68,0.023847999999999994,GCN1,DMSO,+ micrococcal nuclease
58.78,0.021743,GCN1,DMSO,+ micrococcal nuclease
58.88,0.020947999999999994,GCN1,DMSO,+ micrococcal nuclease
58.98,0.021694999999999992,GCN1,DMSO,+ micrococcal nuclease
59.08,0.021121,GCN1,DMSO,+ micrococcal nuclease
59.18,0.018672999999999995,GCN1,DMSO,+ micrococcal nuclease
59.28,0.019413,GCN1,DMSO,+ micrococcal nuclease
59.38,0.018754999999999994,GCN1,DMSO,+ micrococcal nuclease
59.48,0.017846,GCN1,DMSO,+ micrococcal nuclease
59.58,0.01758699999999999,GCN1,DMSO,+ micrococcal nuclease
59.68,0.018528000000000003,GCN1,DMSO,+ micrococcal nuclease
59.78,0.016257999999999995,GCN1,DMSO,+ micrococcal nuclease
59.88,0.017033999999999994,GCN1,DMSO,+ micrococcal nuclease
59.98,0.015527,GCN1,DMSO,+ micrococcal nuclease
60.08,0.016697000000000004,GCN1,DMSO,+ micrococcal nuclease
60.18,0.015823000000000004,GCN1,DMSO,+ micrococcal nuclease
60.28,0.015800999999999996,GCN1,DMSO,+ micrococcal nuclease
60.38,0.014609999999999998,GCN1,DMSO,+ micrococcal nuclease
60.48,0.015716999999999995,GCN1,DMSO,+ micrococcal nuclease
60.58,0.014836000000000002,GCN1,DMSO,+ micrococcal nuclease
60.67,0.013559000000000002,GCN1,DMSO,+ micrococcal nuclease
60.78,0.013850000000000001,GCN1,DMSO,+ micrococcal nuclease
60.88,0.014615000000000003,GCN1,DMSO,+ micrococcal nuclease
60.97,0.013464000000000004,GCN1,DMSO,+ micrococcal nuclease
61.07,0.012577999999999992,GCN1,DMSO,+ micrococcal nuclease
61.18,0.012591999999999992,GCN1,DMSO,+ micrococcal nuclease
61.27,0.013690999999999995,GCN1,DMSO,+ micrococcal nuclease
61.37,0.012691999999999995,GCN1,DMSO,+ micrococcal nuclease
61.47,0.012952999999999992,GCN1,DMSO,+ micrococcal nuclease
61.57,0.013866000000000003,GCN1,DMSO,+ micrococcal nuclease
61.67,0.012589000000000003,GCN1,DMSO,+ micrococcal nuclease
61.77,0.011577000000000004,GCN1,DMSO,+ micrococcal nuclease
61.87,0.011954999999999993,GCN1,DMSO,+ micrococcal nuclease
61.97,0.011319999999999997,GCN1,DMSO,+ micrococcal nuclease
62.07,0.012109999999999996,GCN1,DMSO,+ micrococcal nuclease
62.17,0.014020999999999992,GCN1,DMSO,+ micrococcal nuclease
62.27,0.012985999999999998,GCN1,DMSO,+ micrococcal nuclease
62.37,0.012920000000000001,GCN1,DMSO,+ micrococcal nuclease
62.47,0.012573,GCN1,DMSO,+ micrococcal nuclease
62.57,0.012559,GCN1,DMSO,+ micrococcal nuclease
62.67,0.012920000000000001,GCN1,DMSO,+ micrococcal nuclease
62.77,0.012842999999999993,GCN1,DMSO,+ micrococcal nuclease
62.87,0.01185,GCN1,DMSO,+ micrococcal nuclease
62.97,0.013793,GCN1,DMSO,+ micrococcal nuclease
63.07,0.014104999999999993,GCN1,DMSO,+ micrococcal nuclease
63.17,0.011481999999999992,GCN1,DMSO,+ micrococcal nuclease
63.27,0.014067999999999997,GCN1,DMSO,+ micrococcal nuclease
63.37,0.014259999999999995,GCN1,DMSO,+ micrococcal nuclease
63.47,0.019267999999999993,GCN1,DMSO,+ micrococcal nuclease
63.57,0.018376000000000003,GCN1,DMSO,+ micrococcal nuclease
63.67,0.020234000000000002,GCN1,DMSO,+ micrococcal nuclease
63.76,0.02056999999999999,GCN1,DMSO,+ micrococcal nuclease
63.87,0.020268999999999995,GCN1,DMSO,+ micrococcal nuclease
63.97,0.017933000000000004,GCN1,DMSO,+ micrococcal nuclease
64.06,0.02097299999999999,GCN1,DMSO,+ micrococcal nuclease
64.16,0.020911,GCN1,DMSO,+ micrococcal nuclease
64.27,0.020983,GCN1,DMSO,+ micrococcal nuclease
64.36,0.020705,GCN1,DMSO,+ micrococcal nuclease
64.46,0.020780999999999994,GCN1,DMSO,+ micrococcal nuclease
64.57,0.019247,GCN1,DMSO,+ micrococcal nuclease
64.66,0.019680000000000003,GCN1,DMSO,+ micrococcal nuclease
64.76,0.018852999999999995,GCN1,DMSO,+ micrococcal nuclease
64.86,0.016409999999999994,GCN1,DMSO,+ micrococcal nuclease
64.96,0.016232999999999997,GCN1,DMSO,+ micrococcal nuclease
65.06,0.017934999999999993,GCN1,DMSO,+ micrococcal nuclease
65.16,0.016611,GCN1,DMSO,+ micrococcal nuclease
65.26,0.018322999999999992,GCN1,DMSO,+ micrococcal nuclease
65.36,0.017881999999999995,GCN1,DMSO,+ micrococcal nuclease
65.46,0.016892000000000004,GCN1,DMSO,+ micrococcal nuclease
65.56,0.016782999999999992,GCN1,DMSO,+ micrococcal nuclease
65.66,0.0174,GCN1,DMSO,+ micrococcal nuclease
65.76,0.018564999999999998,GCN1,DMSO,+ micrococcal nuclease
65.86,0.018414,GCN1,DMSO,+ micrococcal nuclease
65.96,0.018576999999999996,GCN1,DMSO,+ micrococcal nuclease
66.06,0.017072000000000004,GCN1,DMSO,+ micrococcal nuclease
66.16,0.019630999999999996,GCN1,DMSO,+ micrococcal nuclease
66.26,0.019443000000000002,GCN1,DMSO,+ micrococcal nuclease
66.36,0.019408999999999996,GCN1,DMSO,+ micrococcal nuclease
66.45,0.018092999999999998,GCN1,DMSO,+ micrococcal nuclease
66.56,0.019348000000000004,GCN1,DMSO,+ micrococcal nuclease
66.65,0.019541000000000003,GCN1,DMSO,+ micrococcal nuclease
66.76,0.018225999999999992,GCN1,DMSO,+ micrococcal nuclease
66.86,0.016693,GCN1,DMSO,+ micrococcal nuclease
66.95,0.018324999999999994,GCN1,DMSO,+ micrococcal nuclease
67.05,0.017591999999999997,GCN1,DMSO,+ micrococcal nuclease
67.16,0.019644999999999996,GCN1,DMSO,+ micrococcal nuclease
67.25,0.020026000000000002,GCN1,DMSO,+ micrococcal nuclease
67.35,0.019867999999999997,GCN1,DMSO,+ micrococcal nuclease
67.45,0.018303,GCN1,DMSO,+ micrococcal nuclease
67.55,0.019443000000000002,GCN1,DMSO,+ micrococcal nuclease
67.65,0.019609,GCN1,DMSO,+ micrococcal nuclease
67.75,0.018544999999999992,GCN1,DMSO,+ micrococcal nuclease
67.85,0.019013000000000002,GCN1,DMSO,+ micrococcal nuclease
67.95,0.019395999999999997,GCN1,DMSO,+ micrococcal nuclease
68.05,0.019560999999999995,GCN1,DMSO,+ micrococcal nuclease
68.15,0.019454,GCN1,DMSO,+ micrococcal nuclease
68.25,0.019892999999999994,GCN1,DMSO,+ micrococcal nuclease
68.35,0.018716999999999998,GCN1,DMSO,+ micrococcal nuclease
68.45,0.019311999999999996,GCN1,DMSO,+ micrococcal nuclease
68.55,0.018678,GCN1,DMSO,+ micrococcal nuclease
68.65,0.019458000000000003,GCN1,DMSO,+ micrococcal nuclease
68.75,0.018892999999999993,GCN1,DMSO,+ micrococcal nuclease
68.85,0.018843,GCN1,DMSO,+ micrococcal nuclease
68.95,0.019206,GCN1,DMSO,+ micrococcal nuclease
69.05,0.021109000000000003,GCN1,DMSO,+ micrococcal nuclease
69.15,0.020841,GCN1,DMSO,+ micrococcal nuclease
69.25,0.019886,GCN1,DMSO,+ micrococcal nuclease
69.35,0.020009,GCN1,DMSO,+ micrococcal nuclease
