treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day13,0.59789,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR3,0.17767,0.052586,0.0062527,day5,-0.36128,0.407467,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day13,-1.3101,0.364694,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day5,0.42582,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day13,-3.4308,0.062649,7 RNA polymerase II
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day5,-0.94899,0.186119,7 RNA polymerase II
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day13,-0.78581,0.17246,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ERAL1,0.12835,0.076475,0.023233,day5,-0.28774,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2F,0.17934,1,0.069816,day13,-4.1016,0.040892,7 RNA polymerase II
heavy,mono,rep1,POLR2F,0.17934,1,0.069816,day5,-1.2828,0.194899,7 RNA polymerase II
heavy,mono,rep1,EIF3K,0.10127,1,0.16615,day13,-0.18391,0.478819,5 EIF3
heavy,mono,rep1,EIF3K,0.10127,1,0.16615,day5,-0.52361,0.402644,5 EIF3
heavy,mono,rep1,POLR2G,0.25112,0.19019,0.17163,day13,-2.1825,0.158999,7 RNA polymerase II
heavy,mono,rep1,POLR2G,0.25112,0.19019,0.17163,day5,-0.33015,NA,7 RNA polymerase II
heavy,mono,rep1,POLR2H,0.12286,0.195222,0.18094,day13,-3.2491,0.051492,7 RNA polymerase II
heavy,mono,rep1,POLR2H,0.12286,0.195222,0.18094,day5,-1.6603,0.108598,7 RNA polymerase II
heavy,mono,rep1,DDX28,0.34422,1,0.098931,day13,-0.55112,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX28,0.34422,1,0.098931,day5,0.44339,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3G,-0.96781,0.012494,0.0061032,day13,-3.856,0.049806,5 EIF3
heavy,mono,rep1,EIF3G,-0.96781,0.012494,0.0061032,day5,-0.94685,0.186119,5 EIF3
heavy,mono,rep1,FASTKD2,0.094401,1,0.25301,day13,0.17347,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,FASTKD2,0.094401,1,0.25301,day5,-0.39059,0.450072,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL22,0.06807,1,0.26131,day13,-2.8164,0.088846,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL22,0.06807,1,0.26131,day5,-0.55378,0.332761,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27L,0.037469,1,0.27396,day13,0.79627,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27L,0.037469,1,0.27396,day5,-0.11726,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2L,0.14341,1,0.30236,day13,-3.8558,0.081426,7 RNA polymerase II
heavy,mono,rep1,POLR2L,0.14341,1,0.30236,day5,-0.069505,0.369658,7 RNA polymerase II
heavy,mono,rep1,RPL39L,0.044896,1,0.32317,day13,1.1072,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39L,0.044896,1,0.32317,day5,-0.021021,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL10L,0.076075,1,0.34452,day13,0.0048069,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL10L,0.076075,1,0.34452,day5,-0.14702,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS11,0.062527,1,0.35575,day13,-0.42627,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPS11,0.062527,1,0.35575,day5,0.39599,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,KRI1,-0.088716,1,0.34789,day13,-0.58345,0.461561,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,KRI1,-0.088716,1,0.34789,day5,0.66497,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2A,-0.066344,1,0.81649,day13,-4.8928,0.022456,7 RNA polymerase II
heavy,mono,rep1,POLR2A,-0.066344,1,0.81649,day5,-3.5156,0.00753,7 RNA polymerase II
heavy,mono,rep1,RPL3L,0.082692,1,0.38749,day13,0.50367,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL3L,0.082692,1,0.38749,day5,0.95217,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PRKDC,-0.043997,1,0.60451,day13,0.4699,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PRKDC,-0.043997,1,0.60451,day5,0.1923,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP25,0.051352,1,0.37562,day13,-0.2597,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP25,0.051352,1,0.37562,day5,-0.21125,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MPHOSPH10,-0.9777,0.069171,0.051002,day13,-0.54439,0.325445,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MPHOSPH10,-0.9777,0.069171,0.051002,day5,-1.0417,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2D,0.10009,1,0.41131,day13,-3.0024,0.037283,7 RNA polymerase II
heavy,mono,rep1,POLR2D,0.10009,1,0.41131,day5,-1.3921,0.19407,7 RNA polymerase II
heavy,mono,rep1,DHX30,0.074137,1,0.41703,day13,-0.40608,0.527108,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DHX30,0.074137,1,0.41703,day5,0.24474,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS19BP1,-0.083872,1,0.38554,day13,-1.4762,0.161434,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS19BP1,-0.083872,1,0.38554,day5,-0.027014,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL26L1,-0.068376,1,0.52495,day13,0.36158,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL26L1,-0.068376,1,0.52495,day5,-0.56094,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J2,-0.14404,1,0.32717,day13,-0.70625,0.32679,7 RNA polymerase II
heavy,mono,rep1,POLR2J2,-0.14404,1,0.32717,day5,-1.5914,NA,7 RNA polymerase II
heavy,mono,rep1,NOP9,0.056687,1,0.4668,day13,-1.2282,0.441642,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOP9,0.056687,1,0.4668,day5,0.93905,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2K,0.17252,1,0.43094,day13,-4.2146,NA,7 RNA polymerase II
heavy,mono,rep1,POLR2K,0.17252,1,0.43094,day5,-1.297,NA,7 RNA polymerase II
heavy,mono,rep1,RPS4Y2,-0.22764,0.145529,0.12239,day13,0.30751,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4Y2,-0.22764,0.145529,0.12239,day5,0.50417,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRM2,-0.074199,1,0.46443,day13,-2.1277,0.172174,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRM2,-0.074199,1,0.46443,day5,0.60695,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4Y1,-0.05684,1,0.41352,day13,0.60583,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4Y1,-0.05684,1,0.41352,day5,0.085959,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3H,-0.035828,1,0.6402,day13,-1.2035,0.232624,5 EIF3
heavy,mono,rep1,EIF3H,-0.035828,1,0.6402,day5,-0.13251,0.493796,5 EIF3
heavy,mono,rep1,POLR2B,0.0067239,1,0.61582,day13,-0.38366,0.527108,7 RNA polymerase II
heavy,mono,rep1,POLR2B,0.0067239,1,0.61582,day5,-0.29745,NA,7 RNA polymerase II
heavy,mono,rep1,RPL22L1,-0.097836,1,0.40712,day13,-0.52387,0.203174,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL22L1,-0.097836,1,0.40712,day5,0.02376,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RRP36,-0.13518,1,0.15628,day13,-1.5005,0.339177,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RRP36,-0.13518,1,0.15628,day5,-0.40374,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2E,-0.21747,1,0.50626,day13,-2.004,0.110576,7 RNA polymerase II
heavy,mono,rep1,POLR2E,-0.21747,1,0.50626,day5,-0.5037,0.375992,7 RNA polymerase II
heavy,mono,rep1,RPP40,0.040597,1,0.68245,day13,-0.67589,0.248212,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPP40,0.040597,1,0.68245,day5,0.21653,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRPL1,-0.0087549,1,0.70302,day13,0.31001,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPL1,-0.0087549,1,0.70302,day5,0.39231,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36AL,0.0055345,1,0.7032,day13,-2.4227,0.116124,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36AL,0.0055345,1,0.7032,day5,-0.8391,0.357761,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36A,-0.078441,1,0.3366,day13,-0.29085,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36A,-0.078441,1,0.3366,day5,-0.55817,0.204094,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,HEATR1,-0.45961,0.058766,0.042111,day13,-3.2043,0.079374,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,HEATR1,-0.45961,0.058766,0.042111,day5,0.26066,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SNU13,-0.024236,1,0.69021,day13,-1.8857,0.076022,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,SNU13,-0.024236,1,0.69021,day5,-0.67775,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPL20,-0.090262,1,0.46925,day13,-3.0007,0.041664,"1 60S ribosome 
& biogenesis"
