sample_name,relative_start,n
sgfluc_dmso,-49,0.023026675911396562
sgfluc_dmso,-48,0.03025216217202496
sgfluc_dmso,-47,0.028026128526073786
sgfluc_dmso,-46,0.02620151078349086
sgfluc_dmso,-45,0.027113819654782323
sgfluc_dmso,-44,0.02185892055614349
sgfluc_dmso,-43,0.026675911396562422
sgfluc_dmso,-42,0.025544648396161003
sgfluc_dmso,-41,0.03280662701164106
sgfluc_dmso,-40,0.03284311936649272
sgfluc_dmso,-39,0.03448527533481736
sgfluc_dmso,-38,0.03386490530233916
sgfluc_dmso,-37,0.03674780133562019
sgfluc_dmso,-36,0.029011422107068568
sgfluc_dmso,-35,0.02879246797795862
sgfluc_dmso,-34,0.024778308944276174
sgfluc_dmso,-33,0.03028865452687662
sgfluc_dmso,-32,0.03645586249680692
sgfluc_dmso,-31,0.024267415976352954
sgfluc_dmso,-30,0.0312739481078714
sgfluc_dmso,-29,0.028172097945480423
sgfluc_dmso,-28,0.030836039849651498
sgfluc_dmso,-27,0.03769660256176331
sgfluc_dmso,-26,0.027843666751815495
sgfluc_dmso,-25,0.027624712622705543
sgfluc_dmso,-24,0.03196730285005291
sgfluc_dmso,-23,0.02638397255774915
sgfluc_dmso,-22,0.02481480129912783
sgfluc_dmso,-21,0.027040834945079004
sgfluc_dmso,-20,0.02185892055614349
sgfluc_dmso,-19,0.025289201912199393
sgfluc_dmso,-18,0.05342480750282816
sgfluc_dmso,-17,0.020143779878115536
sgfluc_dmso,-16,0.030361639236579935
sgfluc_dmso,-15,0.09356639783965259
sgfluc_dmso,-14,0.7593694121081633
sgfluc_dmso,-13,1
sgfluc_dmso,-12,0.763894464109769
sgfluc_dmso,-11,0.5486990475495384
sgfluc_dmso,-10,0.6041674269240594
sgfluc_dmso,-9,0.32649709885778927
sgfluc_dmso,-8,0.257161624639638
sgfluc_dmso,-7,0.25241761850892236
sgfluc_dmso,-6,0.2081888844287122
sgfluc_dmso,-5,0.48950844798014814
sgfluc_dmso,-4,0.20734956026712403
sgfluc_dmso,-3,0.33321169215049445
sgfluc_dmso,-2,0.320329890887859
sgfluc_dmso,-1,0.2640951720614531
sgfluc_dmso,0,0.5948983687917382
sgfluc_dmso,1,0.10790789329635442
sgfluc_dmso,2,0.1397292267270007
sgfluc_dmso,3,0.13899937962996753
sgfluc_dmso,4,0.24066708024668831
sgfluc_dmso,5,0.19187680181002081
sgfluc_dmso,6,0.10896617158705252
sgfluc_dmso,7,0.20125533700689704
sgfluc_dmso,8,0.27810823632449
sgfluc_dmso,9,0.186512425646827
sgfluc_dmso,10,0.23085063679159215
sgfluc_dmso,11,0.23530270408349452
sgfluc_dmso,12,0.16293836441265555
sgfluc_dmso,13,0.1616611319928475
sgfluc_dmso,14,0.2024595847170018
sgfluc_dmso,15,0.1354961135642083
sgfluc_dmso,16,0.18487026967850234
sgfluc_dmso,17,0.30854286027077327
sgfluc_dmso,18,0.16582126044593656
sgfluc_dmso,19,0.23924387840747363
sgfluc_dmso,20,0.2221654563368974
sgfluc_dmso,21,0.15388826040944423
sgfluc_dmso,22,0.22099770098164434
sgfluc_dmso,23,0.2401561872787651
sgfluc_dmso,24,0.15983651425026457
sgfluc_dmso,25,0.22424552056344196
sgfluc_dmso,26,0.23530270408349452
