sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CD44,4,0.89142,0.89265,NA,1821,0,0.14689,0.29534,0.317169,608,3,0.29665,0.29534,0.317169,3,PTC,Other,10,197
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDC40,4,0.20651,0.35666,NA,754,2,0.83669,0.83787,NA,1718,1,-0.5093,0.35666,1,2,NTC,Other,10,198
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDC40,4,0.18705,0.34073,NA,723,2,0.96079,0.96096,NA,2015,0,-0.24543,0.34073,1,2,PTC,Other,10,198
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDC42EP4,4,0.4185,0.56652,NA,1122,2,0.41922,0.57027,NA,1203,1,-0.3376,0.56652,1,2,NTC,Other,10,199
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDC42EP4,4,0.54628,0.66242,NA,1303,1,0.3573,0.51305,NA,968,2,0.20153,0.51305,1,2,PTC,Other,10,199
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDC5L,2,0.094031,0.16094,NA,467,2,0.90597,0.90525,NA,1882,0,-1.1705,0.16094,1,2,NTC,Other,10,200
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDC5L,4,0.016079,0.052044,0.144961,178,3,0.10599,0.22685,NA,495,1,-1.3221,0.052044,0.144961,3,PTC,Other,10,200
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDK11B,4,0.080778,0.18164,NA,422,2,0.16902,0.33046,NA,738,1,-1.3177,0.18164,1,2,NTC,Other,10,201
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDK11B,4,0.96168,0.96179,NA,1996,0,0.13072,0.26881,0.301924,569,3,0.57237,0.26881,0.301924,3,PTC,Other,10,201
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDK13,4,0.94787,0.94801,NA,2024,0,0.7649,0.78299,NA,1605,1,0.21715,0.78299,1,1,NTC,Other,10,202
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDK13,4,0.11065,0.23409,NA,530,2,0.89864,0.89976,NA,1842,0,-0.17255,0.23409,1,2,PTC,Other,10,202
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDK17,4,0.38098,0.52907,NA,1041,2,0.76522,0.78321,NA,1606,1,-0.23532,0.52907,1,2,NTC,Other,10,203
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDK17,4,0.031771,0.088522,0.18315,258,3,0.84353,0.84509,NA,1716,1,-0.75846,0.088522,0.18315,3,PTC,Other,10,203
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDK5RAP1,4,0.16404,0.3147,NA,680,1,0.16107,0.31794,NA,713,2,0.49656,0.31794,1,2,NTC,Other,10,204
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDK5RAP1,4,0.011622,0.038578,0.13281,143,3,0.55313,0.67622,NA,1303,1,-1.0187,0.038578,0.13281,3,PTC,Other,10,204
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDK9,4,0.78614,0.79258,NA,1613,1,0.12418,0.25708,NA,599,2,0.54698,0.25708,1,2,NTC,Other,10,205
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDK9,4,0.12036,0.25082,0.292445,560,3,0.95456,0.95488,NA,1994,0,-0.56694,0.25082,0.292445,3,PTC,Other,10,205
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDKAL1,4,0.77547,0.78436,NA,1593,1,0.35374,0.50723,NA,1091,2,0.2649,0.50723,1,2,NTC,Other,10,206
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDKAL1,4,0.31094,0.46364,NA,929,2,0.902,0.90301,NA,1848,0,-0.24528,0.46364,1,2,PTC,Other,10,206
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDKN2A,4,0.19923,0.34959,NA,743,2,0.40806,0.55931,NA,1180,1,-0.12396,0.34959,1,2,NTC,Other,10,207
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDKN2A,4,0.97593,0.97588,NA,2040,0,0.14761,0.29658,0.317639,609,3,0.29795,0.29658,0.317639,3,PTC,Other,10,207
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CDV3,4,0.85166,0.85118,NA,1761,0,0.5101,0.65684,NA,1351,2,0.12843,0.65684,1,2,NTC,Other,10,208
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CDV3,4,0.036173,0.097228,NA,273,2,0.42876,0.5814,NA,1112,2,0.076613,0.5814,1,2,PTC,Other,10,208
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CEBPZ,3,0.70172,0.70712,NA,1481,1,0.82362,0.82428,NA,1691,0,-0.063539,0.70712,1,1,NTC,Other,10,209
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CEBPZ,4,0.99254,0.9926,NA,2095,0,0.0074621,0.025321,0.087867,144,4,0.99098,0.025321,0.087867,4,PTC,Other,10,209
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF1,4,0.58357,0.67256,NA,1333,1,0.1264,0.26073,0.303466,606,3,0.61279,0.26073,0.303466,3,NTC,Other,10,210
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF1,4,0.82684,0.82889,NA,1687,1,0.014274,0.046685,0.12391,187,3,1.181,0.046685,0.12391,3,PTC,Other,10,210
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF2,4,0.9342,0.93424,NA,1975,0,0.090777,0.20093,0.276299,495,3,0.70431,0.20093,0.276299,3,NTC,Other,10,211
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF2,4,0.071149,0.1632,NA,397,2,0.10049,0.21744,NA,474,2,-0.0029656,0.1632,1,2,PTC,Other,10,211
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF3,4,0.1603,0.311,NA,677,1,0.023428,0.073911,NA,195,2,0.96239,0.073911,1,2,NTC,Other,10,212
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF3,4,0.096737,0.20967,NA,479,2,0.40998,0.56362,NA,1069,1,-0.59927,0.20967,1,2,PTC,Other,10,212
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF4,4,0.70251,0.73501,NA,1484,1,0.13029,0.26723,NA,622,1,-0.016202,0.73501,1,1,NTC,Other,10,213
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF4,4,0.72124,0.75244,NA,1521,1,0.02612,0.079111,0.172706,239,3,1.0066,0.079111,0.172706,3,PTC,Other,10,213
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF5,4,0.11477,0.24044,NA,534,1,0.86484,0.86449,NA,1789,0,-0.11277,0.24044,1,1,NTC,Other,10,214
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF5,4,0.061937,0.14621,NA,361,2,0.58022,0.68771,NA,1330,1,-0.427,0.14621,1,2,PTC,Other,10,214
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CELF6,4,0.76281,0.77494,NA,1570,1,0.063537,0.15217,0.253009,384,3,0.80508,0.15217,0.253009,3,NTC,Other,10,215
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CELF6,4,0.0034553,0.012444,0.088193,62,3,0.93288,0.93359,NA,1929,0,-0.77819,0.012444,0.088193,3,PTC,Other,10,215
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CEP43,3,0.080309,0.16191,NA,420,1,0.20426,0.32299,NA,803,2,0.48452,0.32299,1,2,NTC,Other,10,216
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CEP43,3,0.019421,0.049697,0.144961,202,3,0.95865,0.95862,NA,2009,0,-0.36374,0.049697,0.144961,3,PTC,Other,10,216
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CFAP20,4,0.0054635,0.018926,0.086692,92,4,0.99454,0.99468,NA,2133,0,-1.4125,0.018926,0.086692,4,NTC,Other,10,217
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CFAP20,4,0.14618,0.29387,NA,644,2,0.31568,0.4726,NA,906,1,-0.62444,0.29387,1,2,PTC,Other,10,217
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CFAP65,4,0.21375,0.36369,NA,764,2,0.69711,0.74211,NA,1511,1,-0.12291,0.36369,1,2,NTC,Other,10,218
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CFAP65,4,0.41925,0.57057,NA,1122,1,0.18191,0.34387,NA,682,2,0.20349,0.34387,1,2,PTC,Other,10,218
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CFL1,3,0.49348,0.55545,NA,1252,1,0.82024,0.82088,NA,1687,0,-0.044374,0.55545,1,1,NTC,Other,10,219
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CFL1,4,0.48097,0.63103,NA,1241,2,0.25024,0.40943,NA,803,2,0.095273,0.40943,1,2,PTC,Other,10,219
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CGN,4,0.97398,0.9744,NA,2100,0,0.13846,0.2807,0.311151,643,3,0.48389,0.2807,0.311151,3,NTC,Other,10,220
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CGN,4,0.95433,0.95464,NA,1981,0,0.15663,0.31143,0.321093,635,3,0.48888,0.31143,0.321093,3,PTC,Other,10,220
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHCHD1,4,0.059263,0.14186000000000001,NA,345,1,0.35537,0.50882,NA,1095,2,0.20445,0.50882,1,2,NTC,Other,10,221
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHCHD1,4,0.13862,0.28147,NA,612,2,0.12454,0.2586,NA,549,2,0.058186,0.2586,1,2,PTC,Other,10,221
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHCHD3,4,0.128,0.26264,0.288557,578,3,0.9044,0.90468,NA,1878,0,-0.6018,0.26264,0.288557,3,NTC,Other,10,222
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHCHD3,4,0.35406,0.50642,NA,1005,2,0.4754,0.62593,NA,1187,1,-0.23681,0.50642,1,2,PTC,Other,10,222
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHD2,4,0.15564,0.30616,NA,663,2,0.85087,0.85083,NA,1750,1,-0.52539,0.30616,1,2,NTC,Other,10,223
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHD2,4,0.017094,0.054893,0.145917,191,3,0.89773,0.89885,NA,1837,0,-0.84558,0.054893,0.145917,3,PTC,Other,10,223
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHD3,4,0.97486,0.97532,NA,2101,0,0.081197,0.18413,0.2707,450,3,0.67671,0.18413,0.2707,3,NTC,Other,10,224
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHD3,4,0.94846,0.94901,NA,1967,0,0.5042,0.65351,NA,1241,2,0.18774,0.65351,1,2,PTC,Other,10,224
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHERP,4,0.0048569,0.016933,0.086692,82,3,0.97801,0.97835,NA,2063,0,-1.8908,0.016933,0.086692,3,NTC,Other,10,225
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHERP,4,5.7977e-4,0.002276,0.050311,20,4,0.99942,0.99955,NA,2174,0,-1.1347,0.002276,0.050311,4,PTC,Other,10,225
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHGA,4,0.10780000000000001,0.22861,NA,510,1,0.02822,0.084269,0.212454,217,3,1.1825,0.084269,0.212454,3,NTC,Other,10,226
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHGA,4,0.084309,0.1873,NA,442,2,0.38244,0.5374,NA,1014,2,-0.31844,0.1873,1,2,PTC,Other,10,226
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHMP2A,4,0.41428,0.56214,NA,1111,2,0.72754,0.75934,NA,1548,1,-0.39368,0.56214,1,2,NTC,Other,10,227
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHMP2A,4,0.084592,0.18782,0.258038,444,3,0.84729,0.84846,NA,1723,1,-0.36828,0.18782,0.258038,3,PTC,Other,10,227
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHMP4B,4,0.44552,0.59322,NA,1175,2,0.85313,0.85297,NA,1756,1,-0.2001,0.59322,1,2,NTC,Other,10,228
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHMP4B,4,0.018307,0.058493,0.151667,195,4,0.98169,0.98181,NA,2077,0,-0.62425,0.058493,0.151667,4,PTC,Other,10,228
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CHTOP,4,0.89314,0.89351,NA,1872,0,0.34262,0.49676,NA,1068,2,0.36401,0.49676,1,2,NTC,Other,10,229
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CHTOP,4,0.0084138,0.028428,0.11117,118,3,0.9723,0.97232,NA,2049,0,-0.95232000000000006,0.028428,0.11117,3,PTC,Other,10,229
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CIAO1,4,0.56068,0.66207,NA,1303,1,0.028549,0.084885,0.212454,219,3,1.0323,0.084885,0.212454,3,NTC,Other,10,230
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CIAO1,4,0.084445,0.18756,NA,443,2,0.36771,0.52308,NA,988,2,-0.19643,0.18756,1,2,PTC,Other,10,230
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CILK1,3,0.094068,0.17993,NA,468,1,0.28586,0.42151,NA,956,2,0.32098,0.42151,1,2,NTC,Other,10,231
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CILK1,4,0.16927,0.32338,NA,700,2,0.78103,0.79591,NA,1575,1,-0.35437,0.32338,1,2,PTC,Other,10,231
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CIRBP,4,0.54402,0.65449,NA,1290,1,0.34227,0.49637,NA,1067,2,0.12082,0.49637,1,2,NTC,Other,10,232
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CIRBP,4,0.064297000000000007,0.15074,0.238005,369,3,0.75208,0.7771,NA,1532,1,-0.61368,0.15074,0.238005,3,PTC,Other,10,232
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CISD1,4,0.72844,0.75106,NA,1520,1,0.43549,0.58573,NA,1237,2,0.20265,0.58573,1,2,NTC,Other,10,233
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CISD1,4,0.57369,0.6746,NA,1323,1,0.9066,0.9076,NA,1861,0,-0.13509,0.6746,1,1,PTC,Other,10,233
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CISD2,3,0.90327,0.90404,NA,1896,0,0.079148,0.16618,NA,444,2,1.188,0.16618,1,2,NTC,Other,10,234
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CISD2,4,0.64935,0.71133,NA,1411,1,0.48556,0.63563,NA,1205,1,-0.07794,0.71133,1,1,PTC,Other,10,234
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CKAP4,4,0.94946,0.94962,NA,2029,0,0.15312,0.30476,0.321652,692,3,0.34686,0.30476,0.321652,3,NTC,Other,10,235
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CKAP4,4,0.9692,0.96913,NA,2018,0,0.11236,0.23778,0.28722,513,3,0.51523,0.23778,0.28722,3,PTC,Other,10,235
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLASP2,3,0.39758,0.49919,NA,1084,1,0.058897,0.13869,NA,369,1,-0.15594,0.49919,1,1,NTC,Other,10,236
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLASP2,4,1.6539e-4,6.7713e-4,0.021876,13,3,0.93989,0.94037,NA,1946,0,-2.1513,6.7713e-4,0.021876,3,PTC,Other,10,236
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLASRP,4,0.013376,0.043687,0.121904,165,3,0.86431,0.86394,NA,1788,1,-1.2973,0.043687,0.121904,3,NTC,Other,10,237
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLASRP,4,0.14869,0.29807,0.307344,655,3,0.89922,0.90031,NA,1844,0,-0.37005,0.29807,0.307344,3,PTC,Other,10,237
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLK1,4,0.35331,0.5017,NA,1010,1,0.65702,0.72128,NA,1471,1,-0.055178,0.5017,1,1,NTC,Other,10,238
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLK1,4,0.0061377,0.021091,NA,92,2,0.69183,0.74179,NA,1449,1,-0.51969,0.021091,1,2,PTC,Other,10,238
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLK2,4,0.034031,0.092884,NA,252,2,0.39779,0.54953,NA,1158,2,-0.12569,0.092884,1,2,NTC,Other,10,239
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLK2,4,0.26541,0.41853,NA,853,1,0.32846,0.48469,NA,928,2,0.15524,0.48469,1,2,PTC,Other,10,239
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLK3,4,0.94056,0.9407,NA,1998,0,0.0022021,0.0080689,0.192498,17,3,1.5141,0.0080689,0.192498,3,NTC,Other,10,240
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLK3,4,0.89889,0.90001,NA,1839,0,0.033294,0.09364,NA,261,2,0.58901,0.09364,1,2,PTC,Other,10,240
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLK4,4,0.82974,0.82927,NA,1695,1,0.49559,0.64258,NA,1331,2,0.086443,0.64258,1,2,NTC,Other,10,241
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLK4,4,0.94587,0.94642,NA,1959,0,0.071573,0.16533,NA,374,2,0.34934,0.16533,1,2,PTC,Other,10,241
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLNS1A,4,0.84753,0.84708,NA,1742,0,0.023079,0.072964,0.20107,193,3,1.2721,0.072964,0.20107,3,NTC,Other,10,242
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLNS1A,4,0.71156,0.74641,NA,1501,1,0.21724,0.37769,NA,747,2,0.35204,0.37769,1,2,PTC,Other,10,242
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLP1,4,0.23017,0.37982,NA,808,2,0.95834,0.95847,NA,2005,0,-0.35256,0.37982,1,2,NTC,Other,10,243
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLP1,4,0.03922,0.10303,0.198606,284,3,0.93692,0.93739,NA,1940,0,-1.3974,0.10303,0.198606,3,PTC,Other,10,243
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CLTC,4,0.010656,0.035326,NA,141,1,0.37309,0.52579,NA,1124,2,0.16646,0.52579,1,2,NTC,Other,10,244
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CLTC,4,0.99604,0.9961,NA,2115,0,0.0039551,0.014102,0.064288,108,4,0.72325,0.014102,0.064288,4,PTC,Other,10,244
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CMSS1,4,0.31869,0.46722,NA,954,1,0.15186,0.30267,0.321061,686,3,0.40653,0.30267,0.321061,3,NTC,Other,10,245
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CMSS1,4,0.016602,0.053498,0.144961,186,3,0.50734,0.65651,NA,1250,1,-0.66848,0.053498,0.144961,3,PTC,Other,10,245
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CMTR1,4,0.95429,0.95459,NA,2045,0,0.084141,0.18917,0.271416,462,3,0.84892,0.18917,0.271416,3,NTC,Other,10,246
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CMTR1,4,0.79218,0.80071,NA,1618,1,0.086319,0.19219,NA,414,2,0.34749,0.19219,1,2,PTC,Other,10,246
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CMTR2,4,0.13902,0.2813,NA,620,2,0.094861,0.20807,NA,504,2,0.18363,0.20807,1,2,NTC,Other,10,247
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CMTR2,4,0.99191,0.99204,NA,2093,0,0.00809,0.0274,0.091533,148,4,0.59677,0.0274,0.091533,4,PTC,Other,10,247
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CNBP,4,0.42927,0.57729,NA,1147,1,0.22356,0.38362,NA,840,2,0.46916,0.38362,1,2,NTC,Other,10,248
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CNBP,4,0.30275,0.45562,NA,920,1,0.069027,0.16071,0.250772,365,3,0.5371,0.16071,0.250772,3,PTC,Other,10,248
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CNDP2,4,0.76602,0.77717,NA,1576,1,0.33969,0.49375,NA,1060,2,-0.044171,0.77717,1,1,NTC,Other,10,249
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CNDP2,4,0.013904,0.045576,0.141574,162,4,0.9861,0.98612,NA,2095,0,-0.45035,0.045576,0.141574,4,PTC,Other,10,249
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CNN1,4,0.39652,0.54471,NA,1080,2,0.035421,0.098713,NA,253,1,-0.29838,0.54471,1,2,NTC,Other,10,250
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,CNN1,4,0.015748,0.05102,NA,175,2,0.94111,0.94164,NA,1951,0,-0.6562,0.05102,1,2,PTC,Other,10,250
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,CNN2,4,0.12083,0.25065,NA,553,2,0.4,0.5517,NA,1166,1,-0.25254,0.25065,1,2,NTC,Other,10,251
