day,file,sgrna,channel,value
2,266,Background,EYFP,31.19
2,266,Background,EYFP,39.32
2,266,Background,EYFP,10.21
2,266,Background,EYFP,28.74
2,266,Background,EYFP,29.43
2,266,Background,EYFP,24.95
2,266,Background,EYFP,31.51
2,266,Background,EYFP,61.2
2,266,Background,EYFP,47.08
2,266,Background,EYFP,32.64
2,266,Background,EYFP,4.91
2,266,Background,EYFP,20.54
2,266,Background,EYFP,38.63
2,266,Background,EYFP,33.65
2,266,Background,EYFP,12.67
2,266,Background,EYFP,53.63
2,266,Background,EYFP,9.01
2,266,Background,EYFP,25.33
2,266,Background,EYFP,11.53
2,266,Background,EYFP,25.96
2,266,Background,EYFP,63.59
2,266,Background,EYFP,25.46
2,266,Background,EYFP,23.57
2,266,Background,EYFP,11.28
2,266,Background,EYFP,48.9
2,266,Background,EYFP,24.2
2,266,Background,EYFP,35.54
2,266,Background,EYFP,1.26
2,266,Background,EYFP,18.21
2,266,Background,EYFP,8.38
2,266,Background,EYFP,8.51
2,266,Background,EYFP,9.01
2,266,Background,EYFP,57.22
2,266,Background,EYFP,25.21
2,266,Background,EYFP,1.26
2,266,Background,EYFP,29.93
2,266,Background,EYFP,36.17
2,266,Background,EYFP,12.48
2,266,Background,EYFP,15.69
2,266,Background,EYFP,13.36
2,266,Background,EYFP,20.54
2,266,Background,EYFP,45
2,266,Background,EYFP,72.83
2,266,Background,EYFP,99.16
2,266,Background,EYFP,25.52
2,266,Background,EYFP,42.03
2,266,Background,EYFP,24.45
2,266,Background,EYFP,142.8
2,266,Background,EYFP,75.82
2,266,Background,EYFP,22.31
2,266,Background,EYFP,17.33
2,266,Background,EYFP,25.27
2,266,Background,EYFP,38.88
2,266,Background,EYFP,21.61
2,266,Background,EYFP,4.6
2,266,Background,EYFP,40.96
2,266,Background,EYFP,13.17
2,266,Background,EYFP,27.85
2,266,Background,EYFP,13.8
2,266,Background,EYFP,44.87
2,266,Background,EYFP,26.47
2,266,Background,EYFP,17.27
2,266,Background,EYFP,36.55
2,266,Background,EYFP,9.33
2,266,Background,EYFP,21.11
2,266,Background,EYFP,122.66
2,266,Background,EYFP,39.64
2,266,Background,EYFP,31.13
