FlowCell Text Data File: 227l16.csv
Software Version: 1.56A
Date: 2024-02-23
Time: 17:06:25
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
846777, 344080, 1778, 0.00, 0.423924, , 
776346, 344326, 4101, 0.15, 0.620958, , 
692386, 344006, 3599, 0.25, 0.876438, , 
899428, 344135, 3391, 0.35, 0.288533, , 
510762, 344063, 7880, 0.45, 1.561483, , 
207061, 344075, 7831, 0.55, 3.593458, , 
202966, 344061, 7804, 0.65, 3.638319, , 
194611, 344245, 7999, 0.75, 3.734121, , 
189062, 344101, 8236, 0.84, 3.798279, , 
183403, 344283, 8465, 0.95, 3.867858, , 
178403, 344338, 8634, 1.05, 3.930421, , 
174965, 344336, 8762, 1.14, 3.974200, , 
170683, 344082, 9001, 1.25, 4.028300, , 
165602, 344216, 9290, 1.35, 4.097186, , 
159954, 344049, 9651, 1.44, 4.174186, , 
154733, 344136, 9992, 1.54, 4.249437, , 
150220, 344104, 10497, 1.64, 4.315841, , 
142257, 344199, 11141, 1.74, 4.439033, , 
135335, 344234, 11749, 1.84, 4.551518, , 
129065, 344293, 12517, 1.94, 4.658658, , 
121999, 344055, 13296, 2.04, 4.783809, , 
115738, 344142, 14110, 2.14, 4.902939, , 
110418, 344013, 14991, 2.24, 5.007992, , 
105752, 344351, 15813, 2.34, 5.107368, , 
101597, 343982, 16691, 2.44, 5.195158, , 
98442, 344209, 17601, 2.54, 5.267636, , 
95859, 344206, 18413, 2.64, 5.327454, , 
93905, 343952, 19272, 2.74, 5.372140, , 
92917, 344303, 19994, 2.84, 5.398238, , 
92255, 344122, 20708, 2.94, 5.413146, , 
92284, 344094, 21364, 3.04, 5.412255, , 
92769, 344160, 22077, 3.14, 5.400891, , 
94165, 344408, 22680, 3.24, 5.368899, , 
95648, 344064, 23171, 3.34, 5.331484, , 
97825, 344077, 23571, 3.44, 5.280922, , 
100415, 344405, 24011, 3.54, 5.224260, , 
103313, 344145, 24291, 3.64, 5.158532, , 
106548, 344385, 24481, 3.74, 5.090714, , 
110549, 344116, 24660, 3.83, 5.005997, , 
114536, 344282, 24713, 3.94, 4.927349, , 
118795, 344450, 24802, 4.04, 4.846283, , 
123727, 344162, 24772, 4.14, 4.752857, , 
128678, 344041, 24770, 4.24, 4.663768, , 
134828, 344006, 24697, 4.34, 4.558474, , 
141636, 344213, 24581, 4.43, 4.448970, , 
149070, 344129, 24363, 4.54, 4.333299, , 
156340, 344130, 24060, 4.63, 4.226146, , 
165710, 344172, 23695, 4.73, 4.095431, , 
174317, 344206, 23275, 4.83, 3.981700, , 
183940, 344232, 22774, 4.93, 3.860945, , 
196152, 344124, 22197, 5.03, 3.715580, , 
207068, 344116, 21641, 5.13, 3.593650, , 
219159, 344236, 20998, 5.23, 3.466722, , 
231536, 344097, 20296, 5.33, 3.342179, , 
245280, 343742, 19519, 5.43, 3.210085, , 
259731, 344073, 18733, 5.53, 3.083422, , 
