FlowCell Text Data File: 227l3.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 16:52:43
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
817114, 341690, 1737, 0.00, 0.488485, , 
769338, 341693, 3855, 0.18, 0.624090, , 
886046, 341788, 2266, 0.28, 0.306867, , 
820343, 341720, 3289, 0.38, 0.479807, , 
863984, 341612, 2024, 0.48, 0.362452, , 
837928, 341531, 4589, 0.58, 0.430831, , 
548803, 341895, 2351, 0.68, 1.385596, , 
817335, 341676, 1967, 0.78, 0.487784, , 
781679, 341725, 3406, 0.88, 0.588487, , 
683718, 341877, 3595, 0.98, 0.890818, , 
726088, 341942, 3877, 1.08, 0.755937, , 
723154, 341551, 3850, 1.18, 0.762475, , 
740160, 341910, 2638, 1.28, 0.712529, , 
421964, 341956, 26286, 1.38, 1.977456, , 
164956, 341412, 31667, 1.48, 4.087575, , 
163774, 341970, 31703, 1.58, 4.107434, , 
162331, 342074, 31926, 1.68, 4.128034, , 
160224, 341751, 32074, 1.77, 4.155309, , 
158864, 341709, 32414, 1.88, 4.174216, , 
158123, 341592, 32435, 1.98, 4.183967, , 
157826, 342005, 32637, 2.08, 4.190917, , 
155888, 341797, 33336, 2.18, 4.217353, , 
156281, 341713, 33251, 2.28, 4.211133, , 
156003, 341546, 33523, 2.37, 4.214040, , 
155930, 341502, 33921, 2.47, 4.214804, , 
155961, 341817, 34389, 2.58, 4.216431, , 
156212, 341881, 34832, 2.68, 4.213233, , 
154237, 341805, 35347, 2.77, 4.241367, , 
157287, 341804, 36004, 2.87, 4.197293, , 
158422, 341907, 36856, 2.97, 4.181790, , 
