FlowCell Text Data File: 227l12.csv
Software Version: 1.56A
Date: 2024-02-23
Time: 17:14:15
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
846559, 344695, 1494, 0.00, 0.428522, , 
827323, 344351, 2111, 0.17, 0.478000, , 
464059, 344528, 6264, 0.27, 1.780321, , 
196639, 344639, 6995, 0.37, 3.713365, , 
188299, 344660, 6915, 0.47, 3.811033, , 
182086, 344529, 7024, 0.57, 3.885684, , 
176008, 344628, 7141, 0.66, 3.962732, , 
170812, 344585, 7288, 0.77, 4.029887, , 
166814, 344649, 7513, 0.86, 4.083605, , 
161378, 344473, 7748, 0.97, 4.157012, , 
157323, 344618, 7938, 1.06, 4.215229, , 
154152, 344426, 8145, 1.16, 4.259798, , 
150805, 344581, 8434, 1.26, 4.310211, , 
148111, 344595, 8713, 1.37, 4.350868, , 
145078, 344545, 9133, 1.46, 4.397104, , 
141220, 344537, 9649, 1.57, 4.457707, , 
137672, 344613, 10267, 1.66, 4.515465, , 
134081, 344559, 10936, 1.76, 4.574592, , 
130985, 344398, 11555, 1.86, 4.626113, , 
128869, 344599, 12201, 1.96, 4.664078, , 
126781, 344658, 12834, 2.06, 4.701224, , 
125693, 344699, 13514, 2.16, 4.720888, , 
124340, 344308, 14247, 2.26, 4.742689, , 
124094, 344387, 14893, 2.36, 4.747662, , 
123952, 344361, 15603, 2.46, 4.750069, , 
124452, 344377, 16338, 2.56, 4.741114, , 
125574, 344223, 17060, 2.66, 4.719910, , 
127380, 344608, 17745, 2.76, 4.690290, , 
129961, 344590, 18332, 2.86, 4.645030, , 
133255, 344700, 18925, 2.96, 4.589419, , 
136850, 344580, 19449, 3.06, 4.528727, , 
141198, 344797, 19953, 3.16, 4.459755, , 
146661, 344570, 20331, 3.26, 4.372845, , 
152115, 344542, 20622, 3.36, 4.290492, , 
158199, 344413, 20869, 3.46, 4.201394, , 
165613, 344431, 21093, 3.56, 4.098442, , 
