FlowCell Text Data File: 227l13.csv
Software Version: 1.56A
Date: 2024-02-23
Time: 17:29:54
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
835252, 342549, 1683, 0.00, 0.444728, , 
496033, 342363, 5963, 0.17, 1.616187, , 
590252, 342170, 6766, 0.27, 1.223551, , 
650532, 342494, 5125, 0.37, 1.006847, , 
478260, 342356, 9163, 0.47, 1.698255, , 
175028, 342366, 10206, 0.57, 3.960477, , 
167986, 342437, 10316, 0.67, 4.053359, , 
163597, 342296, 10407, 0.77, 4.112011, , 
159744, 342461, 10598, 0.87, 4.166732, , 
155688, 342375, 10810, 0.97, 4.224044, , 
151378, 342239, 11057, 1.07, 4.286329, , 
147627, 342298, 11311, 1.17, 4.343183, , 
144466, 342408, 11585, 1.27, 4.392616, , 
140583, 342369, 11987, 1.37, 4.453675, , 
135523, 342111, 12589, 1.47, 4.534472, , 
129673, 342257, 13319, 1.57, 4.634734, , 
123022, 342173, 14190, 1.67, 4.752673, , 
116445, 342295, 15124, 1.77, 4.877124, , 
111256, 342294, 16053, 1.87, 4.979704, , 
105868, 342320, 17090, 1.96, 5.091588, , 
101615, 342348, 18126, 2.07, 5.184044, , 
97606, 342459, 19165, 2.17, 5.275359, , 
94318, 342256, 20249, 2.26, 5.351140, , 
92206, 342154, 21203, 2.36, 5.401434, , 
90652, 342138, 22210, 2.47, 5.439580, , 
89495, 342346, 23195, 2.56, 5.469855, , 
88904, 342170, 24119, 2.66, 5.483608, , 
88954, 341992, 24960, 2.76, 5.481172, , 
89459, 342290, 25765, 2.86, 5.470392, , 
90618, 342183, 26443, 2.96, 5.440720, , 
92083, 342287, 27095, 3.06, 5.405313, , 
93765, 342141, 27771, 3.16, 5.363617, , 
96355, 342236, 28252, 3.26, 5.302923, , 
99205, 342228, 28681, 3.36, 5.237272, , 
102320, 342130, 29012, 3.46, 5.167051, , 
106141, 342436, 29318, 3.56, 5.086555, , 
110218, 342111, 29472, 3.66, 4.999595, , 
114478, 342041, 29585, 3.76, 4.913792, , 
119595, 342210, 29643, 3.86, 4.816496, , 
124757, 342190, 29647, 3.96, 4.721268, , 
131558, 342171, 29564, 4.06, 4.601690, , 
138907, 342084, 29420, 4.16, 4.478792, , 
146771, 342323, 29213, 4.26, 4.356434, , 
155331, 342463, 28888, 4.36, 4.229789, , 
164363, 342075, 28477, 4.46, 4.100045, , 
174659, 342276, 27928, 4.56, 3.964635, , 
184355, 342349, 27395, 4.66, 3.843529, , 
195701, 342192, 26707, 4.76, 3.708090, , 
209285, 341950, 25960, 4.86, 3.555474, , 
220992, 342325, 25222, 4.96, 3.435450, , 
235125, 342242, 24336, 5.05, 3.295398, , 
250695, 342332, 23453, 5.16, 3.151692, , 
264856, 342116, 22503, 5.26, 3.026612, , 
282609, 342108, 21512, 5.35, 2.880556, , 
299789, 342036, 20473, 5.45, 2.747274, , 
315529, 342342, 19475, 5.56, 2.634128, , 
335838, 342074, 18320, 5.65, 2.491987, , 
351740, 342220, 17365, 5.75, 2.388834, , 
372774, 342135, 16289, 5.85, 2.257570, , 
392253, 342173, 15313, 5.95, 2.143195, , 
413105, 342463, 14265, 6.05, 2.028540, , 
431299, 342320, 13399, 6.15, 1.930607, , 
447833, 342192, 12472, 6.25, 1.845107, , 
467986, 342332, 11539, 6.35, 1.746968, , 
490709, 342170, 10534, 6.45, 1.639203, , 
506317, 342075, 9847, 6.55, 1.568113, 1, 0.924
522407, 341891, 9015, 6.65, 1.496500, , 
540819, 342043, 8304, 6.75, 1.419550, , 
559031, 342201, 7626, 6.85, 1.346054, , 
576951, 342205, 6990, 6.95, 1.275074, , 
590443, 342097, 6439, 7.05, 1.222343, , 
603404, 342189, 5920, 7.15, 1.174083, , 
616098, 342146, 5436, 7.25, 1.126948, , 
629358, 342094, 5006, 7.35, 1.078684, , 
644935, 342109, 4575, 7.45, 1.023762, , 
657022, 342051, 4234, 7.55, 0.981594, , 
669898, 342003, 3868, 7.65, 0.937602, , 
683999, 342100, 3577, 7.75, 0.891361, , 
693486, 342138, 3301, 7.85, 0.860612, , 
705530, 342054, 3052, 7.95, 0.821311, , 
715261, 341977, 2856, 8.05, 0.789978, , 
726828, 342311, 2617, 8.15, 0.756072, , 
736809, 342105, 2445, 8.25, 0.724024, , 
746928, 342235, 2262, 8.35, 0.694183, , 
755509, 342011, 2106, 8.44, 0.667003, , 
764717, 342107, 1961, 8.54, 0.640373, , 
773492, 342272, 1847, 8.65, 0.615781, , 
781593, 342147, 1710, 8.74, 0.591512, , 
790218, 342004, 1615, 8.84, 0.565874, , 
798245, 342373, 1519, 8.94, 0.545556, , 
803976, 342225, 1439, 9.04, 0.528484, , 
810332, 342261, 1359, 9.14, 0.510999, , 
819526, 342163, 1269, 9.24, 0.484965, , 
825219, 342272, 1194, 9.34, 0.470103, , 
830814, 342042, 1143, 9.44, 0.453384, , 
836498, 342214, 1083, 9.54, 0.439171, , 
842857, 342273, 1028, 9.64, 0.422516, , 
847287, 342061, 964, 9.74, 0.409325, , 
852289, 341997, 920, 9.84, 0.395657, , 
856719, 342206, 889, 9.94, 0.385365, , 
859770, 341808, 842, 10.04, 0.374746, , 
864215, 342154, 818, 10.14, 0.365418, , 
868916, 342140, 770, 10.24, 0.353118, , 
872489, 342234, 743, 10.34, 0.344501, , 
876145, 342076, 708, 10.44, 0.334051, , 
880066, 342009, 671, 10.54, 0.323562, , 
883153, 342188, 658, 10.64, 0.316859, , 
887678, 342291, 619, 10.74, 0.306035, , 
888702, 341800, 611, 10.84, 0.300210, , 
891482, 341995, 587, 10.94, 0.294465, , 
895175, 342098, 563, 11.04, 0.285840, , 
897284, 342141, 557, 11.14, 0.280827, , 
898397, 342012, 530, 11.23, 0.277188, , 
901592, 342054, 517, 11.34, 0.269476, , 
902025, 341975, 501, 11.44, 0.267875, , 
906271, 342068, 478, 11.53, 0.257919, , 
908318, 341929, 464, 11.63, 0.251927, , 
911044, 342092, 456, 11.74, 0.246256, , 
912139, 342072, 442, 11.83, 0.243421, , 
913414, 342150, 439, 11.93, 0.240790, , 
915631, 341930, 419, 12.04, 0.233887, , 
918035, 342029, 408, 12.13, 0.228638, , 
920281, 342252, 391, 12.23, 0.224606, , 
921498, 342078, 382, 12.33, 0.220487, , 
923986, 342187, 370, 12.43, 0.215136, , 
925561, 342086, 367, 12.53, 0.210639, , 
927426, 342140, 349, 12.63, 0.206464, , 
927876, 342184, 357, 12.73, 0.205662, , 
929295, 342195, 348, 12.83, 0.202296, , 
930130, 342165, 336, 12.93, 0.200077, , 
931712, 342130, 323, 13.03, 0.196023, , 
932981, 342142, 317, 13.13, 0.193038, 2, 0.938
934436, 342118, 313, 13.23, 0.189374, , 
935733, 342038, 295, 13.33, 0.185726, , 
937412, 342183, 294, 13.43, 0.182645, , 
937667, 341998, 290, 13.53, 0.180816, , 
939013, 342017, 285, 13.63, 0.177713, , 
939045, 342030, 287, 13.73, 0.177722, , 
940390, 342088, 272, 13.83, 0.174883, , 
941350, 342253, 273, 13.93, 0.173672, , 
941113, 342128, 272, 14.03, 0.173416, , 
942757, 342274, 256, 14.13, 0.170449, , 
943626, 342229, 243, 14.23, 0.168079, , 
943679, 341996, 237, 14.32, 0.166420, , 
945044, 341824, 236, 14.43, 0.162035, , 
945490, 341884, 231, 14.53, 0.161368, , 
946226, 342017, 234, 14.63, 0.160493, , 
946678, 342144, 227, 14.72, 0.160253, , 
946764, 342104, 224, 14.83, 0.159786, , 
947702, 341981, 225, 14.92, 0.156748, , 
947903, 342065, 220, 15.02, 0.156823, , 
947457, 341814, 213, 15.12, 0.156231, , 
948893, 342123, 207, 15.23, 0.154856, , 
949762, 341918, 209, 15.32, 0.151447, , 
950487, 342085, 191, 15.42, 0.150829, , 
951003, 342275, 200, 15.52, 0.150857, , 
950986, 342180, 195, 15.62, 0.150272, , 
950958, 342091, 188, 15.72, 0.149753, , 
950045, 341755, 199, 15.82, 0.149703, , 
952012, 342410, 189, 15.92, 0.149358, , 
951747, 342038, 185, 16.02, 0.147538, , 
951264, 341844, 182, 16.12, 0.147404, , 
952572, 342197, 173, 16.22, 0.146634, , 
951967, 341936, 172, 16.32, 0.146347, , 
952491, 342034, 167, 16.42, 0.145753, , 
952518, 342036, 177, 16.52, 0.145703, , 
951988, 341996, 173, 16.62, 0.146692, , 
952290, 342178, 163, 16.72, 0.147176, , 
951989, 342108, 169, 16.82, 0.147427, , 
951098, 342078, 164, 16.92, 0.149336, , 
951265, 342091, 158, 17.02, 0.149027, , 
950715, 342068, 154, 17.12, 0.150177, , 
950456, 342142, 158, 17.22, 0.151277, , 
949381, 341979, 159, 17.32, 0.152751, , 
949801, 342145, 151, 17.41, 0.152848, , 
947995, 342156, 157, 17.52, 0.157204, , 
947021, 342286, 158, 17.62, 0.160372, , 
945217, 341968, 143, 17.71, 0.162571, , 
945584, 342284, 184, 17.81, 0.163776, , 
943255, 342224, 151, 17.92, 0.168931, , 
942438, 342198, 144, 18.01, 0.170710, , 
940794, 341910, 154, 18.11, 0.172745, , 
939909, 341805, 149, 18.21, 0.174172, , 
939685, 342143, 145, 18.31, 0.176932, , 
938026, 342064, 148, 18.41, 0.180389, , 
937157, 342168, 146, 18.51, 0.183159, , 
936131, 342100, 150, 18.61, 0.185177, , 
935449, 342206, 139, 18.71, 0.187514, , 
933732, 341834, 145, 18.81, 0.189201, , 
933915, 342170, 141, 18.91, 0.190971, , 
933739, 342030, 141, 19.01, 0.190474, , 
933653, 342123, 132, 19.11, 0.191293, , 
932994, 341923, 143, 19.21, 0.191566, , 
934053, 342186, 135, 19.31, 0.190744, , 
932713, 341961, 149, 19.41, 0.192494, , 
933429, 342063, 137, 19.51, 0.191438, , 
933716, 342091, 137, 19.61, 0.190931, 3, 0.924
933550, 341949, 145, 19.71, 0.190397, , 
