FlowCell Text Data File: 227l13.csv
Software Version: 1.56A
Date: 2024-02-23
Time: 17:29:54
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
934779, 342160, 131, 19.81, 0.188824, , 
935599, 342172, 139, 19.91, 0.186930, , 
935553, 341991, 131, 20.01, 0.185850, , 
937251, 342148, 124, 20.11, 0.182802, , 
937754, 342033, 128, 20.21, 0.180838, , 
938582, 342000, 130, 20.31, 0.178635, , 
938543, 341766, 130, 20.41, 0.177188, , 
940314, 342114, 134, 20.50, 0.175236, , 
940422, 341754, 132, 20.61, 0.172608, , 
942278, 342047, 123, 20.71, 0.170099, , 
942048, 341992, 125, 20.80, 0.170287, , 
944030, 342113, 130, 20.90, 0.166353, , 
945301, 341974, 123, 21.01, 0.162411, , 
946580, 342178, 125, 21.10, 0.160710, , 
947770, 341974, 121, 21.20, 0.156541, , 
947965, 341847, 131, 21.30, 0.155242, , 
948428, 342010, 126, 21.40, 0.155216, , 
949418, 342026, 123, 21.50, 0.152973, , 
949830, 341709, 122, 21.60, 0.149910, , 
950368, 341996, 120, 21.70, 0.150525, , 
951548, 341950, 117, 21.80, 0.147430, , 
954129, 342000, 110, 21.90, 0.141663, , 
954995, 342025, 114, 22.00, 0.139786, , 
953219, 341967, 120, 22.10, 0.143593, , 
955354, 342028, 112, 22.20, 0.138960, , 
956193, 342235, 116, 22.30, 0.138346, , 
955713, 342074, 106, 22.40, 0.138417, , 
956067, 341920, 115, 22.50, 0.136570, , 
955543, 341826, 107, 22.60, 0.137185, , 
958016, 341844, 104, 22.70, 0.131487, , 
957374, 341829, 114, 22.80, 0.132897, , 
957891, 342034, 111, 22.90, 0.133031, , 
959344, 342392, 106, 23.00, 0.131974, , 
958113, 341828, 106, 23.10, 0.131154, , 
959651, 342099, 106, 23.20, 0.129327, , 
959351, 342010, 96, 23.30, 0.129446, , 
959375, 341994, 111, 23.40, 0.129284, , 
959761, 342044, 110, 23.50, 0.128708, , 
958912, 341946, 101, 23.59, 0.130054, , 
959539, 342012, 106, 23.70, 0.129018, , 
960207, 342119, 102, 23.80, 0.128156, , 
961174, 342278, 98, 23.89, 0.126936, , 
960757, 341941, 98, 23.99, 0.125696, , 
961120, 342093, 97, 24.10, 0.125846, , 
960593, 341987, 100, 24.19, 0.126383, , 
961333, 342093, 95, 24.29, 0.125347, , 
961037, 342068, 105, 24.39, 0.125876, , 
961706, 342048, 94, 24.49, 0.124178, , 
961774, 342004, 99, 24.59, 0.123729, , 
961885, 341906, 95, 24.69, 0.122825, , 
962157, 341932, 96, 24.79, 0.122360, , 
961608, 341859, 104, 24.89, 0.123163, , 
961896, 342014, 104, 24.99, 0.123510, , 
962147, 341980, 97, 25.09, 0.122699, , 
963025, 341998, 101, 25.19, 0.120765, , 
963167, 342239, 90, 25.29, 0.122018, , 
962653, 342022, 109, 25.39, 0.121792, , 
962294, 342129, 79, 25.49, 0.123335, , 
962999, 342040, 92, 25.59, 0.121102, , 
963504, 342351, 99, 25.69, 0.121967, , 
962929, 342095, 97, 25.79, 0.121627, , 
962534, 341982, 98, 25.89, 0.121807, , 
962230, 341951, 90, 25.99, 0.122314, , 
961897, 342079, 87, 26.09, 0.123935, , 
960781, 341846, 96, 26.19, 0.125014, 4, 0.938
959854, 341875, 86, 26.29, 0.127377, , 
959109, 341871, 97, 26.39, 0.129098, , 
959379, 342106, 92, 26.49, 0.130011, , 
959273, 342375, 96, 26.59, 0.132029, , 
957277, 341885, 90, 26.68, 0.133493, , 
955656, 341653, 90, 26.79, 0.135780, , 
955585, 341912, 88, 26.89, 0.137652, , 
954738, 341861, 95, 26.98, 0.139312, , 
953280, 342024, 95, 27.08, 0.143824, , 
951004, 341775, 91, 27.19, 0.147565, , 
950365, 341961, 94, 27.28, 0.150302, , 
949832, 341971, 101, 27.38, 0.151630, , 
948088, 342170, 95, 27.48, 0.157075, , 
947127, 341973, 91, 27.58, 0.158061, , 
945626, 341915, 95, 27.68, 0.161249, , 
945161, 341980, 82, 27.78, 0.162783, , 
943383, 342022, 92, 27.88, 0.167297, , 
942931, 342045, 93, 27.98, 0.168527, , 
942019, 342258, 91, 28.08, 0.172106, , 
939565, 341756, 89, 28.18, 0.174673, , 
940622, 342243, 91, 28.28, 0.175347, , 
939449, 342022, 98, 28.38, 0.176701, , 
939272, 341909, 82, 28.48, 0.176382, , 
939342, 342021, 96, 28.58, 0.176951, , 
937892, 341710, 90, 28.68, 0.178380, , 
939322, 341989, 90, 28.78, 0.176789, , 
940717, 342099, 94, 28.88, 0.174173, , 
938021, 341799, 98, 28.98, 0.178657, , 
939456, 342244, 100, 29.08, 0.178145, , 
940448, 342216, 99, 29.18, 0.175586, , 
940629, 341955, 90, 29.28, 0.173436, , 
940558, 341980, 101, 29.38, 0.173770, , 
941781, 342073, 93, 29.48, 0.171458, , 
942647, 341909, 97, 29.58, 0.168310, , 
943589, 342138, 95, 29.68, 0.167569, , 
944251, 342290, 97, 29.77, 0.166990, , 
945274, 342148, 96, 29.88, 0.163620, , 
945118, 341957, 99, 29.98, 0.162735, , 
947045, 341928, 90, 30.07, 0.157960, , 
947537, 341943, 95, 30.17, 0.156890, , 
948803, 341945, 97, 30.28, 0.153898, , 
948446, 342004, 101, 30.37, 0.155133, , 
949616, 341879, 91, 30.47, 0.151536, , 
949975, 341837, 104, 30.57, 0.150409, , 
949582, 341821, 89, 30.67, 0.151235, , 
952345, 341910, 93, 30.77, 0.145282, , 
952170, 341965, 97, 30.87, 0.146058, , 
952935, 342305, 92, 30.97, 0.146487, , 
951818, 341976, 99, 31.07, 0.146962, , 
953388, 342237, 98, 31.17, 0.144970, , 
952037, 341957, 101, 31.27, 0.146320, , 
952483, 342092, 96, 31.37, 0.146154, , 
951693, 341987, 99, 31.47, 0.147330, , 
953062, 342042, 89, 31.57, 0.144457, , 
951698, 341959, 95, 31.67, 0.147134, , 
952267, 341975, 104, 31.77, 0.145894, , 
951186, 342033, 90, 31.87, 0.148832, , 
950775, 342029, 95, 31.97, 0.149778, , 
949744, 341786, 92, 32.07, 0.150621, , 
948303, 341848, 97, 32.17, 0.154446, , 
945546, 341989, 94, 32.27, 0.161926, , 
942665, 342035, 95, 32.37, 0.169096, , 
937978, 342087, 103, 32.47, 0.180656, , 
931310, 341986, 95, 32.57, 0.196046, , 
923674, 341730, 99, 32.66, 0.212889, 5, 0.924
914824, 341749, 95, 32.77, 0.234680, , 
902583, 341805, 100, 32.87, 0.265365, , 
890135, 341835, 101, 32.96, 0.296815, , 
870717, 341640, 96, 33.06, 0.345167, , 
855070, 341929, 98, 33.17, 0.387878, , 
834087, 341888, 91, 33.26, 0.443522, , 
815879, 341780, 99, 33.36, 0.492482, , 
798120, 341787, 106, 33.47, 0.542053, , 
778025, 342099, 98, 33.56, 0.601494, , 
744476, 341992, 109, 33.66, 0.699984, , 
720242, 341946, 108, 33.76, 0.774156, , 
702869, 341955, 110, 33.86, 0.829164, , 
679897, 341984, 106, 33.96, 0.904135, , 
660761, 342091, 107, 34.06, 0.969087, , 
638443, 342037, 118, 34.16, 1.046056, , 
628089, 341896, 105, 34.26, 1.081924, , 
614076, 342006, 112, 34.36, 1.133425, , 
603277, 342091, 118, 34.46, 1.173912, , 
590408, 341754, 118, 34.56, 1.220219, , 
582719, 342043, 117, 34.66, 1.251622, , 
573290, 341795, 125, 34.76, 1.286701, , 
563557, 341889, 116, 34.86, 1.325855, , 
560981, 341825, 111, 34.96, 1.335744, , 
556204, 341683, 126, 35.06, 1.354054, , 
559448, 341988, 121, 35.16, 1.342975, , 
563843, 341904, 115, 35.26, 1.324812, , 
567835, 341833, 126, 35.36, 1.308468, , 
571823, 342060, 119, 35.46, 1.294212, , 
575886, 341772, 126, 35.56, 1.276383, , 
581566, 342080, 130, 35.66, 1.256322, , 
586929, 342036, 118, 35.75, 1.235375, , 
592926, 341959, 123, 35.86, 1.211991, , 
598197, 341895, 121, 35.96, 1.191652, , 
604983, 342054, 120, 36.05, 1.167313, , 
610475, 342088, 119, 36.16, 1.147200, , 
617917, 342172, 123, 36.26, 1.120484, , 
624536, 342042, 122, 36.35, 1.095651, , 
631152, 342054, 115, 36.45, 1.072015, , 
639665, 341926, 117, 36.56, 1.041022, , 
646967, 341981, 121, 36.65, 1.015840, , 
653695, 341767, 128, 36.75, 0.991149, , 
662579, 342152, 114, 36.85, 0.963305, , 
668980, 341818, 125, 36.95, 0.939470, , 
677153, 342142, 117, 37.05, 0.914275, , 
685017, 341872, 117, 37.15, 0.886514, , 
692973, 342073, 139, 37.25, 0.861850, , 
700544, 341991, 99, 37.35, 0.836857, , 
707638, 341756, 123, 37.45, 0.812636, , 
715941, 342011, 116, 37.55, 0.788063, , 
721654, 342003, 122, 37.65, 0.770124, , 
728407, 341933, 121, 37.75, 0.748702, , 
736200, 342056, 126, 37.85, 0.725563, , 
743046, 341965, 119, 37.95, 0.704134, , 
748239, 342051, 126, 38.05, 0.689026, , 
755479, 342065, 109, 38.15, 0.667448, , 
761660, 341903, 125, 38.25, 0.648044, , 
766885, 342029, 124, 38.35, 0.633488, , 
773313, 341866, 124, 38.45, 0.613631, , 
778532, 341889, 125, 38.55, 0.598646, , 
783621, 341828, 127, 38.65, 0.583582, , 
789714, 341805, 128, 38.74, 0.566000, , 
795172, 342010, 121, 38.85, 0.551849, , 
801872, 342095, 119, 38.95, 0.533526, , 
806124, 342036, 118, 39.05, 0.521236, , 
811445, 342027, 122, 39.14, 0.506371, , 
817134, 342130, 121, 39.25, 0.491326, 6, 0.938
820621, 342097, 123, 39.35, 0.481526, , 
825434, 342053, 126, 39.44, 0.468076, , 
828360, 341685, 120, 39.54, 0.457691, , 
832889, 341945, 123, 39.65, 0.447132, , 
837051, 342053, 121, 39.74, 0.436625, , 
841926, 341983, 122, 39.84, 0.423096, , 
843639, 342002, 124, 39.94, 0.418647, , 
849212, 341987, 117, 40.04, 0.403731, , 
850736, 341995, 117, 40.14, 0.399748, , 
854482, 341994, 127, 40.24, 0.389854, , 
858606, 342044, 119, 40.34, 0.379348, , 
861028, 342064, 126, 40.44, 0.373140, , 
861852, 342048, 119, 40.54, 0.370882, , 
863826, 341906, 131, 40.64, 0.364799, , 
868540, 341938, 129, 40.74, 0.352763, , 
872298, 341959, 121, 40.84, 0.343185, , 
873507, 342084, 118, 40.94, 0.340890, , 
875878, 342097, 125, 41.04, 0.334875, , 
880315, 341934, 125, 41.14, 0.322432, , 
881862, 342100, 123, 41.24, 0.319573, , 
884687, 342122, 128, 41.34, 0.312520, , 
887376, 341896, 122, 41.44, 0.304203, , 
888720, 342161, 126, 41.54, 0.302540, , 
889547, 341835, 125, 41.64, 0.298302, , 
894656, 341970, 122, 41.74, 0.286303, , 
895296, 341825, 123, 41.84, 0.283739, , 
897887, 342048, 129, 41.94, 0.278703, , 
899559, 341903, 128, 42.04, 0.273562, , 
901236, 341865, 124, 42.14, 0.269121, , 
901909, 342026, 135, 42.23, 0.268500, , 
904093, 341760, 123, 42.34, 0.261306, , 
905039, 341891, 132, 42.44, 0.259815, , 
905831, 341910, 124, 42.53, 0.257972, , 
908321, 341937, 129, 42.63, 0.251972, , 
908348, 341655, 124, 42.74, 0.250048, , 
910446, 341866, 135, 42.83, 0.246246, , 
911747, 341993, 130, 42.93, 0.243868, , 
912532, 342096, 136, 43.03, 0.242609, , 
912094, 341890, 133, 43.13, 0.242334, , 
914657, 341944, 140, 43.23, 0.236375, , 
914336, 341994, 129, 43.33, 0.237494, , 
914631, 341937, 129, 43.43, 0.236393, , 
913787, 341669, 146, 43.53, 0.236706, , 
918287, 342140, 140, 43.63, 0.228751, , 
916951, 341779, 140, 43.73, 0.229651, , 
917847, 342029, 141, 43.83, 0.229099, , 
919335, 342094, 136, 43.93, 0.225881, , 
919812, 341915, 142, 44.03, 0.223536, , 
920309, 341896, 140, 44.13, 0.222195, , 
922248, 342063, 144, 44.23, 0.218558, , 
921563, 341778, 136, 44.33, 0.218354, , 
922958, 341935, 146, 44.43, 0.215984, , 
923856, 341885, 137, 44.53, 0.213466, , 
925854, 342098, 146, 44.63, 0.210006, , 
925410, 341885, 144, 44.73, 0.209684, , 
926637, 341991, 142, 44.83, 0.207400, , 
927851, 342020, 133, 44.92, 0.204644, , 
927975, 342104, 150, 45.03, 0.204896, , 
928374, 342000, 138, 45.13, 0.203244, , 
928844, 341816, 147, 45.23, 0.200894, , 
929297, 341868, 149, 45.32, 0.200139, , 
929645, 341925, 147, 45.43, 0.199672, , 
930899, 342038, 143, 45.52, 0.197382, , 
930610, 341952, 153, 45.62, 0.197515, , 
931527, 341919, 142, 45.72, 0.195081, 7, 0.924
931463, 342146, 153, 45.82, 0.196729, , 
931243, 341931, 152, 45.92, 0.195846, , 
931541, 342042, 156, 46.02, 0.195857, , 
931689, 341867, 156, 46.13, 0.194347, , 
931280, 341990, 146, 46.22, 0.196145, , 
930316, 341672, 154, 46.32, 0.196382, , 
931545, 341865, 155, 46.42, 0.194682, , 
932455, 341666, 156, 46.52, 0.191174, , 
932634, 342031, 152, 46.62, 0.193145, , 
932410, 341936, 159, 46.72, 0.193061, , 
933422, 341971, 157, 46.82, 0.190850, , 
933414, 341901, 162, 46.92, 0.190409, , 
933088, 341681, 164, 47.02, 0.189746, , 
934599, 341912, 165, 47.12, 0.187626, , 
935193, 342164, 164, 47.22, 0.187854, , 
936485, 342365, 159, 47.32, 0.186069, , 
935874, 341774, 163, 47.42, 0.183649, , 
936610, 341740, 152, 47.52, 0.181656, , 
937590, 342034, 166, 47.62, 0.181238, , 
938562, 342020, 161, 47.72, 0.178814, , 
939645, 341968, 168, 47.82, 0.175877, , 
939240, 341929, 166, 47.92, 0.176590, , 
941080, 342003, 170, 48.01, 0.172673, , 
940894, 341714, 165, 48.12, 0.171215, , 
942358, 341915, 173, 48.22, 0.169040, , 
943920, 342098, 164, 48.31, 0.166517, , 
944854, 342061, 167, 48.41, 0.164048, , 
944397, 341745, 165, 48.52, 0.163056, , 
946343, 342023, 169, 48.62, 0.160254, , 
946601, 342042, 168, 48.71, 0.159765, , 
947555, 342030, 168, 48.81, 0.157420, , 
949668, 342234, 175, 48.92, 0.153749, , 
949761, 342025, 171, 49.01, 0.152154, , 
949420, 341767, 168, 49.11, 0.151263, , 
950422, 341969, 174, 49.21, 0.150219, , 
951763, 341865, 176, 49.31, 0.146362, , 
953649, 342091, 173, 49.41, 0.143394, , 
953766, 342042, 171, 49.51, 0.142796, , 
953794, 341846, 171, 49.61, 0.141440, , 
956622, 342247, 176, 49.71, 0.137415, , 
956712, 342207, 183, 49.81, 0.136940, , 
957345, 341985, 175, 49.91, 0.133992, , 
957976, 342003, 175, 50.01, 0.132627, , 
958893, 342194, 174, 50.11, 0.131731, , 
958934, 341911, 178, 50.21, 0.129772, , 
960363, 341891, 179, 50.31, 0.126290, , 
960940, 342014, 174, 50.41, 0.125747, , 
961914, 342143, 178, 50.51, 0.124316, , 
963318, 342173, 179, 50.61, 0.121231, , 
963606, 342053, 181, 50.71, 0.119769, , 
963740, 342083, 181, 50.81, 0.119654, , 
965073, 342113, 184, 50.91, 0.116740, , 
965568, 342099, 174, 51.01, 0.115494, , 
965597, 341959, 185, 51.10, 0.114506, , 
966991, 342109, 182, 51.21, 0.112246, , 
966564, 341846, 181, 51.31, 0.111509, , 
