FlowCell Text Data File: 227l2.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 17:35:49
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
799280, 342717, 2027, 0.00, 0.544900, , 
512550, 342560, 5495, 0.17, 1.543767, , 
858565, 342704, 3936, 0.27, 0.383794, , 
841714, 342800, 3645, 0.37, 0.429032, , 
820809, 342748, 3868, 0.47, 0.485289, , 
853963, 342784, 3303, 0.57, 0.396414, , 
327113, 342751, 5116, 0.66, 2.555675, , 
768975, 342817, 3319, 0.77, 0.632542, , 
923167, 342480, 1958, 0.86, 0.219058, , 
519852, 342654, 18830, 0.96, 1.512550, , 
181359, 342592, 30583, 1.07, 3.881999, , 
188744, 342691, 30220, 1.17, 3.792827, , 
188724, 342710, 30263, 1.27, 3.793190, , 
188869, 342683, 30305, 1.36, 3.791285, , 
189804, 342683, 30324, 1.46, 3.780171, , 
190595, 342687, 30403, 1.56, 3.770839, , 
191045, 342838, 30496, 1.66, 3.766523, , 
192268, 342673, 30509, 1.76, 3.751079, , 
193858, 342855, 30567, 1.86, 3.733740, , 
195505, 342580, 30625, 1.96, 3.712895, , 
197540, 342707, 30611, 2.06, 3.690426, , 
199027, 342737, 30604, 2.16, 3.673746, , 
201207, 342696, 30501, 2.26, 3.648961, , 
203796, 342837, 30306, 2.36, 3.621115, , 
211342, 342735, 30060, 2.46, 3.538623, , 
217625, 342759, 29809, 2.56, 3.472853, , 
227465, 342648, 29510, 2.66, 3.372603, , 
239866, 342631, 29111, 2.76, 3.253029, , 
254196, 342673, 28570, 2.86, 3.122723, , 
266319, 342622, 27896, 2.96, 3.017542, , 
281959, 342792, 27024, 3.06, 2.890233, , 
298332, 342634, 25919, 3.16, 2.762169, , 
314931, 342497, 24744, 3.26, 2.639415, , 
334059, 342596, 23432, 3.35, 2.507371, , 
348856, 342497, 22251, 3.46, 2.409183, , 
369942, 342507, 20704, 3.55, 2.277178, , 
383420, 342734, 19709, 3.66, 2.198137, , 
398125, 342319, 18608, 3.76, 2.110715, , 
414879, 342715, 17509, 3.86, 2.020552, , 
433268, 342707, 16330, 3.95, 1.922899, , 
450291, 342511, 15286, 4.05, 1.834886, , 
470487, 342432, 14075, 4.16, 1.735630, , 
482904, 342625, 13285, 4.25, 1.678276, , 
498696, 342329, 12358, 4.35, 1.603914, , 
512594, 342770, 11695, 4.45, 1.544953, , 
526618, 342457, 10933, 4.55, 1.482155, , 
535529, 342712, 10556, 4.65, 1.446068, , 
550654, 342543, 9831, 4.75, 1.382280, , 
562954, 342632, 9257, 4.85, 1.333150, , 
575290, 342376, 8877, 4.95, 1.282686, , 
590603, 342775, 8238, 5.05, 1.226189, , 
603668, 342664, 7988, 5.15, 1.176220, , 
614844, 342809, 7473, 5.25, 1.135890, , 
629540, 342469, 7144, 5.35, 1.080499, , 
643210, 342743, 6737, 5.45, 1.033956, , 
652795, 342685, 6568, 5.55, 1.000286, , 
669262, 342797, 6101, 5.65, 0.944958, , 
675996, 342723, 6015, 5.75, 0.921942, , 
690488, 342627, 5607, 5.85, 0.873576, , 
697744, 342683, 5355, 5.95, 0.850419, , 
712741, 342630, 4964, 6.05, 0.802213, , 
723434, 342380, 4681, 6.15, 0.767059, , 
740855, 342511, 4367, 6.25, 0.714369, , 
749413, 342543, 4154, 6.34, 0.688733, , 
762724, 342489, 3839, 6.45, 0.648757, , 
770403, 342566, 3726, 6.55, 0.626719, 1, 0.924
780458, 342587, 3533, 6.65, 0.597675, , 
787245, 342632, 3427, 6.74, 0.578485, , 
792028, 342621, 3373, 6.85, 0.564781, , 
798737, 342554, 3154, 6.95, 0.545359, , 
808316, 342552, 3057, 7.04, 0.518518, , 
814183, 342363, 2938, 7.15, 0.501000, , 
824026, 342424, 2786, 7.24, 0.474358, , 
829115, 342515, 2676, 7.35, 0.461100, , 
834578, 342404, 2602, 7.44, 0.445592, , 
838636, 342424, 2502, 7.54, 0.434807, , 
846511, 342859, 2415, 7.64, 0.416631, , 
