FlowCell Text Data File: 227l6.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 17:02:43
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
834740, 343022, 1878, 0.00, 0.449213, , 
688034, 342845, 3619, 0.18, 0.883020, , 
837719, 342783, 3814, 0.28, 0.439627, , 
767601, 343104, 2992, 0.38, 0.638450, , 
469907, 343082, 9239, 0.48, 1.742674, , 
484240, 342922, 5361, 0.58, 1.674008, , 
427794, 342599, 6123, 0.67, 1.950804, , 
754215, 342796, 4177, 0.78, 0.676020, , 
786675, 342881, 3414, 0.87, 0.581750, , 
843481, 343022, 2612, 0.98, 0.425770, , 
875092, 343014, 3947, 1.07, 0.342920, , 
876339, 343035, 2918, 1.17, 0.339853, , 
450914, 342813, 29873, 1.28, 1.833758, , 
122786, 342971, 32719, 1.37, 4.762237, , 
121378, 342936, 32853, 1.47, 4.787962, , 
120489, 343187, 32830, 1.58, 4.806152, , 
119726, 343058, 32890, 1.67, 4.819602, , 
119824, 343101, 32913, 1.77, 4.818043, , 
120132, 342992, 33004, 1.87, 4.811551, , 
120514, 342877, 33114, 1.97, 4.803651, , 
121535, 343113, 33171, 2.07, 4.786214, , 
122130, 343136, 33224, 2.17, 4.775375, , 
123129, 343120, 33277, 2.27, 4.756936, , 
124437, 342907, 33302, 2.37, 4.731759, , 
127842, 342865, 33339, 2.47, 4.670731, , 
132778, 343215, 33428, 2.57, 4.587773, , 
140784, 343132, 33448, 2.67, 4.455470, , 
147662, 342933, 33520, 2.77, 4.346821, , 
155678, 342724, 33473, 2.87, 4.226482, , 
162217, 342935, 33297, 2.97, 4.135272, , 
169880, 342805, 32899, 3.07, 4.030545, , 
179941, 342778, 32396, 3.17, 3.900885, , 
194006, 342881, 31664, 3.27, 3.732193, , 
205101, 342789, 30751, 3.37, 3.606435, , 
216475, 342746, 29697, 3.47, 3.484691, , 
229776, 343062, 28497, 3.57, 3.352572, , 
248161, 342926, 27368, 3.67, 3.178457, , 
260418, 342881, 26132, 3.77, 3.069667, , 
271951, 342946, 24868, 3.87, 2.972574, , 
287035, 342925, 23383, 3.97, 2.850952, , 
300647, 342984, 21956, 4.07, 2.747071, , 
320060, 343025, 20374, 4.16, 2.606527, , 
336744, 342734, 19098, 4.26, 2.490262, , 
353391, 342936, 17818, 4.37, 2.383000, , 
367999, 343022, 16698, 4.46, 2.292410, , 
384214, 342832, 15586, 4.56, 2.194125, , 
395895, 343002, 14857, 4.67, 2.127842, , 
419919, 343000, 13500, 4.76, 1.995249, , 
434994, 342882, 12524, 4.86, 1.915101, , 
450268, 343037, 11904, 4.96, 1.838454, , 
467684, 343063, 10999, 5.06, 1.753221, , 
478990, 342964, 10402, 5.16, 1.698815, , 
500382, 342456, 9536, 5.26, 1.597153, , 
512566, 342862, 8997, 5.36, 1.545680, , 
533324, 342986, 8241, 5.46, 1.457152, , 
545209, 343078, 7942, 5.56, 1.408156, , 
565628, 343105, 7309, 5.66, 1.325590, , 
575522, 342842, 7065, 5.76, 1.284840, , 
592978, 342744, 6656, 5.86, 1.216954, , 
607018, 342916, 6290, 5.96, 1.165420, , 
627749, 343017, 5730, 6.06, 1.090509, , 
647258, 343050, 5452, 6.16, 1.021852, , 
662357, 342945, 5105, 6.26, 0.969268, , 
678052, 342861, 4814, 6.36, 0.916014, , 
693265, 342737, 4395, 6.46, 0.865266, , 
704270, 343112, 4318, 6.56, 0.832284, 1, 0.924
716408, 342846, 4166, 6.66, 0.792083, , 
728174, 342867, 3936, 6.76, 0.755561, , 
736923, 342569, 3714, 6.86, 0.726726, , 
749871, 342589, 3472, 6.96, 0.687660, , 
762756, 343015, 3250, 7.06, 0.652116, , 
774516, 342982, 3088, 7.15, 0.617467, , 
782925, 342996, 2955, 7.25, 0.593258, , 
788550, 342865, 2806, 7.36, 0.576287, , 
