FlowCell Text Data File: 227l5.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 17:27:37
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
914826, 343048, 1063, 9.83, 0.243213, , 
919802, 343081, 1021, 9.94, 0.231222, , 
922242, 343020, 978, 10.03, 0.224860, , 
922929, 342872, 984, 10.14, 0.222213, , 
926313, 342955, 935, 10.24, 0.214521, , 
928858, 342943, 938, 10.34, 0.208268, , 
930393, 342993, 898, 10.43, 0.204880, , 
932544, 343093, 889, 10.53, 0.200339, , 
936121, 342969, 855, 10.63, 0.190910, , 
938388, 343156, 811, 10.73, 0.186694, , 
941484, 343226, 794, 10.83, 0.179740, , 
943736, 343227, 760, 10.93, 0.174370, , 
944808, 342815, 737, 11.03, 0.169112, , 
947318, 343138, 712, 11.13, 0.165261, , 
948203, 342847, 710, 11.23, 0.161250, , 
948177, 342966, 704, 11.33, 0.162093, , 
948783, 342994, 715, 11.43, 0.160839, , 
947744, 342971, 690, 11.53, 0.163154, , 
948070, 342972, 685, 11.63, 0.162386, , 
950839, 342881, 651, 11.73, 0.155226, , 
953921, 343084, 654, 11.83, 0.149275, , 
953817, 342782, 632, 11.93, 0.147539, , 
955642, 343189, 623, 12.03, 0.145907, , 
958904, 343043, 598, 12.13, 0.137281, , 
961099, 343137, 598, 12.23, 0.132752, , 
961277, 343201, 589, 12.33, 0.132755, , 
961602, 343120, 576, 12.43, 0.131463, , 
962931, 343157, 563, 12.53, 0.128598, , 
963210, 342930, 559, 12.63, 0.126457, , 
966155, 343086, 552, 12.73, 0.120610, , 
968076, 343304, 538, 12.82, 0.117569, , 
968033, 342974, 540, 12.93, 0.115505, , 
967518, 342820, 539, 13.03, 0.115692, , 
967341, 342710, 528, 13.12, 0.115382, 2, 0.939
966731, 343057, 533, 13.23, 0.119079, , 
966634, 343016, 520, 13.33, 0.119035, , 
967166, 342972, 521, 13.42, 0.117509, , 
967457, 343252, 526, 13.53, 0.118668, , 
966294, 342957, 513, 13.63, 0.119440, , 
966403, 342953, 523, 13.73, 0.119160, , 
966687, 342981, 512, 13.82, 0.118682, , 
966575, 342911, 517, 13.92, 0.118484, , 
968267, 343033, 504, 14.03, 0.115348, , 
968750, 342928, 488, 14.12, 0.113537, , 
970092, 343203, 481, 14.22, 0.112226, , 
968929, 342844, 465, 14.32, 0.112570, , 
969027, 343104, 465, 14.42, 0.114048, , 
968470, 343039, 469, 14.52, 0.114916, , 
968908, 343010, 462, 14.62, 0.113708, , 
968668, 343174, 462, 14.72, 0.115341, , 
966383, 342909, 460, 14.82, 0.118918, , 
967385, 343174, 453, 14.92, 0.118324, , 
967072, 343032, 457, 15.02, 0.118121, , 
965522, 342853, 455, 15.12, 0.120556, , 
963329, 342837, 433, 15.22, 0.125568, , 
962796, 342958, 426, 15.32, 0.127608, , 
961854, 343008, 418, 15.42, 0.130139, , 
960068, 343015, 413, 15.52, 0.134367, , 
958615, 343011, 419, 15.62, 0.137750, , 
955940, 342691, 407, 15.72, 0.141938, , 
954569, 342883, 418, 15.82, 0.146428, , 
953394, 343013, 414, 15.92, 0.150053, , 
951197, 342877, 417, 16.02, 0.154352, , 
949544, 343047, 447, 16.12, 0.159382, , 
945766, 342816, 416, 16.22, 0.166838, , 
944128, 342761, 407, 16.32, 0.170378, , 
941910, 342815, 408, 16.42, 0.176026, , 
939886, 342920, 414, 16.51, 0.181556, , 
938053, 342928, 409, 16.62, 0.186001, , 
936334, 342924, 400, 16.72, 0.190103, , 
934544, 342992, 402, 16.81, 0.194855, , 
933192, 343182, 391, 16.91, 0.199360, , 
930592, 342996, 399, 17.01, 0.204418, , 
929340, 343072, 396, 17.11, 0.207947, , 
926701, 342837, 390, 17.21, 0.212804, , 
925238, 342778, 385, 17.31, 0.215973, , 
925189, 342851, 370, 17.41, 0.216571, , 
925183, 342909, 377, 17.51, 0.216966, , 
925756, 343071, 372, 17.61, 0.216636, , 
925580, 342965, 372, 17.71, 0.216368, , 
927055, 343036, 365, 17.81, 0.213251, , 
927771, 342822, 373, 17.91, 0.210109, , 
929074, 342819, 361, 18.01, 0.206931, , 
929987, 342784, 368, 18.11, 0.204491, , 
932215, 342709, 354, 18.21, 0.198613, , 
934722, 342805, 358, 18.31, 0.193200, , 
938118, 342900, 360, 18.41, 0.185662, , 
940780, 342840, 363, 18.51, 0.178891, , 
943965, 342937, 348, 18.61, 0.171922, , 
945423, 342656, 359, 18.71, 0.166604, , 
949486, 342770, 349, 18.81, 0.157702, , 
951558, 342764, 354, 18.90, 0.152757, , 
954116, 342872, 359, 19.01, 0.147424, , 
956095, 342687, 345, 19.11, 0.141547, , 
959075, 343021, 353, 19.20, 0.136736, , 
960970, 342812, 362, 19.31, 0.130922, , 
963590, 342849, 335, 19.41, 0.125037, , 
965552, 342824, 354, 19.50, 0.120296, , 
968341, 343018, 366, 19.61, 0.115078, 3, 0.924
969987, 342970, 337, 19.71, 0.110941, , 
971537, 342962, 354, 19.81, 0.107295, , 
972710, 342877, 352, 19.90, 0.104022, , 
973389, 342817, 347, 20.00, 0.102058, , 
974137, 342904, 349, 20.10, 0.100900, , 
975187, 343067, 343, 20.20, 0.099545, , 
976917, 342851, 347, 20.30, 0.094139, , 
972128, 342793, 356, 20.40, 0.104817, , 
970522, 342712, 336, 20.50, 0.108007, , 
970915, 342729, 334, 20.60, 0.107207, , 
971355, 342891, 333, 20.70, 0.107251, , 
972973, 342788, 330, 20.80, 0.102829, , 
973620, 343010, 337, 20.90, 0.102790, , 
973100, 342648, 331, 21.00, 0.101616, , 
974336, 342835, 329, 21.10, 0.099988, , 
973855, 342726, 327, 21.20, 0.100383, , 
974230, 342863, 338, 21.30, 0.100416, , 
974106, 342632, 337, 21.40, 0.099186, , 
976593, 342954, 324, 21.50, 0.095562, , 
975710, 342632, 335, 21.60, 0.095483, , 
976098, 342813, 329, 21.70, 0.095777, , 
975831, 342615, 326, 21.80, 0.095093, , 
977571, 343006, 340, 21.90, 0.093650, , 
