FlowCell Text Data File: 227l15.csv
Software Version: 1.56A
Date: 2024-02-23
Time: 17:22:12
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
855095, 343261, 1272, 0.00, 0.396562, , 
875665, 343147, 2147, 0.19, 0.342320, , 
861600, 343113, 2084, 0.29, 0.378537, , 
837584, 343416, 2098, 0.39, 0.444142, , 
700618, 343159, 4846, 0.49, 0.844292, , 
654814, 343441, 3317, 0.59, 0.998296, , 
845704, 343361, 3114, 0.69, 0.422070, , 
852118, 343407, 4234, 0.79, 0.405368, , 
660801, 343118, 5917, 0.89, 0.975696, , 
749119, 343265, 6331, 0.99, 0.694354, , 
146994, 343169, 5915, 1.09, 4.358572, , 
204213, 343254, 5693, 1.19, 3.619250, , 
198245, 343227, 5738, 1.29, 3.685821, , 
192128, 343410, 5729, 1.39, 3.757553, , 
188700, 343248, 5734, 1.49, 3.797007, , 
185739, 343238, 5785, 1.59, 3.832534, , 
182636, 343399, 5850, 1.69, 3.871503, , 
180292, 343448, 5998, 1.79, 3.900894, , 
176994, 343369, 6140, 1.89, 3.941924, , 
174571, 343382, 6264, 1.99, 3.973029, , 
172187, 343126, 6385, 2.09, 4.002296, , 
172111, 343458, 6607, 2.18, 4.005465, , 
170034, 343438, 6729, 2.28, 4.032657, , 
167865, 343212, 6997, 2.38, 4.060068, , 
165607, 343179, 7344, 2.48, 4.090328, , 
163143, 343499, 7743, 2.59, 4.126161, , 
160133, 343493, 8220, 2.69, 4.168030, , 
156450, 343588, 8771, 2.78, 4.221016, , 
153351, 343180, 9333, 2.88, 4.263366, , 
